,Carbon source,Metabolite,Slope,Intercept,r,p-value,Std. Err,N,T3_pval,Fitted on,Comment,Rate [mmol/gDW/h],Std. Err [mmol/gDW/h],Rate [1/gDW/h],Std. Err [1/gDW/h]
98,L-alanine,Creatinine,0.12157485762004082,-0.2932236093585613,0.887573272743207,0.04448108126265365,0.036430540963924694,5,0.014899639792313799,Z-score,,,,0.12157485762004082,0.036430540963924694
99,Galactose,Cyclic gmp,0.3840598275588056,-0.8518859207138113,0.8676252230645661,0.002435552553621005,0.08318886126329908,9,0.947995038355767,Z-score,,,,0.3840598275588056,0.08318886126329908
100,L-malate,Cyclic gmp,0.2818775902709147,-0.2709984972468763,0.21471919769852096,0.6096047078408766,0.5234370829309769,8,0.5588305787830327,Z-score,,,,0.2818775902709147,0.5234370829309769
101,L-alanine,Cyclic gmp,0.048620852881127254,-0.6513493006816373,0.552407382552712,0.19847842611629224,0.03281122187465175,7,0.862497331547442,Z-score,,,,0.048620852881127254,0.03281122187465175
102,Galactose,Deoxycarnitine (deoxy-c0),0.29691921527825765,0.22056616285154185,0.8400712096633924,0.009038954105021639,0.0782757466810869,8,0.9513072883422674,Concentration [uM],,0.00029691921527825766,7.82757466810869e-05,,
103,L-malate,Deoxycarnitine (deoxy-c0),0.9017092970340607,-0.38144346412568797,0.846832922092408,0.033393569033186556,0.2831622376374649,6,0.9045056992862771,Concentration [uM],,0.0009017092970340606,0.0002831622376374649,,
104,L-alanine,Deoxycarnitine (deoxy-c0),-0.1135375090242525,0.6330889956782225,-0.47708549375436304,0.33866660956114225,0.10457582895722117,6,0.6639270873844332,Concentration [uM],,-0.0001135375090242525,0.00010457582895722118,,
105,Galactose,Dethiobiotin,0.6942897683504698,-1.352545339816383,0.9661597273756838,2.270804799303239e-05,0.0700598396705028,9,0.985876235415712,Z-score,,,,0.6942897683504698,0.0700598396705028
106,L-malate,Dethiobiotin,1.1326306232515648,-1.2196660963959034,0.9798390661810361,3.7564778296821244e-06,0.08728805080559134,9,0.994503706988728,Z-score,,,,1.1326306232515648,0.08728805080559134
107,L-alanine,Dethiobiotin,0.4627020870171239,-1.2546372993590904,0.9926555615638489,1.1099080215031055e-07,0.021313230089032322,9,0.9995704111634572,Z-score,,,,0.4627020870171239,0.021313230089032322
108,Galactose,Diaminopimelate,0.29482819841492247,-1.2352469811800832,0.8109737467877557,0.007993427980622764,0.08039524141081864,9,0.8894190566317542,Z-score,,,,0.29482819841492247,0.08039524141081864
109,L-malate,Diaminopimelate,2.2735689667908447,-1.3224233595088075,0.9384448893504934,0.0001793413035769561,0.31630723551326156,9,0.8904612652078142,Z-score,,,,2.2735689667908447,0.31630723551326156
110,L-alanine,Diaminopimelate,0.8087258361416405,-1.3411836378529358,0.8714280026421143,0.0022078804924545153,0.17206024749022342,9,0.9304160555777571,Z-score,,,,0.8087258361416405,0.17206024749022342
111,Galactose,Diethanolamine,-0.1485862939430811,0.13735913293661062,-0.27478272157970074,0.38739266712465537,0.1644150184276192,12,0.21351288297103507,Z-score,,,,-0.1485862939430811,0.1644150184276192
112,L-malate,Diethanolamine,0.4374122476677358,-0.4716466930259886,0.32765334059694573,0.2984923159394816,0.3988552482990081,12,0.8019832308233047,Z-score,,,,0.4374122476677358,0.3988552482990081
113,L-alanine,Diethanolamine,0.5358620174575139,-0.7263102681935402,0.4744618820893889,0.11911630305795466,0.31439130980834123,12,0.24374771496325556,Z-score,,,,0.5358620174575139,0.31439130980834123
114,Galactose,Dihydroorotate,0.886725563268205,-1.3028852710930399,0.9454506970170325,0.00011831476559932299,0.11547980446786651,9,0.9558639073622306,Z-score,,,,0.886725563268205,0.11547980446786651
115,L-malate,Dihydroorotate,1.3506216723774767,-1.374244058176328,0.9286493777293432,0.0002977909011979621,0.20391935343134637,9,0.9232334499698394,Z-score,,,,1.3506216723774767,0.20391935343134637
116,L-alanine,Dihydroorotate,0.8093669655472825,-1.6940155152194936,0.9970161934261207,4.76402299828591e-09,0.023684835293252084,9,0.9981060149768756,Z-score,,,,0.8093669655472825,0.023684835293252084
117,Galactose,Dihydrouracil,0.0015396136505288365,0.15268263839740048,0.0030360505054659475,0.9925285612845762,0.16036173985692165,12,0.9620827039108794,Z-score,,,,0.0015396136505288365,0.16036173985692165
118,L-malate,Dihydrouracil,1.720560642298271,-1.0384158460988464,0.7919427396996576,0.002139516514840173,0.4194978160890749,12,0.6159441076827792,Z-score,,,,1.720560642298271,0.4194978160890749
119,L-alanine,Dihydrouracil,0.5075012417480819,-0.6964006620991414,0.43510343288772246,0.15746663651507917,0.332101371259161,12,0.38706216730591814,Z-score,,,,0.5075012417480819,0.332101371259161
120,Galactose,Ethanolamine,0.5626077638159368,-0.9488394409339792,0.9991638964838189,3.2132574514616766e-15,0.007279863111098973,12,0.9999522298704014,Z-score,,,,0.5626077638159368,0.007279863111098973
121,L-malate,Ethanolamine,0.7310654294868357,-0.9538208677573539,0.9796104051518862,2.6821155618574816e-08,0.04741295463840245,12,0.9116059980485429,Z-score,,,,0.7310654294868357,0.04741295463840245
122,L-alanine,Ethanolamine,0.5568558964943437,-0.9551848543520942,0.997945880676331,2.8700634630455806e-13,0.011304218072912786,12,0.9993282560599007,Z-score,,,,0.5568558964943437,0.011304218072912786
123,Galactose,Formate,357.25472652831115,-40.82671301765117,0.6716207055264504,0.06815476907726996,160.89221666000577,8,0.8865917734163731,Concentration [uM],,0.35725472652831114,0.16089221666000578,,
124,L-malate,Formate,77.21842188735586,53.23119501967578,0.39814001613140604,0.43434565218107885,88.9565976202292,6,0.5211817484448235,Concentration [uM],,0.07721842188735586,0.0889565976202292,,
125,L-alanine,Formate,73.9535300445149,136.34159294417654,0.8575185073680182,0.0631633177225594,25.615367006057628,5,0.8216976979186086,Concentration [uM],,0.07395353004451491,0.02561536700605763,,
126,Galactose,Fructose-6-phosphate,0.6184285137965452,-1.1770539450881499,0.962275759082188,5.647412938334546e-07,0.055294283400466306,12,0.9738715322844004,Z-score,,,,0.6184285137965452,0.055294283400466306
127,L-malate,Fructose-6-phosphate,1.3058255232858562,-1.2557487861193684,0.9100874901261754,3.973134548709218e-05,0.18803500192361836,12,0.8637371811494923,Z-score,,,,1.3058255232858562,0.18803500192361836
128,L-alanine,Fructose-6-phosphate,1.3434095116167069,-1.1850883986284713,0.9629657836161801,5.155484100534549e-07,0.11894755175306258,12,0.9609478650541959,Z-score,,,,1.3434095116167069,0.11894755175306258
129,Galactose,Gamma-aminobutyrate,0.009163202652281302,0.2959596329201064,0.07410615093926226,0.9057315511877555,0.07119288765890873,5,,Concentration [uM],,9.163202652281302e-06,7.119288765890873e-05,,
130,L-malate,Gamma-aminobutyrate,0.14222372355009358,0.8154845911739813,0.13317714964479888,0.7326717430387415,0.40004365722185437,9,0.22634054008670973,Concentration [uM],,0.0001422237235500936,0.00040004365722185435,,
131,L-alanine,Gamma-aminobutyrate,2.728820928154421,3.3696339825804076,0.5486720898228009,0.12607881817876207,1.5715889974817667,9,0.06814078184572758,Concentration [uM],,0.0027288209281544212,0.0015715889974817667,,
132,Galactose,Gluconate,0.4866652495913427,-0.31320184493069686,0.6702877943983548,0.017065880887043295,0.17038532670946033,12,0.3451264487564306,Z-score,,,,0.4866652495913427,0.17038532670946033
133,L-malate,Gluconate,0.030522262902282594,-0.9000038975288525,0.9936625474156993,0.00633745258430074,0.002441439668679015,4,0.831372398720381,Z-score,,,,0.030522262902282594,0.002441439668679015
134,L-alanine,Gluconate,,,,,,1,,,Not sufficient data,,,,
135,Galactose,Gluconolactone,0.5381221794751612,-0.8045967139649173,0.9414061164594377,0.00015136194206244973,0.07286839357509765,9,0.9495972587300943,Z-score,,,,0.5381221794751612,0.07286839357509765
136,L-malate,Gluconolactone,,,,,,2,,,Not sufficient data,,,,
137,L-alanine,Gluconolactone,0.016900933357084133,-0.833764950663635,0.3956327925220316,0.6043672074779685,0.027742106749449283,4,0.6803501774012932,Z-score,,,,0.016900933357084133,0.027742106749449283
