,Sample_id,Carbon source,Hours,AUC [gDW*h/L],Bioreactor,Timepoint,Metabolite,Z-score
69,SM_MPTA_112023_107_L-alanine-T22_M10_35,L-alanine,22.0,4.314250397619318,REL08,4,"2,5-dihydroxybenzoate",0.1735134818948803
70,SM_MPTA_112023_82_Galactose-T18_M1_10,Galactose,18.0,7.65846961218036,REL01,4,"2,5-dihydroxybenzoate",-1.4263767344757694
71,SM_MPTA_112023_75_Galactose-T16_M3_9,Galactose,16.0,3.4179267393150816,REL03,3,"2,5-dihydroxybenzoate",-0.3818219533583522
72,SM_MPTA_112023_M9_L-malate_003_45,L-malate,0.0,0.0,,0,"2,5-dihydroxybenzoate",
73,SM_MPTA_112023_60_L-malate-T12_M7_24,L-malate,12.0,2.385225810049673,REL06,4,"2,5-dihydroxybenzoate",2.202271365619813
74,SM_MPTA_112023_129_L-malate-T9_M7_18,L-malate,9.25,0.7606505791012634,REL06,2,"2,5-dihydroxybenzoate",0.2457288730665774
75,SM_MPTA_112023_90_L-alanine-T18_M11_33,L-alanine,18.0,1.7064401126297837,REL09,3,"2,5-dihydroxybenzoate",0.1182085612600476
76,SM_MPTA_112023_106_L-alanine-T22_M9_34,L-alanine,22.0,4.508036095424472,REL07,4,"2,5-dihydroxybenzoate",0.4105975229681747
77,SM_MPTA_112023_50_L-malate-T10_M6_17,L-malate,10.0,0.9785183455570544,REL05,2,"2,5-dihydroxybenzoate",1.2289314096836896
78,SM_MPTA_112023_65_Galactose-T14_M2_8,Galactose,14.0,3.5031324525164917,REL02,3,"2,5-dihydroxybenzoate",-0.3037669534947358
79,SM_MPTA_112023_M9_Galactose_003_42,Galactose,0.0,0.0,,0,"2,5-dihydroxybenzoate",
80,SM_MPTA_112023_93_Galactose-T20_M3_12,Galactose,20.0,7.426058906659442,REL03,4,"2,5-dihydroxybenzoate",-0.0683027488335096
81,SM_MPTA_112023_80_L-alanine-T16_M10_29,L-alanine,16.0,1.099304187854922,REL08,2,"2,5-dihydroxybenzoate",-0.5991737363950368
82,SM_MPTA_112023_53_L-alanine-T10_M10_26,L-alanine,10.0,0.3217909293828691,REL08,1,"2,5-dihydroxybenzoate",-0.8916406000154684
83,SM_MPTA_112023_54_L-alanine-T10_M11_27,L-alanine,10.0,0.296012098023468,REL09,1,"2,5-dihydroxybenzoate",-0.7592402783924372
84,SM_MPTA_112023_M9_L-alanine_002_38,L-alanine,0.0,0.0,,0,"2,5-dihydroxybenzoate",
85,SM_MPTA_112023_81_L-alanine-T16_M11_30,L-alanine,16.0,1.1067118980156694,REL09,2,"2,5-dihydroxybenzoate",-0.2186294674116796
86,SM_MPTA_112023_66_Galactose-T14_M3_6,Galactose,14.0,2.1848684507093163,REL03,2,"2,5-dihydroxybenzoate",-0.8067360145276791
87,SM_MPTA_112023_143_L-malate-T13_M6_23,L-malate,13.0,2.7850460023716854,REL05,4,"2,5-dihydroxybenzoate",2.3638751940263996
88,SM_MPTA_112023_127_L-malate-T9_M5_16,L-malate,9.25,1.034068337324968,REL04,2,"2,5-dihydroxybenzoate",0.9505340136377745
89,SM_MPTA_112023_51_L-malate-T10_M7_21,L-malate,10.0,1.0771807208731472,REL06,3,"2,5-dihydroxybenzoate",1.032629831922126
90,SM_MPTA_112023_49_L-malate-T10_M5_19,L-malate,10.0,1.4313031841181596,REL04,3,2-aminoisobutyrate,-0.8413432748125277
91,SM_MPTA_112023_79_L-alanine-T16_M9_28,L-alanine,16.0,1.224938952181199,REL07,2,2-aminoisobutyrate,0.6401422114953064
92,SM_MPTA_112023_58_L-malate-T12_M5_22,L-malate,12.0,2.865121839561659,REL04,4,2-aminoisobutyrate,
93,SM_MPTA_112023_28_Galactose-T6_M1_1,Galactose,6.0,0.3027227371464714,REL01,1,2-aminoisobutyrate,
94,SM_MPTA_112023_M9_Galactose_001_40,Galactose,0.0,0.0,,0,2-aminoisobutyrate,
95,SM_MPTA_112023_M9_L-alanine_001_37,L-alanine,0.0,0.0,,0,2-aminoisobutyrate,-0.8392156306018421
96,SM_MPTA_112023_M9_Galactose_002_41,Galactose,0.0,0.0,,0,2-aminoisobutyrate,
97,SM_MPTA_112023_64_Galactose-T14_M1_7,Galactose,14.0,3.657264738592213,REL01,3,2-aminoisobutyrate,
98,SM_MPTA_112023_52_L-alanine-T10_M9_25,L-alanine,10.0,0.3182352285057104,REL07,1,2-aminoisobutyrate,-0.3521647179038928
99,SM_MPTA_112023_32_L-malate-T6_M6_14,L-malate,6.0,0.1847473940054876,REL05,1,2-aminoisobutyrate,
100,SM_MPTA_112023_55_Galactose-T12_M1_4,Galactose,12.0,2.122869171591218,REL01,2,2-aminoisobutyrate,
101,SM_MPTA_112023_29_Galactose-T6_M2_2,Galactose,6.0,0.3061863840245775,REL02,1,2-aminoisobutyrate,
102,SM_MPTA_112023_108_L-alanine-T22_M11_36,L-alanine,22.0,3.9376424130469174,REL09,4,2-aminoisobutyrate,
103,SM_MPTA_112023_134_L-malate-T11_M6_20,L-malate,11.0,1.4913949991123805,REL05,3,2-aminoisobutyrate,
104,SM_MPTA_112023_56_Galactose-T12_M2_5,Galactose,12.0,2.076109938736786,REL02,2,2-aminoisobutyrate,
105,SM_MPTA_112023_89_L-alanine-T18_M10_32,L-alanine,18.0,1.718588757293409,REL08,3,2-aminoisobutyrate,1.4890523183842383
106,SM_MPTA_112023_M9_L-malate_002_44,L-malate,0.0,0.0,,0,2-aminoisobutyrate,
107,SM_MPTA_112023_88_L-alanine-T18_M9_31,L-alanine,18.0,1.9627468841916456,REL07,3,2-aminoisobutyrate,1.690193658560629
108,SM_MPTA_112023_33_L-malate-T6_M7_15,L-malate,6.0,0.2093431136310292,REL06,1,2-aminoisobutyrate,
109,SM_MPTA_112023_M9_L-alanine_003_39,L-alanine,0.0,0.0,,0,2-aminoisobutyrate,-0.8392159678302844
110,SM_MPTA_112023_M9_L-malate_001_43,L-malate,0.0,0.0,,0,2-aminoisobutyrate,
111,SM_MPTA_112023_31_L-malate-T6_M5_13,L-malate,6.0,0.2588140496960388,REL04,1,2-aminoisobutyrate,
112,SM_MPTA_112023_39_Galactose-T8_M3_3,Galactose,8.0,0.4312240363242068,REL03,1,2-aminoisobutyrate,
113,SM_MPTA_112023_83_Galactose-T18_M2_11,Galactose,18.0,8.140262892924916,REL02,4,2-aminoisobutyrate,
114,SM_MPTA_112023_107_L-alanine-T22_M10_35,L-alanine,22.0,4.314250397619318,REL08,4,2-aminoisobutyrate,-0.8382898499445866
115,SM_MPTA_112023_82_Galactose-T18_M1_10,Galactose,18.0,7.65846961218036,REL01,4,2-aminoisobutyrate,
116,SM_MPTA_112023_75_Galactose-T16_M3_9,Galactose,16.0,3.4179267393150816,REL03,3,2-aminoisobutyrate,
117,SM_MPTA_112023_M9_L-malate_003_45,L-malate,0.0,0.0,,0,2-aminoisobutyrate,
118,SM_MPTA_112023_60_L-malate-T12_M7_24,L-malate,12.0,2.385225810049673,REL06,4,2-aminoisobutyrate,
119,SM_MPTA_112023_129_L-malate-T9_M7_18,L-malate,9.25,0.7606505791012634,REL06,2,2-aminoisobutyrate,
120,SM_MPTA_112023_90_L-alanine-T18_M11_33,L-alanine,18.0,1.7064401126297837,REL09,3,2-aminoisobutyrate,1.5893364905568237
121,SM_MPTA_112023_106_L-alanine-T22_M9_34,L-alanine,22.0,4.508036095424472,REL07,4,2-aminoisobutyrate,-0.8393688868298734
122,SM_MPTA_112023_50_L-malate-T10_M6_17,L-malate,10.0,0.9785183455570544,REL05,2,2-aminoisobutyrate,
123,SM_MPTA_112023_65_Galactose-T14_M2_8,Galactose,14.0,3.5031324525164917,REL02,3,2-aminoisobutyrate,
124,SM_MPTA_112023_M9_Galactose_003_42,Galactose,0.0,0.0,,0,2-aminoisobutyrate,
125,SM_MPTA_112023_93_Galactose-T20_M3_12,Galactose,20.0,7.426058906659442,REL03,4,2-aminoisobutyrate,-0.8406561296893174
126,SM_MPTA_112023_80_L-alanine-T16_M10_29,L-alanine,16.0,1.099304187854922,REL08,2,2-aminoisobutyrate,0.9259790418180468
127,SM_MPTA_112023_53_L-alanine-T10_M10_26,L-alanine,10.0,0.3217909293828691,REL08,1,2-aminoisobutyrate,-0.4683566693003096
128,SM_MPTA_112023_54_L-alanine-T10_M11_27,L-alanine,10.0,0.296012098023468,REL09,1,2-aminoisobutyrate,-0.4462754866627296
129,SM_MPTA_112023_M9_L-alanine_002_38,L-alanine,0.0,0.0,,0,2-aminoisobutyrate,-0.8393407897742687
130,SM_MPTA_112023_81_L-alanine-T16_M11_30,L-alanine,16.0,1.1067118980156694,REL09,2,2-aminoisobutyrate,0.8095236825345874
131,SM_MPTA_112023_66_Galactose-T14_M3_6,Galactose,14.0,2.1848684507093163,REL03,2,2-aminoisobutyrate,
132,SM_MPTA_112023_143_L-malate-T13_M6_23,L-malate,13.0,2.7850460023716854,REL05,4,2-aminoisobutyrate,
133,SM_MPTA_112023_127_L-malate-T9_M5_16,L-malate,9.25,1.034068337324968,REL04,2,2-aminoisobutyrate,
134,SM_MPTA_112023_51_L-malate-T10_M7_21,L-malate,10.0,1.0771807208731472,REL06,3,2-aminoisobutyrate,
135,SM_MPTA_112023_49_L-malate-T10_M5_19,L-malate,10.0,1.4313031841181596,REL04,3,2-hydroxybutyrate,0.4625437429191646
136,SM_MPTA_112023_79_L-alanine-T16_M9_28,L-alanine,16.0,1.224938952181199,REL07,2,2-hydroxybutyrate,2.773470074964662
137,SM_MPTA_112023_58_L-malate-T12_M5_22,L-malate,12.0,2.865121839561659,REL04,4,2-hydroxybutyrate,-0.7065445144789653
138,SM_MPTA_112023_28_Galactose-T6_M1_1,Galactose,6.0,0.3027227371464714,REL01,1,2-hydroxybutyrate,-0.7756488213160416
139,SM_MPTA_112023_M9_Galactose_001_40,Galactose,0.0,0.0,,0,2-hydroxybutyrate,-1.0085276689652072
140,SM_MPTA_112023_M9_L-alanine_001_37,L-alanine,0.0,0.0,,0,2-hydroxybutyrate,
141,SM_MPTA_112023_M9_Galactose_002_41,Galactose,0.0,0.0,,0,2-hydroxybutyrate,
142,SM_MPTA_112023_64_Galactose-T14_M1_7,Galactose,14.0,3.657264738592213,REL01,3,2-hydroxybutyrate,1.1408817614654811
143,SM_MPTA_112023_52_L-alanine-T10_M9_25,L-alanine,10.0,0.3182352285057104,REL07,1,2-hydroxybutyrate,0.914048625324936
144,SM_MPTA_112023_32_L-malate-T6_M6_14,L-malate,6.0,0.1847473940054876,REL05,1,2-hydroxybutyrate,-0.6121018407146347
145,SM_MPTA_112023_55_Galactose-T12_M1_4,Galactose,12.0,2.122869171591218,REL01,2,2-hydroxybutyrate,-0.5468199856191855
146,SM_MPTA_112023_29_Galactose-T6_M2_2,Galactose,6.0,0.3061863840245775,REL02,1,2-hydroxybutyrate,-0.7597382940187521
147,SM_MPTA_112023_108_L-alanine-T22_M11_36,L-alanine,22.0,3.9376424130469174,REL09,4,2-hydroxybutyrate,-0.7593748311410062
148,SM_MPTA_112023_134_L-malate-T11_M6_20,L-malate,11.0,1.4913949991123805,REL05,3,2-hydroxybutyrate,-0.5934540282177434
149,SM_MPTA_112023_56_Galactose-T12_M2_5,Galactose,12.0,2.076109938736786,REL02,2,2-hydroxybutyrate,-0.4572412319385332
