Hours,Well,Carbon source,Replicate,OD600
11.73611111111111,F3,Galactose,2,0.1147
11.98611111111111,F3,Galactose,2,0.1161
12.23611111111111,F3,Galactose,2,0.1174
12.48611111111111,F3,Galactose,2,0.1187
12.73611111111111,F3,Galactose,2,0.1205
12.98611111111111,F3,Galactose,2,0.1229
13.23611111111111,F3,Galactose,2,0.125
13.48611111111111,F3,Galactose,2,0.1284
13.73611111111111,F3,Galactose,2,0.1321
13.98611111111111,F3,Galactose,2,0.1357
14.23611111111111,F3,Galactose,2,0.1401
14.48611111111111,F3,Galactose,2,0.1435
14.73611111111111,F3,Galactose,2,0.1471
14.98611111111111,F3,Galactose,2,0.1531
15.23611111111111,F3,Galactose,2,0.1582
15.48611111111111,F3,Galactose,2,0.1691
15.73611111111111,F3,Galactose,2,0.1823
15.98611111111111,F3,Galactose,2,0.1806
16.23611111111111,F3,Galactose,2,0.1809
16.48611111111111,F3,Galactose,2,0.1844
16.73611111111111,F3,Galactose,2,0.1895
16.98611111111111,F3,Galactose,2,0.1968
17.23611111111111,F3,Galactose,2,0.209
17.48611111111111,F3,Galactose,2,0.2125
17.73611111111111,F3,Galactose,2,0.2248
17.98611111111111,F3,Galactose,2,0.2262
18.23611111111111,F3,Galactose,2,0.2252
18.48611111111111,F3,Galactose,2,0.2281
18.73611111111111,F3,Galactose,2,0.2336
18.98611111111111,F3,Galactose,2,0.2399
19.23611111111111,F3,Galactose,2,0.2453
19.48611111111111,F3,Galactose,2,0.2542
19.73611111111111,F3,Galactose,2,0.2611
19.98611111111111,F3,Galactose,2,0.2712
20.23611111111111,F3,Galactose,2,0.2805
20.48611111111111,F3,Galactose,2,0.2927
20.73611111111111,F3,Galactose,2,0.3052
20.98611111111111,F3,Galactose,2,0.3165
21.23611111111111,F3,Galactose,2,0.3278
21.48611111111111,F3,Galactose,2,0.339
21.73611111111111,F3,Galactose,2,0.3519
21.98611111111111,F3,Galactose,2,0.3667
22.23611111111111,F3,Galactose,2,0.383
22.48611111111111,F3,Galactose,2,0.4004
22.73611111111111,F3,Galactose,2,0.417
22.98611111111111,F3,Galactose,2,0.437
23.23611111111111,F3,Galactose,2,0.4599
23.48611111111111,F3,Galactose,2,0.4875
23.73611111111111,F3,Galactose,2,0.5338
23.98611111111111,F3,Galactose,2,0.5582
24.23611111111111,F3,Galactose,2,0.5889
24.48611111111111,F3,Galactose,2,0.6141
24.73611111111111,F3,Galactose,2,0.6398
24.98611111111111,F3,Galactose,2,0.665
25.23611111111111,F3,Galactose,2,0.6786
25.48611111111111,F3,Galactose,2,0.7
25.73611111111111,F3,Galactose,2,0.7243
25.98611111111111,F3,Galactose,2,0.7146
26.23611111111111,F3,Galactose,2,0.7312
26.48611111111111,F3,Galactose,2,0.7413
26.73611111111111,F3,Galactose,2,0.7493
26.98611111111111,F3,Galactose,2,0.7524
27.23611111111111,F3,Galactose,2,0.763
27.48611111111111,F3,Galactose,2,0.7707
27.73611111111111,F3,Galactose,2,0.7771
27.98611111111111,F3,Galactose,2,0.7845
28.23611111111111,F3,Galactose,2,0.7887
28.48611111111111,F3,Galactose,2,0.792
28.73611111111111,F3,Galactose,2,0.7951
28.98611111111111,F3,Galactose,2,0.7965
29.23611111111111,F3,Galactose,2,0.7998
29.48611111111111,F3,Galactose,2,0.8012
29.73611111111111,F3,Galactose,2,0.8034
29.98611111111111,F3,Galactose,2,0.8074
30.23611111111111,F3,Galactose,2,0.8085
30.48611111111111,F3,Galactose,2,0.8097
30.73611111111111,F3,Galactose,2,0.811
30.98611111111111,F3,Galactose,2,0.8141
31.23611111111111,F3,Galactose,2,0.8173
31.48611111111111,F3,Galactose,2,0.8217
31.73611111111111,F3,Galactose,2,0.8258
31.98611111111111,F3,Galactose,2,0.8305
32.236111111111114,F3,Galactose,2,0.8306
32.486111111111114,F3,Galactose,2,0.8389
32.736111111111114,F3,Galactose,2,0.841
32.986111111111114,F3,Galactose,2,0.8474
33.236111111111114,F3,Galactose,2,0.8467
33.486111111111114,F3,Galactose,2,0.8513
33.736111111111114,F3,Galactose,2,0.8474
33.986111111111114,F3,Galactose,2,0.8551
34.236111111111114,F3,Galactose,2,0.8592
34.486111111111114,F3,Galactose,2,0.8643
34.736111111111114,F3,Galactose,2,0.869
34.986111111111114,F3,Galactose,2,0.8632
35.236111111111114,F3,Galactose,2,0.8681
35.486111111111114,F3,Galactose,2,0.8715
35.736111111111114,F3,Galactose,2,0.8745
35.986111111111114,F3,Galactose,2,0.8785
36.236111111111114,F3,Galactose,2,0.8781
36.486111111111114,F3,Galactose,2,0.8836
36.736111111111114,F3,Galactose,2,0.8863
36.986111111111114,F3,Galactose,2,0.8845
37.236111111111114,F3,Galactose,2,0.8884
37.486111111111114,F3,Galactose,2,0.8921
37.736111111111114,F3,Galactose,2,0.8925
37.986111111111114,F3,Galactose,2,0.895
38.236111111111114,F3,Galactose,2,0.8922
38.486111111111114,F3,Galactose,2,0.8953
38.736111111111114,F3,Galactose,2,0.8976
38.986111111111114,F3,Galactose,2,0.8973
39.236111111111114,F3,Galactose,2,0.9018
39.486111111111114,F3,Galactose,2,0.9022
39.736111111111114,F3,Galactose,2,0.9013
39.986111111111114,F3,Galactose,2,0.9063
40.236111111111114,F3,Galactose,2,0.9057
40.486111111111114,F3,Galactose,2,0.9099
40.736111111111114,F3,Galactose,2,0.9094
40.986111111111114,F3,Galactose,2,0.9062
41.236111111111114,F3,Galactose,2,0.9074
41.486111111111114,F3,Galactose,2,0.9057
41.736111111111114,F3,Galactose,2,0.9122
41.986111111111114,F3,Galactose,2,0.9126
42.236111111111114,F3,Galactose,2,0.9066
42.486111111111114,F3,Galactose,2,0.9115
42.736111111111114,F3,Galactose,2,0.9152
42.986111111111114,F3,Galactose,2,0.9158
43.236111111111114,F3,Galactose,2,0.9108
43.486111111111114,F3,Galactose,2,0.909
43.736111111111114,F3,Galactose,2,0.9159
43.986111111111114,F3,Galactose,2,0.9157
44.236111111111114,F3,Galactose,2,0.9077
44.486111111111114,F3,Galactose,2,0.9159
44.736111111111114,F3,Galactose,2,0.9156
44.986111111111114,F3,Galactose,2,0.9135
45.236111111111114,F3,Galactose,2,0.9182
45.486111111111114,F3,Galactose,2,0.9151
45.736111111111114,F3,Galactose,2,0.923
45.986111111111114,F3,Galactose,2,0.9236
46.236111111111114,F3,Galactose,2,0.9242
46.486111111111114,F3,Galactose,2,0.9249
46.736111111111114,F3,Galactose,2,0.9206
46.986111111111114,F3,Galactose,2,0.9227
47.236111111111114,F3,Galactose,2,0.9227
47.486111111111114,F3,Galactose,2,0.9217
47.736111111111114,F3,Galactose,2,0.9243
47.986111111111114,F3,Galactose,2,0.9265
48.236111111111114,F3,Galactose,2,0.9272
0.2361111111111111,G3,Galactose,3,0.0961
0.4861111111111111,G3,Galactose,3,0.0953
0.736111111111111,G3,Galactose,3,0.0955
0.986111111111111,G3,Galactose,3,0.0962
1.2361111111111112,G3,Galactose,3,0.0971
1.4861111111111112,G3,Galactose,3,0.0972
1.7361111111111112,G3,Galactose,3,0.0976
1.9861111111111112,G3,Galactose,3,0.0984
2.236111111111111,G3,Galactose,3,0.0986
2.486111111111111,G3,Galactose,3,0.0991
2.736111111111111,G3,Galactose,3,0.0992
2.986111111111111,G3,Galactose,3,0.0997
3.236111111111111,G3,Galactose,3,0.1001
3.486111111111111,G3,Galactose,3,0.1008
3.736111111111111,G3,Galactose,3,0.1007
3.986111111111111,G3,Galactose,3,0.101
4.236111111111112,G3,Galactose,3,0.1015
4.486111111111112,G3,Galactose,3,0.1017
4.736111111111112,G3,Galactose,3,0.102
4.986111111111112,G3,Galactose,3,0.1023
5.236111111111112,G3,Galactose,3,0.1026
5.486111111111112,G3,Galactose,3,0.1033
5.736111111111112,G3,Galactose,3,0.1035
5.986111111111112,G3,Galactose,3,0.104
6.236111111111112,G3,Galactose,3,0.1043
6.486111111111112,G3,Galactose,3,0.1049
6.736111111111112,G3,Galactose,3,0.1052
6.986111111111112,G3,Galactose,3,0.1057
7.236111111111112,G3,Galactose,3,0.1062
7.486111111111112,G3,Galactose,3,0.1067
7.736111111111112,G3,Galactose,3,0.1071
7.986111111111112,G3,Galactose,3,0.1078
8.23611111111111,G3,Galactose,3,0.1081
8.48611111111111,G3,Galactose,3,0.1088
8.73611111111111,G3,Galactose,3,0.1092
8.98611111111111,G3,Galactose,3,0.1101
9.23611111111111,G3,Galactose,3,0.1104
9.48611111111111,G3,Galactose,3,0.1111
9.73611111111111,G3,Galactose,3,0.1119
9.98611111111111,G3,Galactose,3,0.1122
10.23611111111111,G3,Galactose,3,0.1132
10.48611111111111,G3,Galactose,3,0.1136
10.73611111111111,G3,Galactose,3,0.1144
10.98611111111111,G3,Galactose,3,0.1149
11.23611111111111,G3,Galactose,3,0.1159
11.48611111111111,G3,Galactose,3,0.1167
11.73611111111111,G3,Galactose,3,0.118
11.98611111111111,G3,Galactose,3,0.119
12.23611111111111,G3,Galactose,3,0.12
12.48611111111111,G3,Galactose,3,0.1212
12.73611111111111,G3,Galactose,3,0.1235
12.98611111111111,G3,Galactose,3,0.1255
13.23611111111111,G3,Galactose,3,0.128
13.48611111111111,G3,Galactose,3,0.1302
13.73611111111111,G3,Galactose,3,0.1337
13.98611111111111,G3,Galactose,3,0.1366
14.23611111111111,G3,Galactose,3,0.1397
14.48611111111111,G3,Galactose,3,0.1419
14.73611111111111,G3,Galactose,3,0.1443
14.98611111111111,G3,Galactose,3,0.1481
15.23611111111111,G3,Galactose,3,0.1518
15.48611111111111,G3,Galactose,3,0.158
15.73611111111111,G3,Galactose,3,0.1628
15.98611111111111,G3,Galactose,3,0.1651
16.23611111111111,G3,Galactose,3,0.1694
16.48611111111111,G3,Galactose,3,0.1731
16.73611111111111,G3,Galactose,3,0.1774
16.98611111111111,G3,Galactose,3,0.1856
17.23611111111111,G3,Galactose,3,0.1918
17.48611111111111,G3,Galactose,3,0.1957
17.73611111111111,G3,Galactose,3,0.2039
17.98611111111111,G3,Galactose,3,0.2069
18.23611111111111,G3,Galactose,3,0.2111
18.48611111111111,G3,Galactose,3,0.2144
18.73611111111111,G3,Galactose,3,0.2201
18.98611111111111,G3,Galactose,3,0.2282
19.23611111111111,G3,Galactose,3,0.2338
19.48611111111111,G3,Galactose,3,0.242
19.73611111111111,G3,Galactose,3,0.2493
19.98611111111111,G3,Galactose,3,0.2596
20.23611111111111,G3,Galactose,3,0.2675
20.48611111111111,G3,Galactose,3,0.2776
20.73611111111111,G3,Galactose,3,0.2903
20.98611111111111,G3,Galactose,3,0.2991
21.23611111111111,G3,Galactose,3,0.3107
21.48611111111111,G3,Galactose,3,0.3211
21.73611111111111,G3,Galactose,3,0.3325
21.98611111111111,G3,Galactose,3,0.3472
22.23611111111111,G3,Galactose,3,0.3678
22.48611111111111,G3,Galactose,3,0.3802
22.73611111111111,G3,Galactose,3,0.3934
22.98611111111111,G3,Galactose,3,0.4122
23.23611111111111,G3,Galactose,3,0.4305
23.48611111111111,G3,Galactose,3,0.4508
23.73611111111111,G3,Galactose,3,0.4804
23.98611111111111,G3,Galactose,3,0.4921
24.23611111111111,G3,Galactose,3,0.5259
24.48611111111111,G3,Galactose,3,0.5543
24.73611111111111,G3,Galactose,3,0.5775
24.98611111111111,G3,Galactose,3,0.5981
25.23611111111111,G3,Galactose,3,0.6162
25.48611111111111,G3,Galactose,3,0.6308
25.73611111111111,G3,Galactose,3,0.645
25.98611111111111,G3,Galactose,3,0.6536
26.23611111111111,G3,Galactose,3,0.6693
26.48611111111111,G3,Galactose,3,0.6806
26.73611111111111,G3,Galactose,3,0.6926
26.98611111111111,G3,Galactose,3,0.7052
27.23611111111111,G3,Galactose,3,0.718
27.48611111111111,G3,Galactose,3,0.7274
27.73611111111111,G3,Galactose,3,0.7378
27.98611111111111,G3,Galactose,3,0.7455
28.23611111111111,G3,Galactose,3,0.7496
28.48611111111111,G3,Galactose,3,0.7535
28.73611111111111,G3,Galactose,3,0.7537
