,Sample_id,Carbon source,Metabolite,Concentration [uM],Hours,Bioreactor,AUC [gDW*h/L],Z-score
170,SM_MPTA_112023_93_Galactose-T20_M3_12,Galactose,2-hydroxybutyrate,,20.0,REL03,7.426058906659442,-0.764795963827084
171,SM_MPTA_112023_80_L-alanine-T16_M10_29,L-alanine,2-hydroxybutyrate,,16.0,REL08,1.099304187854922,1.5472030700247588
172,SM_MPTA_112023_53_L-alanine-T10_M10_26,L-alanine,2-hydroxybutyrate,,10.0,REL08,0.3217909293828691,0.4256020346633719
173,SM_MPTA_112023_54_L-alanine-T10_M11_27,L-alanine,2-hydroxybutyrate,,10.0,REL09,0.296012098023468,0.4116721182940319
174,SM_MPTA_112023_M9_L-alanine_002_38,L-alanine,2-hydroxybutyrate,,0.0,,0.0,
175,SM_MPTA_112023_81_L-alanine-T16_M11_30,L-alanine,2-hydroxybutyrate,,16.0,REL09,1.1067118980156694,0.9223386196699088
176,SM_MPTA_112023_66_Galactose-T14_M3_6,Galactose,2-hydroxybutyrate,,14.0,REL03,2.1848684507093163,0.7482309210661365
177,SM_MPTA_112023_143_L-malate-T13_M6_23,L-malate,2-hydroxybutyrate,,13.0,REL05,2.7850460023716854,-0.8187242995855083
178,SM_MPTA_112023_127_L-malate-T9_M5_16,L-malate,2-hydroxybutyrate,,9.25,REL04,1.034068337324968,-0.3304551771183169
179,SM_MPTA_112023_51_L-malate-T10_M7_21,L-malate,2-hydroxybutyrate,,10.0,REL06,1.0771807208731472,-0.3081543956144034
180,SM_MPTA_112023_49_L-malate-T10_M5_19,L-malate,2-hydroxyglutaric acid,,10.0,REL04,1.4313031841181596,0.5341285767214936
181,SM_MPTA_112023_79_L-alanine-T16_M9_28,L-alanine,2-hydroxyglutaric acid,,16.0,REL07,1.224938952181199,0.4721445013595515
182,SM_MPTA_112023_58_L-malate-T12_M5_22,L-malate,2-hydroxyglutaric acid,,12.0,REL04,2.865121839561659,0.7546591678380962
183,SM_MPTA_112023_28_Galactose-T6_M1_1,Galactose,2-hydroxyglutaric acid,,6.0,REL01,0.3027227371464714,-0.8398387385084319
184,SM_MPTA_112023_M9_Galactose_001_40,Galactose,2-hydroxyglutaric acid,,0.0,,0.0,
185,SM_MPTA_112023_M9_L-alanine_001_37,L-alanine,2-hydroxyglutaric acid,,0.0,,0.0,
186,SM_MPTA_112023_M9_Galactose_002_41,Galactose,2-hydroxyglutaric acid,,0.0,,0.0,
187,SM_MPTA_112023_64_Galactose-T14_M1_7,Galactose,2-hydroxyglutaric acid,,14.0,REL01,3.657264738592213,
188,SM_MPTA_112023_52_L-alanine-T10_M9_25,L-alanine,2-hydroxyglutaric acid,,10.0,REL07,0.3182352285057104,-0.6925957147290127
189,SM_MPTA_112023_32_L-malate-T6_M6_14,L-malate,2-hydroxyglutaric acid,,6.0,REL05,0.1847473940054876,-0.7739839720783412
190,SM_MPTA_112023_55_Galactose-T12_M1_4,Galactose,2-hydroxyglutaric acid,,12.0,REL01,2.122869171591218,-0.3599028980508207
191,SM_MPTA_112023_29_Galactose-T6_M2_2,Galactose,2-hydroxyglutaric acid,,6.0,REL02,0.3061863840245775,-0.8402353614797823
192,SM_MPTA_112023_108_L-alanine-T22_M11_36,L-alanine,2-hydroxyglutaric acid,,22.0,REL09,3.9376424130469174,0.970446455997124
193,SM_MPTA_112023_134_L-malate-T11_M6_20,L-malate,2-hydroxyglutaric acid,,11.0,REL05,1.4913949991123805,0.597879141128937
194,SM_MPTA_112023_56_Galactose-T12_M2_5,Galactose,2-hydroxyglutaric acid,,12.0,REL02,2.076109938736786,-0.7058910116490321
195,SM_MPTA_112023_89_L-alanine-T18_M10_32,L-alanine,2-hydroxyglutaric acid,,18.0,REL08,1.718588757293409,0.5060702817575358
196,SM_MPTA_112023_M9_L-malate_002_44,L-malate,2-hydroxyglutaric acid,,0.0,,0.0,-1.195977129635639
