Well,OD,Time,Strain,Carbon_Source,Replicate
A01,0.0368,38,Ecoli,Ctrl,1
A01,0.0367,38.16666667,Ecoli,Ctrl,1
A01,0.0368,38.33333333,Ecoli,Ctrl,1
A01,0.0368,38.5,Ecoli,Ctrl,1
A01,0.0367,38.66666667,Ecoli,Ctrl,1
A01,0.0369,38.83333333,Ecoli,Ctrl,1
A01,0.0368,39,Ecoli,Ctrl,1
A01,0.0368,39.16666667,Ecoli,Ctrl,1
A01,0.0368,39.33333333,Ecoli,Ctrl,1
A01,0.0368,39.5,Ecoli,Ctrl,1
A01,0.0368,39.66666667,Ecoli,Ctrl,1
A01,0.0369,39.83333333,Ecoli,Ctrl,1
A01,0.0369,40,Ecoli,Ctrl,1
A01,0.0369,40.16666667,Ecoli,Ctrl,1
A01,0.0369,40.33333333,Ecoli,Ctrl,1
A01,0.0368,40.5,Ecoli,Ctrl,1
A01,0.0369,40.66666667,Ecoli,Ctrl,1
A01,0.0368,40.83333333,Ecoli,Ctrl,1
A01,0.0369,41,Ecoli,Ctrl,1
A01,0.0369,41.16666667,Ecoli,Ctrl,1
A01,0.0369,41.33333333,Ecoli,Ctrl,1
A01,0.037,41.5,Ecoli,Ctrl,1
A01,0.037,41.66666667,Ecoli,Ctrl,1
A01,0.0369,41.83333333,Ecoli,Ctrl,1
A01,0.037,42,Ecoli,Ctrl,1
A01,0.037,42.16666667,Ecoli,Ctrl,1
A01,0.0369,42.33333333,Ecoli,Ctrl,1
A01,0.037,42.5,Ecoli,Ctrl,1
A01,0.0369,42.66666667,Ecoli,Ctrl,1
A01,0.0369,42.83333333,Ecoli,Ctrl,1
A01,0.037,43,Ecoli,Ctrl,1
A01,0.037,43.16666667,Ecoli,Ctrl,1
A01,0.037,43.33333333,Ecoli,Ctrl,1
A01,0.037,43.5,Ecoli,Ctrl,1
A01,0.037,43.66666667,Ecoli,Ctrl,1
A01,0.0369,43.83333333,Ecoli,Ctrl,1
A01,0.037,44,Ecoli,Ctrl,1
A01,0.037,44.16666667,Ecoli,Ctrl,1
A01,0.037,44.33333333,Ecoli,Ctrl,1
A01,0.0369,44.5,Ecoli,Ctrl,1
A01,0.037,44.66666667,Ecoli,Ctrl,1
A01,0.037,44.83333333,Ecoli,Ctrl,1
A01,0.0371,45,Ecoli,Ctrl,1
A01,0.0369,45.16666667,Ecoli,Ctrl,1
A01,0.0373,45.33333333,Ecoli,Ctrl,1
A01,0.0379,45.5,Ecoli,Ctrl,1
A01,0.0382,45.66666667,Ecoli,Ctrl,1
A01,0.0385,45.83333333,Ecoli,Ctrl,1
A01,0.0386,46,Ecoli,Ctrl,1
A01,0.0384,46.16666667,Ecoli,Ctrl,1
A01,0.0385,46.33333333,Ecoli,Ctrl,1
A01,0.0386,46.5,Ecoli,Ctrl,1
A01,0.0386,46.66666667,Ecoli,Ctrl,1
A01,0.0384,46.83333333,Ecoli,Ctrl,1
A01,0.0385,47,Ecoli,Ctrl,1
A01,0.0384,47.16666667,Ecoli,Ctrl,1
A01,0.0383,47.33333333,Ecoli,Ctrl,1
A01,0.0383,47.5,Ecoli,Ctrl,1
A01,0.0384,47.66666667,Ecoli,Ctrl,1
A01,0.0384,47.83333333,Ecoli,Ctrl,1
A01,0.0385,48,Ecoli,Ctrl,1
B01,0.0374,0,Enterobacter,Ctrl,1
B01,0.0354,0.166666667,Enterobacter,Ctrl,1
B01,0.0355,0.333333333,Enterobacter,Ctrl,1
B01,0.0357,0.5,Enterobacter,Ctrl,1
B01,0.0358,0.666666667,Enterobacter,Ctrl,1
B01,0.036,0.833333333,Enterobacter,Ctrl,1
B01,0.036,1,Enterobacter,Ctrl,1
B01,0.0361,1.166666667,Enterobacter,Ctrl,1
B01,0.0361,1.333333333,Enterobacter,Ctrl,1
B01,0.036,1.5,Enterobacter,Ctrl,1
B01,0.0359,1.666666667,Enterobacter,Ctrl,1
B01,0.0358,1.833333333,Enterobacter,Ctrl,1
B01,0.0359,2,Enterobacter,Ctrl,1
B01,0.0357,2.166666667,Enterobacter,Ctrl,1
B01,0.0357,2.333333333,Enterobacter,Ctrl,1
B01,0.0358,2.5,Enterobacter,Ctrl,1
B01,0.036,2.666666667,Enterobacter,Ctrl,1
B01,0.0362,2.833333333,Enterobacter,Ctrl,1
B01,0.0364,3,Enterobacter,Ctrl,1
B01,0.0365,3.166666667,Enterobacter,Ctrl,1
B01,0.0364,3.333333333,Enterobacter,Ctrl,1
B01,0.0364,3.5,Enterobacter,Ctrl,1
B01,0.0364,3.666666667,Enterobacter,Ctrl,1
B01,0.0364,3.833333333,Enterobacter,Ctrl,1
B01,0.0366,4,Enterobacter,Ctrl,1
B01,0.0367,4.166666667,Enterobacter,Ctrl,1
B01,0.0366,4.333333333,Enterobacter,Ctrl,1
B01,0.0365,4.5,Enterobacter,Ctrl,1
B01,0.0365,4.666666667,Enterobacter,Ctrl,1
B01,0.0364,4.833333333,Enterobacter,Ctrl,1
B01,0.0363,5,Enterobacter,Ctrl,1
B01,0.0364,5.166666667,Enterobacter,Ctrl,1
B01,0.0365,5.333333333,Enterobacter,Ctrl,1
B01,0.0363,5.5,Enterobacter,Ctrl,1
B01,0.0365,5.666666667,Enterobacter,Ctrl,1
B01,0.0364,5.833333333,Enterobacter,Ctrl,1
B01,0.0364,6,Enterobacter,Ctrl,1
B01,0.0365,6.166666667,Enterobacter,Ctrl,1
B01,0.0365,6.333333333,Enterobacter,Ctrl,1
B01,0.0366,6.5,Enterobacter,Ctrl,1
B01,0.0365,6.666666667,Enterobacter,Ctrl,1
B01,0.0366,6.833333333,Enterobacter,Ctrl,1
B01,0.0364,7,Enterobacter,Ctrl,1
B01,0.0364,7.166666667,Enterobacter,Ctrl,1
B01,0.0364,7.333333333,Enterobacter,Ctrl,1
B01,0.0365,7.5,Enterobacter,Ctrl,1
B01,0.0367,7.666666667,Enterobacter,Ctrl,1
B01,0.0366,7.833333333,Enterobacter,Ctrl,1
B01,0.0365,8,Enterobacter,Ctrl,1
B01,0.0365,8.166666667,Enterobacter,Ctrl,1
B01,0.0365,8.333333333,Enterobacter,Ctrl,1
B01,0.0365,8.5,Enterobacter,Ctrl,1
B01,0.0365,8.666666667,Enterobacter,Ctrl,1
B01,0.0366,8.833333333,Enterobacter,Ctrl,1
B01,0.0365,9,Enterobacter,Ctrl,1
B01,0.0365,9.166666667,Enterobacter,Ctrl,1
B01,0.0366,9.333333333,Enterobacter,Ctrl,1
B01,0.0365,9.5,Enterobacter,Ctrl,1
B01,0.0365,9.666666667,Enterobacter,Ctrl,1
B01,0.0366,9.833333333,Enterobacter,Ctrl,1
B01,0.0365,10,Enterobacter,Ctrl,1
B01,0.0366,10.16666667,Enterobacter,Ctrl,1
B01,0.0365,10.33333333,Enterobacter,Ctrl,1
B01,0.0366,10.5,Enterobacter,Ctrl,1
B01,0.0365,10.66666667,Enterobacter,Ctrl,1
B01,0.0367,10.83333333,Enterobacter,Ctrl,1
B01,0.0366,11,Enterobacter,Ctrl,1
B01,0.0366,11.16666667,Enterobacter,Ctrl,1
B01,0.0365,11.33333333,Enterobacter,Ctrl,1
B01,0.0365,11.5,Enterobacter,Ctrl,1
