SangerID,CS,N0,Nmax,T0,Tmax,T16,N16,max_OD,rmax,gcr,gcauc,gcr_se,r,r16,Family
449,D-Glucose,0.038,0.443,1.018888889,27.00944444,15.79277778,0.09,0.76,0.130450286791904,0.331285652942909,16.691548191749,0.0114130964701519,0.136327804465692,0.0841975726271955,Pseudomonadaceae
449,D-Fructose,0.04,0.3,1.018888889,25.47944444,15.79277778,0.043,0.559,0.0984418670026471,0.49156784584956,10.633629860025,0.0305592817286502,0.118839925346245,0.00706223395779668,Pseudomonadaceae
449,D-Galactose,0.04,0.065,1.018611111,15.2825,15.79277778,0.08,0.205,0.0198953989365196,0.159866070584314,3.7781426384315,0.00621855916722759,0.0491058030241147,0.0676857126634598,Pseudomonadaceae
449,D-Ribose,0.039,0.516,1.018888889,47.42138889,15.79277778,0.076,0.555,0.0849142340392152,0.238250892832518,9.1699194435035,0.00723005425506193,0.0802936272071701,0.0651504354528949,Pseudomonadaceae
449,L-Arabinose,0.04,0.175,1.018611111,27.00944444,15.79277778,0.078,0.455,0.0342713816290194,0.170255558379595,7.395746111083,0.00376004724936478,0.0819243842623991,0.0652134327140428,Pseudomonadaceae
449,Glycerol,0.039,0.511,1.018611111,29.55861111,15.79277778,0.077,0.831,0.142922782937864,0.282360539239867,15.805489997723,0.00925528658408121,0.130055264968656,0.0664256972199894,Pseudomonadaceae
449,D-Gluconate,0.04,0.562,1.018611111,23.43888889,15.79277778,0.138,0.765,0.126129089185364,0.405608759369198,19.682338887888,0.0148047609329886,0.170046877336397,0.120927047996524,Pseudomonadaceae
449,2-Ketogluconate,0.05,0.355,1.018611111,23.94916667,15.79305556,0.123,0.731,0.0731651694019096,0.355550192760449,16.9987622232365,0.0114109097073074,0.123320999237955,0.0878989609421432,Pseudomonadaceae
449,Pyruvate,0.04,0.243,1.018888889,14.77305556,15.79305556,0.285,0.711,0.0441182972417946,0.252950454805176,18.8808104175575,0.00690410906199365,0.189243337744807,0.191746179479982,Pseudomonadaceae
449,D-Lactate,0.04,0.406,1.018888889,18.85138889,15.79305556,0.172,0.656,0.087441487916798,0.410073236768027,17.6170712520775,0.00911544576618174,0.187489573649815,0.142433526484124,Pseudomonadaceae
449,Citrate,0.04,0.367,1.018611111,15.28277778,15.79305556,0.411,0.681,0.113333765469527,0.590675474807968,19.5442719445825,0.0451129338303178,0.224177705726431,0.22749190336032,Pseudomonadaceae
449,2-Oxoglutarate,0.039,0.313,1.018611111,15.79305556,15.79305556,0.313,0.654,0.0517880642744606,0.308820780573326,18.5640145854405,0.00962005634001167,0.203365794121195,0.203365794121195,Pseudomonadaceae
449,Succinate,0.04,0.498,1.018888889,18.85138889,15.79333333,0.232,0.729,0.153879057159971,0.518071978332815,19.3008058353205,0.0334547233951927,0.204013673740457,0.171651320654908,Pseudomonadaceae
449,Fumarate,0.04,0.252,1.018611111,16.3025,15.79305556,0.222,0.589,0.053391841940442,0.469165039633528,15.586676111699,0.0206836380648561,0.173735352821339,0.167348950412148,Pseudomonadaceae
449,L-Malate,0.04,0.348,1.018611111,18.85138889,15.79305556,0.188,0.598,0.115262523338852,0.496453702947465,15.7207081958145,0.0323980422420095,0.175015661589003,0.151116393208368,Pseudomonadaceae
449,L-Glutamine,0.039,0.636,1.018611111,22.41972222,15.79277778,0.225,0.767,0.0808368175171819,0.425726912461953,19.77840416701,0.024721923614677,0.1881902633891,0.17113513262714,Pseudomonadaceae
449,Acetate,0.039,0.257,1.018611111,30.57944444,15.79305556,0.044,0.57,0.0679411555144043,0.462085093678307,8.5794519464275,0.0349135526798928,0.0920211653053439,0.0117790824809543,Pseudomonadaceae
449,L-Leucine,0.04,0.318,1.018611111,23.94944444,15.79305556,0.112,0.552,0.0522324202209037,0.234316138936752,12.557091252655,0.00453129445812304,0.130433762152656,0.100540283074453,Pseudomonadaceae
449,L-Phenylalanine,0.039,0.215,1.018611111,32.10916667,15.79305556,0.05,0.396,0.0437663376373999,0.166885023629875,5.6257413903185,0.00615907168740322,0.0792134648753258,0.0242617563150902,Pseudomonadaceae
