Metabolite_Conc,Metabolite,Carbon_Source,Strain,Replicate,Timepoint
0,Alanine,D-Glucose,Pputida,2,16
0,Serine,D-Glucose,Pputida,2,16
37.2,Pyruvic acid,D-Glucose,Pputida,2,16
0,beta-Hydroxybutyric acid,D-Glucose,Pputida,2,16
0.033,Fumaric acid,D-Glucose,Pputida,2,16
0,Lactic acid,D-Glucose,Pputida,2,16
0,Hippuric acid,D-Glucose,Pputida,2,16
0,Propionic acid,D-Glucose,Pputida,2,16
1.16,Succinic acid,D-Glucose,Pputida,2,16
0.274,alpha-Ketoglutaric acid,D-Glucose,Pputida,2,16
0,Acetyl-ornithine,D-Glucose,Pputida,2,16
0,Valine,D-Glucose,Pputida,2,16
0,Asparagine,D-Glucose,Pputida,2,16
0,Butyric acid,D-Glucose,Pputida,2,16
85.6,Acetic acid,D-Glucose,Pputida,2,16
0,Putrescine,D-Glucose,Pputida,2,16
0.994,Citric acid,D-Glucose,Pputida,2,16
0,Methionine,D-Glucose,Pputida,2,16
0,Valeric acid,D-Glucose,Pputida,2,16
0,Alanine,D-Glucose,Pputida,1,28
1.58,beta-Hydroxybutyric acid,D-Glucose,Pputida,1,28
0.912,Acetyl-ornithine,D-Glucose,Pputida,1,28
0.342,Succinic acid,D-Glucose,Pputida,1,28
3.14,Glycine,D-Glucose,Pputida,1,28
0,Propionic acid,D-Glucose,Pputida,1,28
1.73,Pyruvic acid,D-Glucose,Pputida,1,28
0,Serine,D-Glucose,Pputida,1,28
0,Valine,D-Glucose,Pputida,1,28
6.12,Citric acid,D-Glucose,Pputida,1,28
0,alpha-Ketoglutaric acid,D-Glucose,Pputida,1,28
1.33,Asparagine,D-Glucose,Pputida,1,28
0,Valeric acid,D-Glucose,Pputida,1,28
0,Butyric acid,D-Glucose,Pputida,1,28
0.55,Methionine,D-Glucose,Pputida,1,28
0,Hippuric acid,D-Glucose,Pputida,1,28
466,Acetic acid,D-Glucose,Pputida,1,28
67.5,Lactic acid,D-Glucose,Pputida,1,28
0.0413,Fumaric acid,D-Glucose,Pputida,1,28
0,Putrescine,D-Glucose,Pputida,1,28
0,Valine,D-Glucose,Pputida,2,28
0,Butyric acid,D-Glucose,Pputida,2,28
2.11,beta-Hydroxybutyric acid,D-Glucose,Pputida,2,28
0.465,Asparagine,D-Glucose,Pputida,2,28
555,Acetic acid,D-Glucose,Pputida,2,28
0,Alanine,D-Glucose,Pputida,2,28
0.294,Succinic acid,D-Glucose,Pputida,2,28
0,Serine,D-Glucose,Pputida,2,28
0.0584,Fumaric acid,D-Glucose,Pputida,2,28
0,Valeric acid,D-Glucose,Pputida,2,28
0.693,Pyruvic acid,D-Glucose,Pputida,2,28
80.5,Lactic acid,D-Glucose,Pputida,2,28
0.954,Acetyl-ornithine,D-Glucose,Pputida,2,28
3.32,Glycine,D-Glucose,Pputida,2,28
8.53,Citric acid,D-Glucose,Pputida,2,28
0,alpha-Ketoglutaric acid,D-Glucose,Pputida,2,28
0,Putrescine,D-Glucose,Pputida,2,28
0,Propionic acid,D-Glucose,Pputida,2,28
0.517,Methionine,D-Glucose,Pputida,2,28
0,Hippuric acid,D-Glucose,Pputida,2,28
0,Pyruvic acid,D-Glucose,Pputida,1,48
0,Valine,D-Glucose,Pputida,1,48
0,Alanine,D-Glucose,Pputida,1,48
0.771,Propionic acid,D-Glucose,Pputida,1,48
1.34,beta-Hydroxybutyric acid,D-Glucose,Pputida,1,48
0,Serine,D-Glucose,Pputida,1,48
3.26,Glycine,D-Glucose,Pputida,1,48
0,alpha-Ketoglutaric acid,D-Glucose,Pputida,1,48
0.132,Succinic acid,D-Glucose,Pputida,1,48
5.65,Acetyl-ornithine,D-Glucose,Pputida,1,48
0.0168,Fumaric acid,D-Glucose,Pputida,1,48
0,Asparagine,D-Glucose,Pputida,1,48
0,Lactic acid,D-Glucose,Pputida,1,48
0.416,Methionine,D-Glucose,Pputida,1,48
0,Hippuric acid,D-Glucose,Pputida,1,48
0.233,Valeric acid,D-Glucose,Pputida,1,48
0.227,Butyric acid,D-Glucose,Pputida,1,48
730,Acetic acid,D-Glucose,Pputida,1,48
0,Putrescine,D-Glucose,Pputida,1,48
1.01,Citric acid,D-Glucose,Pputida,1,48
0.155,Succinic acid,D-Glucose,Pputida,2,48
0.48,Asparagine,D-Glucose,Pputida,2,48
0,Lactic acid,D-Glucose,Pputida,2,48
0,Alanine,D-Glucose,Pputida,2,48
4.67,Acetyl-ornithine,D-Glucose,Pputida,2,48
0.715,Methionine,D-Glucose,Pputida,2,48
2.67,Glycine,D-Glucose,Pputida,2,48
1.23,Propionic acid,D-Glucose,Pputida,2,48
0,Pyruvic acid,D-Glucose,Pputida,2,48
0,Valine,D-Glucose,Pputida,2,48
0,Serine,D-Glucose,Pputida,2,48
0,Hippuric acid,D-Glucose,Pputida,2,48
1.03,Citric acid,D-Glucose,Pputida,2,48
0,alpha-Ketoglutaric acid,D-Glucose,Pputida,2,48
0,Putrescine,D-Glucose,Pputida,2,48
1.14,beta-Hydroxybutyric acid,D-Glucose,Pputida,2,48
0.298,Valeric acid,D-Glucose,Pputida,2,48
0.557,Butyric acid,D-Glucose,Pputida,2,48
0.0229,Fumaric acid,D-Glucose,Pputida,2,48
732,Acetic acid,D-Glucose,Pputida,2,48
0,beta-Hydroxybutyric acid,D-Glucose,Pseudomonas,1,16
0.0387,Succinic acid,D-Glucose,Pseudomonas,1,16
0,Serine,D-Glucose,Pseudomonas,1,16
0,Pyruvic acid,D-Glucose,Pseudomonas,1,16
0,Lactic acid,D-Glucose,Pseudomonas,1,16
0.511,Asparagine,D-Glucose,Pseudomonas,1,16
0,alpha-Ketoglutaric acid,D-Glucose,Pseudomonas,1,16
0.0154,Fumaric acid,D-Glucose,Pseudomonas,1,16
0,Alanine,D-Glucose,Pseudomonas,1,16
2.91,Glycine,D-Glucose,Pseudomonas,1,16
0,Propionic acid,D-Glucose,Pseudomonas,1,16
0,Valine,D-Glucose,Pseudomonas,1,16
0,Valeric acid,D-Glucose,Pseudomonas,1,16
0,Putrescine,D-Glucose,Pseudomonas,1,16
0,Butyric acid,D-Glucose,Pseudomonas,1,16
0,Acetyl-ornithine,D-Glucose,Pseudomonas,1,16
0.218,Methionine,D-Glucose,Pseudomonas,1,16
0,Hippuric acid,D-Glucose,Pseudomonas,1,16
1.51,Citric acid,D-Glucose,Pseudomonas,1,16
98.6,Acetic acid,D-Glucose,Pseudomonas,1,16
0,beta-Hydroxybutyric acid,D-Glucose,Pseudomonas,2,16
0,Valine,D-Glucose,Pseudomonas,2,16
0.0385,Succinic acid,D-Glucose,Pseudomonas,2,16
0.565,Acetyl-ornithine,D-Glucose,Pseudomonas,2,16
0.0194,Fumaric acid,D-Glucose,Pseudomonas,2,16
0,Alanine,D-Glucose,Pseudomonas,2,16
0,Pyruvic acid,D-Glucose,Pseudomonas,2,16
0,Lactic acid,D-Glucose,Pseudomonas,2,16
0.0609,Methionine,D-Glucose,Pseudomonas,2,16
0,Serine,D-Glucose,Pseudomonas,2,16
0,Asparagine,D-Glucose,Pseudomonas,2,16
0,Propionic acid,D-Glucose,Pseudomonas,2,16
0,alpha-Ketoglutaric acid,D-Glucose,Pseudomonas,2,16
2.95,Glycine,D-Glucose,Pseudomonas,2,16
56.1,Acetic acid,D-Glucose,Pseudomonas,2,16
0,Butyric acid,D-Glucose,Pseudomonas,2,16
1.22,Citric acid,D-Glucose,Pseudomonas,2,16
0,Hippuric acid,D-Glucose,Pseudomonas,2,16
0,Valeric acid,D-Glucose,Pseudomonas,2,16
0,Putrescine,D-Glucose,Pseudomonas,2,16
0,Alanine,D-Glucose,Pseudomonas,1,28
0.123,Succinic acid,D-Glucose,Pseudomonas,1,28
0.0542,beta-Hydroxybutyric acid,D-Glucose,Pseudomonas,1,28
0,Propionic acid,D-Glucose,Pseudomonas,1,28
0,Pyruvic acid,D-Glucose,Pseudomonas,1,28
0,Putrescine,D-Glucose,Pseudomonas,1,28
0,Valine,D-Glucose,Pseudomonas,1,28
0,Asparagine,D-Glucose,Pseudomonas,1,28
1.62,Acetyl-ornithine,D-Glucose,Pseudomonas,1,28
0.1,Methionine,D-Glucose,Pseudomonas,1,28
0,Hippuric acid,D-Glucose,Pseudomonas,1,28
2.78,Glycine,D-Glucose,Pseudomonas,1,28
0,Lactic acid,D-Glucose,Pseudomonas,1,28
0.0192,Fumaric acid,D-Glucose,Pseudomonas,1,28
0,Serine,D-Glucose,Pseudomonas,1,28
96.1,Acetic acid,D-Glucose,Pseudomonas,1,28
0,alpha-Ketoglutaric acid,D-Glucose,Pseudomonas,1,28
1.27,Citric acid,D-Glucose,Pseudomonas,1,28
0,Butyric acid,D-Glucose,Pseudomonas,1,28
0,Valeric acid,D-Glucose,Pseudomonas,1,28
0,Valine,D-Glucose,Pseudomonas,2,28
0.286,Succinic acid,D-Glucose,Pseudomonas,2,28
0,Alanine,D-Glucose,Pseudomonas,2,28
1.34,Pyruvic acid,D-Glucose,Pseudomonas,2,28
0,Serine,D-Glucose,Pseudomonas,2,28
0,Fumaric acid,D-Glucose,Pseudomonas,2,28
0,Valeric acid,D-Glucose,Pseudomonas,2,28
0.0492,Asparagine,D-Glucose,Pseudomonas,2,28
1.26,beta-Hydroxybutyric acid,D-Glucose,Pseudomonas,2,28
0,Putrescine,D-Glucose,Pseudomonas,2,28
0,Propionic acid,D-Glucose,Pseudomonas,2,28
2.95,Glycine,D-Glucose,Pseudomonas,2,28
0,Lactic acid,D-Glucose,Pseudomonas,2,28
0.0842,Methionine,D-Glucose,Pseudomonas,2,28
2.12,Acetyl-ornithine,D-Glucose,Pseudomonas,2,28
2.99,Citric acid,D-Glucose,Pseudomonas,2,28
0,alpha-Ketoglutaric acid,D-Glucose,Pseudomonas,2,28
0,Hippuric acid,D-Glucose,Pseudomonas,2,28
0,Butyric acid,D-Glucose,Pseudomonas,2,28
225,Acetic acid,D-Glucose,Pseudomonas,2,28
0,Alanine,D-Glucose,Pseudomonas,1,48
0,Valine,D-Glucose,Pseudomonas,1,48
1.62,Serine,D-Glucose,Pseudomonas,1,48
0.0134,Fumaric acid,D-Glucose,Pseudomonas,1,48
0.178,Succinic acid,D-Glucose,Pseudomonas,1,48
0.0642,beta-Hydroxybutyric acid,D-Glucose,Pseudomonas,1,48
3.51,Acetyl-ornithine,D-Glucose,Pseudomonas,1,48
3.49,Glycine,D-Glucose,Pseudomonas,1,48
0.458,Asparagine,D-Glucose,Pseudomonas,1,48
0.0443,Butyric acid,D-Glucose,Pseudomonas,1,48
0,Lactic acid,D-Glucose,Pseudomonas,1,48
0,Putrescine,D-Glucose,Pseudomonas,1,48
0,Hippuric acid,D-Glucose,Pseudomonas,1,48
0,Propionic acid,D-Glucose,Pseudomonas,1,48
0,alpha-Ketoglutaric acid,D-Glucose,Pseudomonas,1,48
0.155,Methionine,D-Glucose,Pseudomonas,1,48
111,Acetic acid,D-Glucose,Pseudomonas,1,48
3.38,Citric acid,D-Glucose,Pseudomonas,1,48
0,Pyruvic acid,D-Glucose,Pseudomonas,1,48
0.444,Valeric acid,D-Glucose,Pseudomonas,1,48
6.06,Acetyl-ornithine,D-Glucose,Pseudomonas,2,48
0,Lactic acid,D-Glucose,Pseudomonas,2,48
0,Pyruvic acid,D-Glucose,Pseudomonas,2,48
0,Serine,D-Glucose,Pseudomonas,2,48
2.78,Propionic acid,D-Glucose,Pseudomonas,2,48
0,Asparagine,D-Glucose,Pseudomonas,2,48
0,alpha-Ketoglutaric acid,D-Glucose,Pseudomonas,2,48
2.64,Glycine,D-Glucose,Pseudomonas,2,48
0,Valine,D-Glucose,Pseudomonas,2,48
1.02,Butyric acid,D-Glucose,Pseudomonas,2,48
0.816,beta-Hydroxybutyric acid,D-Glucose,Pseudomonas,2,48
0,Hippuric acid,D-Glucose,Pseudomonas,2,48
1040,Acetic acid,D-Glucose,Pseudomonas,2,48
0,Alanine,D-Glucose,Pseudomonas,2,48
0.0263,Fumaric acid,D-Glucose,Pseudomonas,2,48
5.42,Citric acid,D-Glucose,Pseudomonas,2,48
0,Putrescine,D-Glucose,Pseudomonas,2,48
0.456,Valeric acid,D-Glucose,Pseudomonas,2,48
0,Methionine,D-Glucose,Pseudomonas,2,48
0.166,Succinic acid,D-Glucose,Pseudomonas,2,48
0,Valine,L-Malate,Ecoli,1,16
0,Asparagine,L-Malate,Ecoli,1,16
26.1,Succinic acid,L-Malate,Ecoli,1,16
0,Alanine,L-Malate,Ecoli,1,16
0.511,Pyruvic acid,L-Malate,Ecoli,1,16
0.385,Serine,L-Malate,Ecoli,1,16
0,beta-Hydroxybutyric acid,L-Malate,Ecoli,1,16
0.592,Valeric acid,L-Malate,Ecoli,1,16
1.72,Citric acid,L-Malate,Ecoli,1,16
0,Butyric acid,L-Malate,Ecoli,1,16
0.251,Acetyl-ornithine,L-Malate,Ecoli,1,16
0.18,Hippuric acid,L-Malate,Ecoli,1,16
0.293,Propionic acid,L-Malate,Ecoli,1,16
0,Glycine,L-Malate,Ecoli,1,16
0,Lactic acid,L-Malate,Ecoli,1,16
