Strain,Replicate,Metabolite,Concentration [nM],Label,Concentration [nΜ],Concentration [μΜ],AUC [gDW/L*h],Rate [mmol/gDW/h]
sucB-M6,A,Citrate,16637.8793924302,ΔsucB-M6,,16.6378793924302,1.3453656400018525,0.012366808618961972
sucB-M6,B,Citrate,16947.5144081933,ΔsucB-M6,,16.9475144081933,1.4283064533350887,0.011865460923053968
sucB-M6,C,Citrate,22464.2594697839,ΔsucB-M6,,22.4642594697839,1.3644267800019232,0.016464246963660622
sucB-M7,A,Citrate,15415.5731845579,ΔsucB-M7,,15.4155731845579,1.3696410000085188,0.011255192553714455
sucB-M7,B,Citrate,,ΔsucB-M7,,,1.3158380000086298,
sucB-M7,C,Citrate,11963.225815668,ΔsucB-M7,,11.963225815668,1.3001815000082269,0.00920119676798378
sucB,A,Citrate,20489.124554440303,ΔsucB,,20.489124554440302,2.0592501400160215,0.0099497987914576
sucB,B,Citrate,21041.4610098675,ΔsucB,,21.0414610098675,2.1355408333503245,0.009852989313651656
sucB,C,Citrate,25781.3328115026,ΔsucB,,25.7813328115026,2.1086105000162427,0.012226692796656379
WT,A,Citrate,5377.244197831819,E. coli WT,,5.3772441978318195,2.0394393333560843,0.0026366286605755862
WT,B,Citrate,3669.63843733616,E. coli WT,,3.66963843733616,2.0583972500232512,0.001782764933879847
WT,C,Citrate,4348.75682794182,E. coli WT,,4.34875682794182,2.212482583354886,0.0019655552819528217
sucB-M5,A,Isocitrate,147.96029698015002,ΔsucB-M5,,0.14796029698015,1.2717674033618545,0.0001163422624208045
sucB-M5,B,Isocitrate,362.095771980635,ΔsucB-M5,,0.362095771980635,1.3407972866946072,0.0002700600423150389
sucB-M5,C,Isocitrate,271.239398362712,ΔsucB-M5,,0.271239398362712,1.3730577500282966,0.0001975440569467105
sucB-M6,A,Isocitrate,926.967531136693,ΔsucB-M6,,0.926967531136693,1.3453656400018525,0.0006890078827458509
sucB-M6,B,Isocitrate,958.850136219853,ΔsucB-M6,,0.9588501362198529,1.4283064533350887,0.0006713196135051708
sucB-M6,C,Isocitrate,1051.50938502833,ΔsucB-M6,,1.05150938502833,1.3644267800019232,0.0007706601779150419
sucB-M7,A,Isocitrate,757.27591445616,ΔsucB-M7,,0.7572759144561599,1.3696410000085188,0.0005529010262188777
sucB-M7,B,Isocitrate,,ΔsucB-M7,,,1.3158380000086298,
sucB-M7,C,Isocitrate,690.3670576712,ΔsucB-M7,,0.6903670576712,1.3001815000082269,0.000530977450199708
sucB,A,Isocitrate,850.109994173124,ΔsucB,,0.850109994173124,2.0592501400160215,0.00041282502676751547
sucB,B,Isocitrate,1115.0897399967098,ΔsucB,,1.11508973999671,2.1355408333503245,0.0005221580044654595
sucB,C,Isocitrate,1014.55868634757,ΔsucB,,1.01455868634757,2.1086105000162427,0.0004811503529645493
WT,A,Isocitrate,207.407692836654,E. coli WT,,0.207407692836654,2.0394393333560843,0.00010169838810323701
WT,B,Isocitrate,144.751033571449,E. coli WT,,0.144751033571449,2.0583972500232512,7.032220508933051e-05
WT,C,Isocitrate,212.61402333085903,E. coli WT,,0.21261402333085902,2.212482583354886,9.609749018157826e-05
sucB-M5,A,Cis-aconitate,8.92307111563826,ΔsucB-M5,,0.00892307111563826,1.2717674033618545,7.016276004598452e-06
sucB-M5,B,Cis-aconitate,7.4599834620922705,ΔsucB-M5,,0.007459983462092271,1.3407972866946072,5.563841406990726e-06
sucB-M5,C,Cis-aconitate,7.1780849330449294,ΔsucB-M5,,0.007178084933044929,1.3730577500282966,5.227809924889904e-06
sucB-M6,A,Cis-aconitate,101.817252918981,ΔsucB-M6,,0.101817252918981,1.3453656400018525,7.567998608827322e-05
sucB-M6,B,Cis-aconitate,105.126355551072,ΔsucB-M6,,0.105126355551072,1.4283064533350887,7.360210079958854e-05
sucB-M6,C,Cis-aconitate,96.8914402597206,ΔsucB-M6,,0.0968914402597206,1.3644267800019232,7.101256123071993e-05
sucB-M7,A,Cis-aconitate,70.8741455911425,ΔsucB-M7,,0.0708741455911425,1.3696410000085188,5.1746512838547964e-05
sucB-M7,B,Cis-aconitate,73.91771469137,ΔsucB-M7,,0.07391771469137,1.3158380000086298,5.617539141663732e-05
sucB-M7,C,Cis-aconitate,83.5791476239574,ΔsucB-M7,,0.08357914762395739,1.3001815000082269,6.428267716732514e-05
sucB,A,Cis-aconitate,121.028107873419,ΔsucB,,0.121028107873419,2.0592501400160215,5.8772902583110843e-05
sucB,B,Cis-aconitate,125.50382461173298,ΔsucB,,0.12550382461173298,2.1355408333503245,5.876910553606105e-05
sucB,C,Cis-aconitate,100.29817745106499,ΔsucB,,0.100298177451065,2.1086105000162427,4.756600493561632e-05
WT,A,Cis-aconitate,7.496302688733921,E. coli WT,,0.00749630268873392,2.0394393333560843,3.6756683889184716e-06
WT,B,Cis-aconitate,8.18454178751496,E. coli WT,,0.00818454178751496,2.0583972500232512,3.9761721346171195e-06
WT,C,Cis-aconitate,12.136873580428901,E. coli WT,,0.0121368735804289,2.212482583354886,5.485635761265618e-06
