Timestamp,Time [h],Day,Strain-Bioreactor,OD,Strain,Bioreactor
2024-04-03 12:05:00,25.33333333331393,1,sucB-M6,1.97,sucB,M6
2024-04-03 13:05:00,26.333333333430346,1,sucB-M6,1.64,sucB,M6
2024-04-03 14:25:00,27.666666666744277,1,sucB-M6,1.41,sucB,M6
2024-04-03 16:50:00,30.083333333430346,1,sucB-M6,0.99,sucB,M6
2024-04-03 17:50:00,31.08333333337214,1,sucB-M6,0.82,sucB,M6
2024-04-03 18:55:00,32.16666666674428,1,sucB-M6,0.72,sucB,M6
2024-04-03 22:05:00,35.333333333430346,1,sucB-M6,0.47,sucB,M6
2024-04-03 22:25:00,35.666666666802485,1,sucB-M6,,sucB,M6
2024-04-04 00:10:00,37.41666666674428,2,sucB-M6,0.44,sucB,M6
2024-04-04 07:00:00,44.25,2,sucB-M6,0.5,sucB,M6
2024-04-04 09:50:00,47.08333333331393,2,sucB-M6,0.72,sucB,M6
2024-04-04 13:35:00,50.83333333331393,2,sucB-M6,0.94,sucB,M6
2024-04-04 17:00:00,54.250000000116415,2,sucB-M6,1.34,sucB,M6
2024-04-04 21:40:00,58.916666666802485,2,sucB-M6,1.89,sucB,M6
