,Carbon source,Phase,Metabolite,Intracellular concentration [uM],Error [uM],SEM [uM],# values,idx concentration sheet,Min,Max,LB,Min LB,UB,Max UB
100,L-alanine,Stationary,Hexoses,,,,,,,,,,,
101,L-alanine,Exponential,Hexoses,,,,,,,,,,,
102,L-alanine,Stationary,Isocitrate,14.292777777777777,21.971615244870872,11.210007777995344,3.0,"129,128,130",2.433333333333333,36.7,-7.678837467093095,4.68e-06,36.26439302264865,4.688263787778018
103,L-alanine,Exponential,Isocitrate,14.292777777777777,21.971615244870872,11.210007777995344,3.0,"129,128,130",2.433333333333333,36.7,-7.678837467093095,4.68e-06,36.26439302264865,4.688263787778018
104,L-alanine,Stationary,Isoleucine,33.1,0.0,0.0,1.0,137,33.1,33.1,33.1,33.1,33.1,33.1
105,L-alanine,Exponential,Isoleucine,125.81000000000002,70.35794078522892,35.8969085638923,5.0,"136,135,134,133,131",21.083333333333332,219.0,55.4520592147711,-1.972608799338758,196.16794078522895,548.0
106,L-alanine,Stationary,Lactate,,,,,,,,,,,
107,L-alanine,Exponential,Lactate,,,,,,,,,,,
108,L-alanine,Stationary,Leucine,120.0,0.0,0.0,1.0,148,120.0,120.0,120.0,120.0,120.0,120.0
109,L-alanine,Exponential,Leucine,162.55,43.727344249463755,22.309869515032528,5.0,"141,142,145,146,147",85.08333333333333,219.0,118.82265575053626,70.38985136035646,206.27734424946377,548.0
110,L-alanine,Stationary,Lysine,361.0,0.0,0.0,1.0,151,361.0,361.0,361.0,361.0,361.0,361.0
111,L-alanine,Exponential,Lysine,512.2333333333333,145.19448109499356,74.0788168852008,5.0,"149,152,153,154,155",327.50000000000006,762.0,367.0388522383398,231.0777262272777,657.4278144283269,1060.0
112,L-alanine,Stationary,Malate,1832.8666666666668,1334.0284107476039,680.6267401773489,5.0,"161,160,159,158,157",341.8333333333333,3450.0,498.83825591906293,308.16764291844487,3166.8950774142704,3890.0
113,L-alanine,Exponential,Malate,1832.8666666666668,1334.0284107476039,680.6267401773489,5.0,"161,160,159,158,157",341.8333333333333,3450.0,498.83825591906293,308.16764291844487,3166.8950774142704,3890.0
114,L-alanine,Stationary,Methionine,30.3,0.0,0.0,1.0,171,30.3,30.3,30.3,30.3,30.3,30.3
115,L-alanine,Exponential,Methionine,98.74666666666667,31.82669830008203,16.238111377592872,5.0,"166,164,163,167,168",65.9,145.0,66.91996836658464,43.8,130.5733649667487,168.0
116,L-alanine,Stationary,NAD,2171.5,2701.8599999999997,1378.4999999999998,2.0,"172,176",793.0,3550.0,-530.3599999999997,793.0,4873.36,3769.0
117,L-alanine,Exponential,NAD,2099.666666666667,1246.027768978953,635.7284535606904,5.0,"178,177,175,174,173",581.6666666666666,4080.000000000001,853.638897687714,514.6402705396349,3345.6944356456197,13000.0
118,L-alanine,Stationary,Phenylalanine,65.7,0.0,0.0,1.0,189,65.7,65.7,65.7,65.7,65.7,65.7
119,L-alanine,Exponential,Phenylalanine,56.06,40.75560886476582,20.793677992227458,5.0,"183,187,188,186,184",18.2,134.76666666666668,15.304391135234184,17.7,96.81560886476582,223.85805169973884
120,L-alanine,Stationary,Pipecolic acid,6.05,0.0,0.0,1.0,199,6.05,6.05,6.05,6.05,6.05,6.05
121,L-alanine,Exponential,Pipecolic acid,6.05,0.0,0.0,1.0,199,6.05,6.05,6.05,6.05,6.05,6.05
122,L-alanine,Stationary,Proline,143.0,0.0,0.0,1.0,202,143.0,143.0,143.0,143.0,143.0,143.0
123,L-alanine,Exponential,Proline,283.83333333333337,141.71784935803487,72.30502518267085,5.0,"200,201,206,207,208",91.83333333333334,451.0,142.1154839752985,87.6340463568204,425.55118269136824,505.0
124,L-alanine,Stationary,Pyruvate,8050.0,0.0,0.0,1.0,213,8050.0,8050.0,8050.0,8050.0,8050.0,8050.0
125,L-alanine,Exponential,Pyruvate,8050.0,0.0,0.0,1.0,213,8050.0,8050.0,8050.0,8050.0,8050.0,8050.0
126,L-alanine,Stationary,Sebacoyl-l-carnitine (c10-dc),,,,,,,,,,,
127,L-alanine,Exponential,Sebacoyl-l-carnitine (c10-dc),,,,,,,,,,,
128,L-alanine,Stationary,Serine,343.0,0.0,0.0,1.0,236,343.0,343.0,343.0,343.0,343.0,343.0
129,L-alanine,Exponential,Serine,171.63333333333335,84.79082480237275,43.26062489916977,5.0,"233,229,230,234,235",68.0,280.8333333333334,86.8425085309606,25.700000000000003,256.4241581357061,427.0
130,L-alanine,Stationary,Succinate,1251.0666666666668,483.1952982552707,246.5282133955463,5.0,"238,239,240,242,243",569.0,1841.6666666666667,767.8713684113961,341.0,1734.2619649219375,2190.0
131,L-alanine,Exponential,Succinate,1251.0666666666668,483.1952982552707,246.5282133955463,5.0,"238,239,240,242,243",569.0,1841.6666666666667,767.8713684113961,341.0,1734.2619649219375,2190.0
