,Sample ID,Strain,Hours,OD600,Replicate
932,3C,lacA,74.49999999994179,,C
933,4A,nuoA,74.49999999994179,,A
934,4B,nuoA,74.49999999994179,,B
935,4C,nuoA,74.49999999994179,,C
936,5A,pgi,74.49999999994179,,A
937,5B,pgi,74.49999999994179,,B
938,5C,pgi,74.49999999994179,,C
939,6A,rpe,74.49999999994179,,A
940,6B,rpe,74.49999999994179,,B
941,6C,rpe,74.49999999994179,,C
942,7A,sdhB,74.49999999994179,,A
943,7B,sdhB,74.49999999994179,,B
944,7C,sdhB,74.49999999994179,,C
945,8A,sucB,74.49999999994179,,A
946,8B,sucB,74.49999999994179,,B
947,8C,sucB,74.49999999994179,,C
948,9A,tpiA,74.49999999994179,,A
949,9B,tpiA,74.49999999994179,,B
950,9C,tpiA,74.49999999994179,,C
951,10A,zwf,74.49999999994179,,A
952,10B,zwf,74.49999999994179,,B
953,10C,zwf,74.49999999994179,,C
954,11A,WT,74.49999999994179,,A
955,11B,WT,74.49999999994179,,B
956,11C,WT,74.49999999994179,,C
957,1A,aceE,79.74999999994179,0.347,A
958,1B,aceE,79.74999999994179,0.261,B
959,1C,aceE,79.74999999994179,0.287,C
960,2A,cyoD,79.74999999994179,,A
961,2B,cyoD,79.74999999994179,,B
962,2C,cyoD,79.74999999994179,,C
963,3A,lacA,79.74999999994179,,A
964,3B,lacA,79.74999999994179,,B
965,3C,lacA,79.74999999994179,,C
966,4A,nuoA,79.74999999994179,,A
967,4B,nuoA,79.74999999994179,,B
968,4C,nuoA,79.74999999994179,,C
969,5A,pgi,79.74999999994179,,A
970,5B,pgi,79.74999999994179,,B
971,5C,pgi,79.74999999994179,,C
972,6A,rpe,79.74999999994179,,A
973,6B,rpe,79.74999999994179,,B
974,6C,rpe,79.74999999994179,,C
975,7A,sdhB,79.74999999994179,,A
976,7B,sdhB,79.74999999994179,,B
977,7C,sdhB,79.74999999994179,,C
978,8A,sucB,79.74999999994179,,A
979,8B,sucB,79.74999999994179,,B
980,8C,sucB,79.74999999994179,,C
981,9A,tpiA,79.74999999994179,,A
982,9B,tpiA,79.74999999994179,,B
983,9C,tpiA,79.74999999994179,,C
984,10A,zwf,79.74999999994179,,A
985,10B,zwf,79.74999999994179,,B
986,10C,zwf,79.74999999994179,,C
987,11A,WT,79.74999999994179,,A
988,11B,WT,79.74999999994179,,B
989,11C,WT,79.74999999994179,,C
990,1A,aceE,84.0,0.523,A
991,1B,aceE,84.0,0.349,B
992,1C,aceE,84.0,0.445,C
993,2A,cyoD,84.0,,A
994,2B,cyoD,84.0,,B
995,2C,cyoD,84.0,,C
996,3A,lacA,84.0,,A
997,3B,lacA,84.0,,B
998,3C,lacA,84.0,,C
999,4A,nuoA,84.0,,A
1000,4B,nuoA,84.0,,B
1001,4C,nuoA,84.0,,C
1002,5A,pgi,84.0,,A
1003,5B,pgi,84.0,,B
1004,5C,pgi,84.0,,C
1005,6A,rpe,84.0,,A
1006,6B,rpe,84.0,,B
1007,6C,rpe,84.0,,C
1008,7A,sdhB,84.0,,A
1009,7B,sdhB,84.0,,B
1010,7C,sdhB,84.0,,C
1011,8A,sucB,84.0,,A
1012,8B,sucB,84.0,,B
1013,8C,sucB,84.0,,C
1014,9A,tpiA,84.0,,A
1015,9B,tpiA,84.0,,B
1016,9C,tpiA,84.0,,C
1017,10A,zwf,84.0,,A
1018,10B,zwf,84.0,,B
1019,10C,zwf,84.0,,C
1020,11A,WT,84.0,,A
1021,11B,WT,84.0,,B
1022,11C,WT,84.0,,C
1023,1A,aceE,87.66666666656965,0.977,A
1024,1B,aceE,87.66666666656965,0.494,B
1025,1C,aceE,87.66666666656965,0.959,C
1026,2A,cyoD,87.66666666656965,,A
1027,2B,cyoD,87.66666666656965,,B
1028,2C,cyoD,87.66666666656965,,C
1029,3A,lacA,87.66666666656965,,A
1030,3B,lacA,87.66666666656965,,B
1031,3C,lacA,87.66666666656965,,C
1032,4A,nuoA,87.66666666656965,,A
1033,4B,nuoA,87.66666666656965,,B
1034,4C,nuoA,87.66666666656965,,C
1035,5A,pgi,87.66666666656965,,A
1036,5B,pgi,87.66666666656965,,B
1037,5C,pgi,87.66666666656965,,C
1038,6A,rpe,87.66666666656965,,A
1039,6B,rpe,87.66666666656965,,B
1040,6C,rpe,87.66666666656965,,C
1041,7A,sdhB,87.66666666656965,,A
1042,7B,sdhB,87.66666666656965,,B
1043,7C,sdhB,87.66666666656965,,C
1044,8A,sucB,87.66666666656965,,A
1045,8B,sucB,87.66666666656965,,B
1046,8C,sucB,87.66666666656965,,C
1047,9A,tpiA,87.66666666656965,,A
1048,9B,tpiA,87.66666666656965,,B
1049,9C,tpiA,87.66666666656965,,C
1050,10A,zwf,87.66666666656965,,A
1051,10B,zwf,87.66666666656965,,B
1052,10C,zwf,87.66666666656965,,C
1053,11A,WT,87.66666666656965,,A
1054,11B,WT,87.66666666656965,,B
1055,11C,WT,87.66666666656965,,C
1056,1A,aceE,88.66666666668607,1.069,A
1057,1B,aceE,88.66666666668607,0.51,B
1058,1C,aceE,88.66666666668607,1.049,C
1059,2A,cyoD,88.66666666668607,,A
1060,2B,cyoD,88.66666666668607,,B
1061,2C,cyoD,88.66666666668607,,C
1062,3A,lacA,88.66666666668607,,A
1063,3B,lacA,88.66666666668607,,B
1064,3C,lacA,88.66666666668607,,C
1065,4A,nuoA,88.66666666668607,,A
1066,4B,nuoA,88.66666666668607,,B
1067,4C,nuoA,88.66666666668607,,C
1068,5A,pgi,88.66666666668607,,A
1069,5B,pgi,88.66666666668607,,B
1070,5C,pgi,88.66666666668607,,C
1071,6A,rpe,88.66666666668607,,A
1072,6B,rpe,88.66666666668607,,B
1073,6C,rpe,88.66666666668607,,C
1074,7A,sdhB,88.66666666668607,,A
1075,7B,sdhB,88.66666666668607,,B
1076,7C,sdhB,88.66666666668607,,C
1077,8A,sucB,88.66666666668607,,A
1078,8B,sucB,88.66666666668607,,B
1079,8C,sucB,88.66666666668607,,C
1080,9A,tpiA,88.66666666668607,,A
1081,9B,tpiA,88.66666666668607,,B
1082,9C,tpiA,88.66666666668607,,C
1083,10A,zwf,88.66666666668607,,A
1084,10B,zwf,88.66666666668607,,B
1085,10C,zwf,88.66666666668607,,C
1086,11A,WT,88.66666666668607,,A
1087,11B,WT,88.66666666668607,,B
1088,11C,WT,88.66666666668607,,C
1089,1A,aceE,89.91666666656965,1.177,A
1090,1B,aceE,89.91666666656965,0.547,B
1091,1C,aceE,89.91666666656965,1.141,C
1092,2A,cyoD,89.91666666656965,,A
1093,2B,cyoD,89.91666666656965,,B
1094,2C,cyoD,89.91666666656965,,C
1095,3A,lacA,89.91666666656965,,A
1096,3B,lacA,89.91666666656965,,B
1097,3C,lacA,89.91666666656965,,C
1098,4A,nuoA,89.91666666656965,,A
1099,4B,nuoA,89.91666666656965,,B
1100,4C,nuoA,89.91666666656965,,C
1101,5A,pgi,89.91666666656965,,A
1102,5B,pgi,89.91666666656965,,B
1103,5C,pgi,89.91666666656965,,C
1104,6A,rpe,89.91666666656965,,A
1105,6B,rpe,89.91666666656965,,B
1106,6C,rpe,89.91666666656965,,C
1107,7A,sdhB,89.91666666656965,,A
1108,7B,sdhB,89.91666666656965,,B
1109,7C,sdhB,89.91666666656965,,C
1110,8A,sucB,89.91666666656965,,A
1111,8B,sucB,89.91666666656965,,B
1112,8C,sucB,89.91666666656965,,C
1113,9A,tpiA,89.91666666656965,,A
1114,9B,tpiA,89.91666666656965,,B
1115,9C,tpiA,89.91666666656965,,C
1116,10A,zwf,89.91666666656965,,A
1117,10B,zwf,89.91666666656965,,B
1118,10C,zwf,89.91666666656965,,C
1119,11A,WT,89.91666666656965,,A
1120,11B,WT,89.91666666656965,,B
1121,11C,WT,89.91666666656965,,C
1122,1A,aceE,90.83333333325572,1.214,A
1123,1B,aceE,90.83333333325572,0.611,B
1124,1C,aceE,90.83333333325572,1.197,C
1125,2A,cyoD,90.83333333325572,,A
1126,2B,cyoD,90.83333333325572,,B
1127,2C,cyoD,90.83333333325572,,C
1128,3A,lacA,90.83333333325572,,A
1129,3B,lacA,90.83333333325572,,B
1130,3C,lacA,90.83333333325572,,C
1131,4A,nuoA,90.83333333325572,,A
1132,4B,nuoA,90.83333333325572,,B
1133,4C,nuoA,90.83333333325572,,C
1134,5A,pgi,90.83333333325572,,A
1135,5B,pgi,90.83333333325572,,B
1136,5C,pgi,90.83333333325572,,C
1137,6A,rpe,90.83333333325572,,A
1138,6B,rpe,90.83333333325572,,B
1139,6C,rpe,90.83333333325572,,C
1140,7A,sdhB,90.83333333325572,,A
1141,7B,sdhB,90.83333333325572,,B
1142,7C,sdhB,90.83333333325572,,C
1143,8A,sucB,90.83333333325572,,A
1144,8B,sucB,90.83333333325572,,B
1145,8C,sucB,90.83333333325572,,C
1146,9A,tpiA,90.83333333325572,,A
1147,9B,tpiA,90.83333333325572,,B
1148,9C,tpiA,90.83333333325572,,C
1149,10A,zwf,90.83333333325572,,A
1150,10B,zwf,90.83333333325572,,B
1151,10C,zwf,90.83333333325572,,C
1152,11A,WT,90.83333333325572,,A
1153,11B,WT,90.83333333325572,,B
1154,11C,WT,90.83333333325572,,C
