,Species,Carbon source,model,RSS,RMSD,bic,aic,weighted_bic,weighted_aic,y0,K,r,nu,q0,v,has_lag,has_nu,max_growth_rate,min_doubling_time,lag,Binary growth evaluation,Yield
102,Ml,Formate,Model(BaranyiRoberts),0.008858314,0.004497161,-4697.681271,-4722.174584,1,1,0.045897234,0.254296495,0.132769613,0.314855861,0.0001,0.619076609,TRUE,TRUE,0.046417857,16.80360916,16.56166113,1,0.158233333
103,Ml,Fumarate,Model(BaranyiRoberts),0.874716474,0.057561445,-1473.932714,-1495.388409,0.274533567,0.771422751,0.109946028,0.90131691,7.998489974,6.669904938,0.004732425,0.020261647,TRUE,TRUE,0.067557397,10.65529418,20.80140221,1,0.8565
104,Ml,Glutarate,Model(BaranyiRoberts),0.512265853,0.041884784,-1818.873759,-1840.934282,0.003172305,0.084665357,0.049523588,1.885377625,0.229953088,0.100007282,14.09618333,0.000100009,FALSE,TRUE,0.046810307,11.5433489,21.15599939,1,0.7873
105,Ml,Glycerol,Model(BaranyiRoberts),0.586723415,0.04106077,-2187.007459,-2210.120673,0.002719677,0.090029289,0.103836471,1.18210965,0.067470682,2.323817324,1.80804E+11,1.30516E+11,FALSE,TRUE,0.065847478,10.38990379,12.54013582,1,1.123
106,Ml,Glycine,,,,,,,,,,,,,,,,,,,0,0.1007
107,Ml,Inosine,Model(BaranyiRoberts),1.403090679,0.06191592,-2000.99206,-2024.40786,0.005542546,0.112594762,0.045374342,0.927747723,7.290441552,1.318904618,0.005199892,0.02359976,FALSE,TRUE,0.066762406,10.50011122,27.91780554,1,0.8414
108,Ml,L-alanine,Model(BaranyiRoberts),0.203409123,0.026393306,-2088.572083,-2110.632605,0.971834882,0.999267164,0.052922764,1.430401846,0.300614706,0.10000001,0.0001,0.901801878,TRUE,TRUE,0.063977064,9.716869647,22.44606429,1,0.7731
109,Ml,L-arginine,Model(BaranyiRoberts),0.530097969,0.034788925,-2905.514297,-2930.00761,0.833600735,0.974728308,0.07069976,0.592052598,2.035146467,0.1,0.0001,0.312214257,TRUE,TRUE,0.140605148,5.11414192,28.09828781,1,0.5899
110,Ml,L-aspartate,Model(BaranyiRoberts),0.030699772,0.009919511,-2844.210995,-2866.669014,0.002956918,0.088198337,0.062097291,0.539705288,0.054930488,3.785688955,9.354677418,0.0001,FALSE,TRUE,0.049401349,13.99826215,15.4146122,1,0.455466667
111,Ml,L-glutamate,Model(BaranyiRoberts),0.196043471,0.023734854,-2568.491009,-2591.604224,0.00013896,0.02428309,0.04841807,0.737691759,0.103703314,1.01233879,4426049473,3198928046,FALSE,FALSE,0.088562718,7.371607719,8.842714999,1,0.658833333
112,Ml,L-glutamine,Model(Logistic),0.414351218,0.037669763,-1897.845912,-1908.876173,1.20E-05,1.38E-06,0.102177315,2.420884008,0.037636189,1,0,0,FALSE,TRUE,0.032689007,19.57985764,32.79820028,1,0.9344
113,Ml,L-histidine,Model(BaranyiRoberts),0.082212751,0.016391129,-2481.599658,-2503.941169,0.946686466,0.991324769,0.062289304,0.576961775,0.415479002,1.451321065,0.01318325,0.12345853,TRUE,TRUE,0.113039532,6.328606384,26.37055294,1,0.5314
114,Ml,L-isoleucine,Model(BaranyiRoberts),0.028334013,0.00804298,-4188.415807,-4212.90912,0.16776819,0.653895194,0.050730641,0.246598083,7.441439471,5.720396816,0.000565971,0.036456436,TRUE,FALSE,0.043065987,17.97255589,52.41205735,1,0.165133333
115,Ml,L-Lactate,Model(BaranyiRoberts),1.62025296,0.060821112,-2416.147528,-2440.640842,0.002174061,0.090029447,0.052743508,2.001862957,0.256041859,0.100000017,43402304.11,26960425.78,FALSE,TRUE,0.055807476,9.716869647,17.7050046,1,0.994333333
116,Ml,L-leucine,Model(BaranyiRoberts),0.0015057,0.002270794,-3521.112869,-3543.173391,0.998067157,0.999692032,0.050122628,0.240642103,7.916657417,5.028526788,0.000827857,0.028164482,TRUE,TRUE,0.034770772,21.91775108,46.39072188,1,0.15925
117,Ml,Malate,Model(BaranyiRoberts),0.309651738,0.026588859,-3140.989053,-3165.482366,0.002174251,0.090030568,0.082796158,0.654067892,0.055948512,7.393583809,5831139607,4215441009,FALSE,TRUE,0.055970628,12.42005895,15.14500368,1,0.626133333
118,Ml,Mannitol,Model(BaranyiRoberts),0.302533875,0.030557266,-2225.638534,-2248.322995,0.002774559,0.089345427,0.083127245,1.237317448,0.081478223,1.590488056,1.69192E+11,1.21732E+11,FALSE,TRUE,0.076587854,8.700464353,11.8734107,1,1.139333333
119,Ml,Mannose,Model(BaranyiRoberts),0.700563377,0.046936441,-1910.926833,-1933.499141,0.002968834,0.090030582,0.066056804,1.240902205,0.61588321,0.100000001,1.18005E+11,85188536627,FALSE,TRUE,0.126383949,4.985680125,4.507232379,1,1.035433333
120,Ml,myo-inositol,Model(BaranyiRoberts),1.797816221,0.064067178,-2370.599719,-2395.093032,0.053845998,0.304667836,0.044729525,1.587725373,0.659066597,0.100002829,0.0001,0.318602203,TRUE,TRUE,0.125272872,5.625556112,35.5036639,1,1.1745
121,Ml,Orotate,,,,,,,,,,,,,,,,,,,0,0
122,Ml,Phenylalanine,Model(BaranyiRoberts),0.018152933,0.006437783,-4383.426912,-4407.920226,1,1,0.059621849,0.308513784,5.376991826,9.999991217,0.002348685,0.016941176,TRUE,TRUE,0.033563311,22.50222445,40.3360802,1,0.254433333
123,Ml,Proline,Model(BaranyiRoberts),1.781724059,0.063779802,-2374.537886,-2399.0312,0.044908086,0.26579163,0.070545334,0.956337941,0.508282168,0.867792795,0.0001,0.223095229,TRUE,FALSE,0.179124948,3.945195195,39.66444895,1,1.003633333
124,Ml,Ribose,Model(BaranyiRoberts),2.263195866,0.071882639,-2269.769843,-2294.263156,0.155955526,0.589967998,0.048041292,1.216569529,0.101379005,3.2774575,0.0001,0.366180681,TRUE,TRUE,0.100713116,6.867562006,41.30589013,1,1.2107
125,Ml,Sucrose,Model(BaranyiRoberts),0.177420272,0.023620444,-2347.656424,-2370.228733,0.002968834,0.090030581,0.05914746,1.062152202,0.842890086,0.1,2.72795E+11,1.97017E+11,FALSE,TRUE,0.172045137,3.659701368,3.159261745,1,0.998366667
126,Ml,Uridine,Model(BaranyiRoberts),0.008292932,0.00435128,-4726.56861,-4751.061923,0.999994967,0.999999346,0.046805353,0.310318557,7.963277125,4.495304183,0.001892492,0.018499073,TRUE,TRUE,0.036796361,19.79903515,36.52656753,1,0.260133333
127,Ml,No CS,,,,,,,,,,,,,,,,,,,0,0.0492
