,Sample_ID,USER CODE,Carbon source,Timepoint-tag,Metabolite,Concentration,Hours,Timepoint,M
120,SM_MPTA_112023_88_L-alanine-T18_M9_31,#88: L-alanine-T18 M9,L-alanine,T3,ISOLEUCINE,0.9119636992706599,18,3,M9
121,SM_MPTA_112023_89_L-alanine-T18_M10_32,#89: L-alanine-T18 M10,L-alanine,T3,ISOLEUCINE,0.891507850204708,18,3,M10
122,SM_MPTA_112023_90_L-alanine-T18_M11_33,#90: L-alanine-T18 M11,L-alanine,T3,ISOLEUCINE,1.377694665985702,18,3,M11
123,SM_MPTA_112023_106_L-alanine-T22_M9_34,#106: L-alanine-T22 M9,L-alanine,T4,ISOLEUCINE,17.08635049975452,22,4,M9
124,SM_MPTA_112023_107_L-alanine-T22_M10_35,#107: L-alanine-T22 M10,L-alanine,T4,ISOLEUCINE,15.11320522805008,22,4,M10
125,SM_MPTA_112023_108_L-alanine-T22_M11_36,#108: L-alanine-T22 M11,L-alanine,T4,ISOLEUCINE,21.8682776659962,22,4,M11
126,SM_MPTA_112023_ FreshMedia_M9 Alanine_001_37,  M9 Alanine_001,L-alanine,T0,ISOLEUCINE,,0,0,Alanine_001
127,SM_MPTA_112023_ FreshMedia_M9 Alanine_002_38,M9 Alanine_002,L-alanine,T0,ISOLEUCINE,,0,0,Alanine_002
128,SM_MPTA_112023_ FreshMedia_M9 Alanine_003_39,   M9 Alanine_003,L-alanine,T0,ISOLEUCINE,,0,0,Alanine_003
129,SM_MPTA_112023_ FreshMedia_M9 Galactose_001_40, M9 Galactose_001,Galactose,T0,ISOLEUCINE,0.1324705497549586,0,0,Galactose_001
130,SM_MPTA_112023_ FreshMedia_M9 Galactose_002_41, M9 Galactose_002,Galactose,T0,ISOLEUCINE,,0,0,Galactose_002
131,SM_MPTA_112023_ FreshMedia_M9 Galactose_003_42, M9 Galactose_003,Galactose,T0,ISOLEUCINE,,0,0,Galactose_003
132,SM_MPTA_112023_ FreshMedia_M9 malate_001_43,M9 malate_001,L-malate,T0,ISOLEUCINE,,0,0,malate_001
133,SM_MPTA_112023_ FreshMedia_M9 malate_002_44,M9 malate_002,L-malate,T0,ISOLEUCINE,0.063293013133201,0,0,malate_002
134,SM_MPTA_112023_ FreshMedia_M9 malate_003_45,M9 malate_003,L-malate,T0,ISOLEUCINE,0.0391754615344362,0,0,malate_003
135,SM_MPTA_112023_28_Galactose-T6_M1_1,#28: Galactose-T6 M1,Galactose,T1,METHIONINE,,6,1,M1
136,SM_MPTA_112023_29_Galactose-T6_M2_2,#29: Galactose-T6 M2,Galactose,T1,METHIONINE,,6,1,M2
137,SM_MPTA_112023_39_Galactose-T8_M3_3,#39: Galactose-T8 M3,Galactose,T1,METHIONINE,,8,1,M3
138,SM_MPTA_112023_55_Galactose-T12_M1_4,#55: Galactose-T12 M1,Galactose,T2,METHIONINE,,12,2,M1
139,SM_MPTA_112023_56_Galactose-T12_M2_5,#56: Galactose-T12 M2,Galactose,T2,METHIONINE,0.0017818321268142738,12,2,M2
140,SM_MPTA_112023_66_Galactose-T14_M3_6,#66: Galactose-T14 M3,Galactose,T2,METHIONINE,0.026225157329744196,14,2,M3
141,SM_MPTA_112023_64_Galactose-T14_M1_7,#64: Galactose-T14 M1,Galactose,T3,METHIONINE,0.01565749961716374,14,3,M1
142,SM_MPTA_112023_65_Galactose-T14_M2_8,#65: Galactose-T14 M2,Galactose,T3,METHIONINE,,14,3,M2
143,SM_MPTA_112023_75_Galactose-T16_M3_9,#75: Galactose-T16 M3,Galactose,T3,METHIONINE,,16,3,M3
144,SM_MPTA_112023_82_Galactose-T18_M1_10,#82: Galactose-T18 M1,Galactose,T4,METHIONINE,,18,4,M1
145,SM_MPTA_112023_83_Galactose-T18_M2_11,#83: Galactose-T18 M2,Galactose,T4,METHIONINE,0.681011257869654,18,4,M2
146,SM_MPTA_112023_93_Galactose-T20_M3_12,#93: Galactose-T20 M3,Galactose,T4,METHIONINE,1.098736441761368,20,4,M3
147,SM_MPTA_112023_31_L-malate-T6_M5_13,#31: L-malate-T6 M5,L-malate,T1,METHIONINE,0.0319024852844254,6,1,M5
148,SM_MPTA_112023_32_L-malate-T6_M6_14,#32: L-malate-T6 M6,L-malate,T1,METHIONINE,0.0255589418472442,6,1,M6
149,SM_MPTA_112023_33_L-malate-T6_M7_15,#33: L-malate-T6 M7,L-malate,T1,METHIONINE,0.016115935890012558,6,1,M7
150,SM_MPTA_112023_127_L-malate-T9_M5_16,#127: L-malate-T9 M5,L-malate,T2,METHIONINE,0.0692860169838478,9,2,M5
151,SM_MPTA_112023_50_L-malate-T10_M6_17,#50: L-malate-T10 M6,L-malate,T2,METHIONINE,0.047464416224419395,10,2,M6
152,SM_MPTA_112023_129_L-malate-T9_M7_18,#129: L-malate-T9 M7,L-malate,T2,METHIONINE,0.0229103065663042,9,2,M7
153,SM_MPTA_112023_49_L-malate-T10_M5_19,#49: L-malate-T10 M5,L-malate,T3,METHIONINE,,10,3,M5
154,SM_MPTA_112023_134_L-malate-T11_M6_20,#134: L-malate-T11 M6,L-malate,T3,METHIONINE,0.0640475022341912,11,3,M6
155,SM_MPTA_112023_51_L-malate-T10_M7_21,#51: L-malate-T10 M7,L-malate,T3,METHIONINE,0.01323165984918708,10,3,M7
156,SM_MPTA_112023_58_L-malate-T12_M5_22,#58: L-malate-T12 M5,L-malate,T4,METHIONINE,0.1103582609454968,12,4,M5
157,SM_MPTA_112023_143_L-malate-T13_M6_23,#143: L-malate-T13 M6,L-malate,T4,METHIONINE,0.08369733928608179,13,4,M6
158,SM_MPTA_112023_60_L-malate-T12_M7_24,#60: L-malate-T12 M7,L-malate,T4,METHIONINE,,12,4,M7
159,SM_MPTA_112023_52_L-alanine-T10_M9_25,#52: L-alanine-T10 M9,L-alanine,T1,METHIONINE,0.027343735882303998,10,1,M9
160,SM_MPTA_112023_53_L-alanine-T10_M10_26,#53: L-alanine-T10 M10,L-alanine,T1,METHIONINE,0.023299665459396803,10,1,M10
161,SM_MPTA_112023_54_L-alanine-T10_M11_27,#54: L-alanine-T10 M11,L-alanine,T1,METHIONINE,0.01690498217754148,10,1,M11
162,SM_MPTA_112023_79_L-alanine-T16_M9_28,#79: L-alanine-T16 M9,L-alanine,T2,METHIONINE,,16,2,M9
163,SM_MPTA_112023_80_L-alanine-T16_M10_29,#80: L-alanine-T16 M10,L-alanine,T2,METHIONINE,0.00502444476162036,16,2,M10
164,SM_MPTA_112023_81_L-alanine-T16_M11_30,#81: L-alanine-T16 M11,L-alanine,T2,METHIONINE,0.01129628590265634,16,2,M11
165,SM_MPTA_112023_88_L-alanine-T18_M9_31,#88: L-alanine-T18 M9,L-alanine,T3,METHIONINE,0.0375611650011018,18,3,M9
