,Sample_ID,Carbon source,Metabolite,Concentration [uM],Hours,Timepoint,Bioreactor
133,SM_MPTA_112023_ FreshMedia_M9 malate_002_44,L-malate,ISOLEUCINE,0.063293013133201,0.0,0,malate_002
134,SM_MPTA_112023_ FreshMedia_M9 malate_003_45,L-malate,ISOLEUCINE,0.0391754615344362,0.0,0,malate_003
135,SM_MPTA_112023_28_Galactose-T6_M1_1,Galactose,METHIONINE,,6.0,1,M1
136,SM_MPTA_112023_29_Galactose-T6_M2_2,Galactose,METHIONINE,,6.0,1,M2
137,SM_MPTA_112023_39_Galactose-T8_M3_3,Galactose,METHIONINE,,8.0,1,M3
138,SM_MPTA_112023_55_Galactose-T12_M1_4,Galactose,METHIONINE,,12.0,2,M1
139,SM_MPTA_112023_56_Galactose-T12_M2_5,Galactose,METHIONINE,0.0017818321268142738,12.0,2,M2
140,SM_MPTA_112023_66_Galactose-T14_M3_6,Galactose,METHIONINE,0.026225157329744196,14.0,2,M3
141,SM_MPTA_112023_64_Galactose-T14_M1_7,Galactose,METHIONINE,0.01565749961716374,14.0,3,M1
142,SM_MPTA_112023_65_Galactose-T14_M2_8,Galactose,METHIONINE,,14.0,3,M2
143,SM_MPTA_112023_75_Galactose-T16_M3_9,Galactose,METHIONINE,,16.0,3,M3
144,SM_MPTA_112023_82_Galactose-T18_M1_10,Galactose,METHIONINE,,18.0,4,M1
145,SM_MPTA_112023_83_Galactose-T18_M2_11,Galactose,METHIONINE,0.681011257869654,18.0,4,M2
146,SM_MPTA_112023_93_Galactose-T20_M3_12,Galactose,METHIONINE,1.098736441761368,20.0,4,M3
147,SM_MPTA_112023_31_L-malate-T6_M5_13,L-malate,METHIONINE,0.0319024852844254,6.0,1,M5
148,SM_MPTA_112023_32_L-malate-T6_M6_14,L-malate,METHIONINE,0.0255589418472442,6.0,1,M6
149,SM_MPTA_112023_33_L-malate-T6_M7_15,L-malate,METHIONINE,0.016115935890012558,6.0,1,M7
150,SM_MPTA_112023_127_L-malate-T9_M5_16,L-malate,METHIONINE,0.0692860169838478,9.25,2,M5
151,SM_MPTA_112023_50_L-malate-T10_M6_17,L-malate,METHIONINE,0.047464416224419395,10.0,2,M6
152,SM_MPTA_112023_129_L-malate-T9_M7_18,L-malate,METHIONINE,0.0229103065663042,9.25,2,M7
153,SM_MPTA_112023_49_L-malate-T10_M5_19,L-malate,METHIONINE,,10.0,3,M5
154,SM_MPTA_112023_134_L-malate-T11_M6_20,L-malate,METHIONINE,0.0640475022341912,11.0,3,M6
155,SM_MPTA_112023_51_L-malate-T10_M7_21,L-malate,METHIONINE,0.01323165984918708,10.0,3,M7
156,SM_MPTA_112023_58_L-malate-T12_M5_22,L-malate,METHIONINE,0.1103582609454968,12.0,4,M5
157,SM_MPTA_112023_143_L-malate-T13_M6_23,L-malate,METHIONINE,0.08369733928608179,13.0,4,M6
