,KEGG ID
1176,C06332
1177,C06369
1178,C06376
1179,C06377
1180,C06393
1181,C06397
1182,C06398
1183,C06421
1184,C06422
1185,C06423
1186,C06427
1187,C06441
1188,C06473
1189,C06481
1190,C06482
1191,C06501
1192,C06504
1193,C06505
1194,C06506
1195,C06508
1196,C06509
1197,C06510
1198,C06563
1199,C06567
1200,C06570
1201,C06611
1202,C06612
1203,C06613
1204,C06688
1205,C06694
1206,C06697
1207,C06701
1208,C06710
1209,C06714
1210,C06715
1211,C06735
1212,C06790
1213,C06899
1214,C07054
1215,C07086
1216,C07090
1217,C07091
1218,C07118
1219,C07225
1220,C07335
1221,C07478
1222,C07479
1223,C07490
1224,C07597
1225,C07645
1226,C07648
1227,C07649
1228,C07836
1229,C07838
1230,C08325
1231,C08334
1232,C08353
1233,C09099
1234,C09126
1235,C09306
1236,C09332
1237,C09822
1238,C09847
1239,C09871
1240,C10208
1241,C10216
1242,C10438
1243,C10906
1244,C11038
1245,C11039
1246,C11088
1247,C11143
1248,C11145
1249,C11173
1250,C11215
1251,C11278
1252,C11355
1253,C11376
1254,C11434
1255,C11435
1256,C11436
1257,C11437
1258,C11453
1259,C11457
1260,C11472
1261,C11476
1262,C11477
1263,C11478
1264,C11481
1265,C11514
1266,C11516
1267,C11537
1268,C11544
1269,C11583
1270,C11588
1271,C11638
1272,C11736
1273,C11811
1274,C11821
1275,C11822
1276,C11827
1277,C11838
1278,C11907
1279,C11945
1280,C11946
1281,C11947
1282,C12147
1283,C12205
1284,C12214
1285,C12215
1286,C12248
1287,C12455
1288,C12621
1289,C12622
1290,C12623
1291,C12624
1292,C12632
1293,C12739
1294,C12834
1295,C12835
1296,C12838
1297,C13508
1298,C13645
1299,C14089
1300,C14090
1301,C14099
1302,C14144
1303,C14145
1304,C14179
1305,C14180
1306,C14463
1307,C14786
1308,C14787
1309,C14791
1310,C14792
1311,C14793
1312,C14800
1313,C14802
1314,C14803
1315,C14804
1316,C14805
1317,C14806
1318,C14818
1319,C14819
1320,C14839
1321,C14840
1322,C14847
1323,C14848
1324,C14851
1325,C14852
1326,C14855
1327,C14856
1328,C14857
1329,C14858
1330,C14859
1331,C14861
1332,C14863
1333,C14864
1334,C14865
1335,C14868
1336,C14870
1337,C14871
1338,C14874
1339,C14899
1340,C15025
1341,C15521
1342,C15532
1343,C15547
1344,C15556
1345,C15583
1346,C15586
1347,C15587
1348,C15602
1349,C15603
1350,C15667
1351,C15672
1352,C15673
1353,C15699
1354,C15700
1355,C15767
1356,C15804
1357,C15805
1358,C15806
1359,C15807
