KEGG,Metabolite name,PubChem,ChEBI,METLIN,SMILES,Exact match
C20390,None,None,None,None,None,False
C20396,Methylphosphonic acid,13818,45129,None,CP(O)(O)=O,True
C20415,"dTDP-4-acetamido-4,6-dideoxy-alpha-D-galactose",None,None,None,None,True
C20422,alpha-D-Ribose 1-methylphosphonate 5-triphosphate,163312159,None,None,None,True
C20423,alpha-D-Ribose 1-methylphosphonate 5-phosphate,163312160,None,None,None,True
C20440,"alpha-D-Ribose 1,2-cyclic phosphate 5-phosphate",163312177,None,None,None,True
C20446,None,None,None,None,None,False
C20451,None,None,None,None,None,False
C20463,None,None,None,None,None,False
C20497,None,None,None,None,None,False
C20498,None,None,None,None,None,False
C20641,None,None,None,None,None,False
C20646,None,None,None,None,None,False
C20648,None,None,None,None,None,False
C20658,None,None,None,None,None,False
C20679,None,None,None,None,None,False
C20683,Long-chain acyl-[acyl-carrier protein],172232403,None,None,None,True
C20743,None,None,None,None,None,False
C20748,None,None,None,None,None,False
C20749,None,None,None,None,None,False
C20750,None,None,None,None,None,False
C20753,None,None,None,None,None,False
C20755,None,None,None,None,None,False
C20756,None,None,None,None,None,False
C20758,None,None,None,None,None,False
C20796,None,None,None,None,None,False
C20830,None,None,None,None,None,False
C20831,None,None,None,None,None,False
C20835,None,None,None,None,None,False
C20836,beta-L-Fucose,444863,42589,None,C[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@@H]1O,True
C20858,None,None,None,None,None,False
C20863,None,None,None,None,None,False
C20864,None,None,None,None,None,False
C20895,None,None,None,None,None,False
C20904,None,None,None,None,None,False
C20905,None,None,None,None,None,False
C20933,(9Z)-Hexadec-9-enoyl-KDO2-lipid IV(A),254741395,None,None,None,True
C20957,None,None,None,None,None,False
C20958,None,None,None,None,None,False
C20959,"(4S)-4-Hydroxy-5-phosphooxypentane-2,3-dione",254741420,None,None,None,True
C20960,None,None,None,None,None,False
C20969,None,None,None,None,None,False
C21007,"5,6,7,8-Tetrahydromonapterin",254741465,None,None,None,True
C21008,"7,8-dihydromonapterin",254741466,71175,None,[H][C@](O)(CO)[C@@]([H])(O)C1=NC2=C(NC1)NC(=N)N=C2O,True
C21015,gamma-L-Glutamyl-L-2-aminobutyrate,254741469,None,None,None,True
C21016,Ophthalmic acid,7018721,84058,None,CC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,True
C21028,"(R)-5,6-Dihydrothymine",254816253,None,None,None,True
C21029,(R)-3-Ureidoisobutyrate,254816254,None,None,None,True
C21057,None,None,None,None,None,False
C21065,"7,8-Dihydroxanthopterin",295369327,None,None,None,True
C21094,"7,8-Dihydromonapterin 3'-triphosphate",310920475,None,None,None,True
C21113,None,None,None,None,None,False
C21152,"N,N'-Diacetylchitobiose 6'-phosphate",313369412,None,None,None,True
C21153,None,None,None,None,None,False
C21157,KDO2-lipid A 1-diphosphate,313369417,None,None,None,True
C21158,None,None,None,None,None,False
C21173,PEtN-KDO2-lipid A,313369433,None,None,None,True
C21174,None,None,None,None,None,False
C21181,None,None,None,None,None,False
C21193,None,None,None,None,None,False
C21194,None,None,None,None,None,False
C21214,Dimethylallyl phosphate,None,None,None,None,True
C21215,Prenylated FMNH2,None,None,None,None,True
C21284,Fe-coproporphyrin III,318172264,None,None,None,True
C21310,"(8S)-3',8-Cyclo-7,8-dihydroguanosine 5'-triphosphate",319075052,None,None,None,True
C21333,None,None,None,None,None,False
C21334,None,None,None,None,None,False
C21382,R-THMF,319902612,None,None,None,True
C21386,None,None,None,None,None,False
C21387,None,None,None,None,None,False
C21388,None,None,None,None,None,False
C21403,2-Acetamidoethylphosphonate,328082946,None,None,None,True
C21440,None,None,None,None,None,False
C21461,Kdo2-lipid A 1-(2-aminoethyl diphosphate),329728084,None,None,None,True
C21462,None,None,None,None,None,False
C21463,"Kdo2-lipid A 1,4'-bis(2-aminoethyl diphosphate)",329728086,None,None,None,True
C21484,LysoPE(18:0/0:0),9547068,75036,None,[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCCCC)COP(O)(=O)OCCN,True
C21485,Cytidylyl molybdenum cofactor,333497468,None,None,None,True
C21610,None,None,None,None,None,False
C21611,None,None,None,None,None,False
C21612,None,None,None,None,None,False
C21616,None,None,None,None,None,False
C21617,None,None,None,None,None,False
C21618,None,None,None,None,None,False
C21652,None,None,None,None,None,False
C21748,5-Fluorouridine diphosphate,354264342,None,None,None,True
C21749,5-Fluorouridine triphosphate,354264343,None,None,None,True
C21750,5-Fluorodeoxyuridine diphosphate,354264344,None,None,None,True
C21751,5-Fluorodeoxyuridine triphosphate,354264345,None,None,None,True
C21754,Isonicotinoyl radical,354264348,None,None,None,True
C21758,Hepatotoxins,354264352,None,None,None,True
C21860,3-Demethylubiquinol,None,None,None,None,True
C21873,2-Methylquinolin-4-ol,None,None,None,None,True
C21982,Lipid IVB,384585048,None,None,None,True
C21983,Deacyl-lipid IVB,384585049,None,None,None,True
C21984,Deacyl-lipid IVA,384585050,None,None,None,True
C21991,Palmitoleoyl-myristoyl-KDO2-lipid A,384585052,None,None,None,True
C21993,C16-KDO2-lipid A,384585054,None,None,None,True
C21994,1-Dephospho-KDO2-lipid A,384585055,None,None,None,True
