Name,ionMz
3'-AMP,346.0556
Adenosine monophosphate,346.0556
AMP,346.0556
Inosinic acid,347.0398
IMP,347.0398
S-(Formylmethyl)glutathione,348.0874;348.087
Pantetheine 4'-phosphate,357.089
pantotheine 4'-phosphate,357.089
8-oxo-dGMP,362.0506
Cyclic pyranopterin monophosphate,362.0506
Guanosine 3'-phosphate,362.0506
Guanosine monophosphate,362.0506
GMP,362.0506
Riboflavin,375.131
Acetyl-maltose,383.1188;383.1181
dUDP,386.999
Phosphoribosyl pyrophosphate,388.9416;388.9444;388.9442
dTDP,401.0173
CDP,402.0107
Uridine 5'-diphosphate,402.9949
UDP,402.9949
ADP,426.0222;426.0221
"Adenosine 3',5'-diphosphate",426.0222;426.0221
dGDP,426.0222;426.0221
Guanosine diphosphate,442.0169
GDP,442.0169
XDP,442.9997;443.0014
Deoxyuridine triphosphate,466.9657;466.9674
dUTP,466.9657;466.9674
Cytidine triphosphate,481.9773
CTP,481.9773
Uridine triphosphate,482.9616
UTP,482.9616
Gal alpha 1->6Gal alpha 1->6Glucose,503.1614;503.1623
Maltotriose,503.1614;503.1623
Adenosine triphosphate,505.9887
ATP,505.9887
8-oxo-dGTP,521.9834
Guanosine triphosphate,521.9834
GTP,521.9834
Deoxythymidine diphosphate-rhamnose,547.0731;547.0754
dTDP-6-deoxy-beta-L-talose,547.0731;547.0754
dTDP-Galactose,563.0683
dTDP-Glucose,563.0683
dTDP-hexose,563.0683
"UDP-Galacto-1,4-furanose",565.0471;565.0479
UDP-Glucose,565.0471;565.0479
Uridine diphosphategalactose,565.0471;565.0479
UDP-hexose,565.0471;565.0479
"1D-myo-Inositol 1,3,4,5,6-pentakisphosphate",578.8873;578.8872
"Inositol 1,2,3,5,6-pentakisphosphate",578.8873;578.8872
"Myo-inositol 1,2,4,5,6-pentakisphosphate",578.8873;578.8872
Glutathione disulfide,611.1447
Glycogen,665.2152;665.2144
Maltotetraose,665.2152;665.2144
Linear dimeric GMP,707.097
FAD (ox),784.1499
2-Methylacetoacetyl-CoA,864.1454;864.1473
(R)-Methylmalonyl-CoA,866.1233
(S)-Methylmalonyl-CoA,866.1233
Succinyl-CoA,866.1233
Aminoacetaldehyde,58.0295
Oxalic acid,88.9883
Methanesulfonic acid,94.9806;94.9761
"2,3-Diaminopropanoate",103.0509
Hydroxymalonic acid,119.0009
Nicotinate,122.0248
Iminoaspartic acid,130.0142
Oxaloacetic acid,131.0008
Oxaluric acid,131.0123
(-)-Ureidoglycolate,133.0257
4-Hydroxy-threonine,134.0472
Tyramine,136.0767
4-Hydroxybenzoate,137.0239
Salicylic acid,137.0239
Urocanate,137.0357
cis-4-Carboxymethylenebut-2-en-4-olide,139.0014;139.0067
Trans-4-Carboxymethylenebut-2-en-4-olide,139.0014;139.0067
Ectoine,141.0676
Hydrocinnamic acid,149.0608
3-Sulfinylpyruvate,150.9707
4-Hydroxyphenylacetate,151.04
2-Maleylacetate,157.0128
Allantoin,157.0379
Pterin,162.0424
"L-2,3-Dihydrodipicolinate",168.0277
3-Dehydroshikimate,171.0284
Decanoic acid (FA10:0),171.1388
"cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide",172.962
Phenol sulfate,172.9909
Menadiol,173.0579
7-Cyano-7-carbaguanine,174.0407
3-Phosphonooxypyruvate,182.9725
"Cis-3-(3-carboxyethyl)-3,5-cyclohexadiene-1,2-diol",183.0661
