sid	smiles	kingdom	superklass	klass	subklass	direct_parent	geometric_descriptor	alternative parents	substituents
	OCC1OC(C(O)C1OP(O)(O)=O)N1C=NC2=C1NC(=N)N=C2O	Organic compounds	Nucleosides, nucleotides, and analogues	Ribonucleoside 3'-phosphates	Ribonucleoside 3'-phosphates	Ribonucleoside 3'-phosphates	Aromatic heteropolycyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Hydroxypyrimidines;Imidazoles;Monoalkyl phosphates;Monosaccharides;N-substituted imidazoles;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Pentose phosphates;Primary alcohols;Purines and purine derivatives;Secondary alcohols;Tetrahydrofurans	Pentose phosphate;Monosaccharide;Hydroxypyrimidine;Imidazopyrimidine;Pyrimidine;Saccharide;Organic oxide;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Primary alcohol;Organoheterocyclic compound;Azole;N-substituted imidazole;Ribonucleoside 3'-phosphate;Alcohol;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Oxacycle;Organic oxygen compound;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hydrocarbon derivative;Purine;Organic nitrogen compound;Organic phosphoric acid derivative;Alkyl phosphate;Organooxygen compound
	[H][C@]1(COP(O)(=O)OP(O)(O)=O)O[C@@]([H])(N2C=NC3=C2NC(=N)N=C3O)[C@]([H])(O)[C@]1([H])OP(O)(=O)OP(O)(O)=O	Organic compounds	Nucleosides, nucleotides, and analogues	Ribonucleoside 3'-phosphates	Ribonucleoside 3'-phosphates	Ribonucleoside 3'-phosphates	Aromatic heteropolycyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Hydroxypyrimidines;Imidazoles;Monoalkyl phosphates;Monosaccharides;N-substituted imidazoles;Organic oxides;Organic pyrophosphates;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Pentose phosphates;Purine ribonucleoside 3',5'-bisphosphates;Purine ribonucleoside diphosphates;Purines and purine derivatives;Secondary alcohols;Tetrahydrofurans	Pentose phosphate;Monosaccharide;Pentose-5-phosphate;Hydroxypyrimidine;Imidazopyrimidine;Pyrimidine;Saccharide;Organic oxide;Purine ribonucleoside diphosphate;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Organoheterocyclic compound;Azole;N-substituted imidazole;Purine ribonucleoside 3',5'-bisphosphate;Ribonucleoside 3'-phosphate;Alcohol;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Organic pyrophosphate;Oxacycle;Organic oxygen compound;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hydrocarbon derivative;Purine;Organic nitrogen compound;Organic phosphoric acid derivative;Alkyl phosphate;Organooxygen compound
	[H][C@@](O)(COP(O)(O)=O)[C@@]([H])(O)C1=CNC2=C1C=CC=C2	Organic compounds	Organoheterocyclic compounds	Indoles and derivatives	Indoles	Indoles	Aromatic heteropolycyclic compounds	1,2-diols;Aromatic alcohols;Azacyclic compounds;Benzenoids;Heteroaromatic compounds;Hydrocarbon derivatives;Monoalkyl phosphates;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Pyrroles;Secondary alcohols	Aromatic alcohol;Alcohol;Azacycle;Indole;Heteroaromatic compound;Organic oxide;Organic oxygen compound;Phosphoric acid ester;Aromatic heteropolycyclic compound;Monoalkyl phosphate;Pyrrole;Organonitrogen compound;Secondary alcohol;Organopnictogen compound;Hydrocarbon derivative;Benzenoid;Organic nitrogen compound;Organic phosphoric acid derivative;Alkyl phosphate;Organooxygen compound;1,2-diol
	[H]C1(O)[C@]([H])(OP(O)(O)=O)[C@]([H])(OP(O)(O)=O)C([H])(OP(O)(O)=O)[C@@]([H])(OP(O)(O)=O)[C@]1([H])OP(O)(O)=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Inositol phosphates	Aliphatic homomonocyclic compounds	Cyclohexanols;Hydrocarbon derivatives;Monoalkyl phosphates;Organic oxides	Cyclohexanol;Inositol phosphate;Organic oxide;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Aliphatic homomonocyclic compound;Hydrocarbon derivative;Organic phosphoric acid derivative;Alkyl phosphate
	[H][C@]1(O)C(=CC=C[C@]1([H])OC(=C)C([O-])=O)C([O-])=O	Organic compounds	Organic acids and derivatives	Hydroxy acids and derivatives	Beta hydroxy acids and derivatives	Beta hydroxy acids and derivatives	Aliphatic homomonocyclic compounds	Carbonyl compounds;Carboxylic acids;Dicarboxylic acids and derivatives;Hydrocarbon derivatives;Organic anions;Organic oxides;Secondary alcohols	Alcohol;Carbonyl group;Carboxylic acid;Carboxylic acid derivative;Beta-hydroxy acid;Organic oxide;Organic anion;Organic oxygen compound;Secondary alcohol;Aliphatic homomonocyclic compound;Dicarboxylic acid or derivatives;Hydrocarbon derivative;Organooxygen compound
	[H][C@@]1(OC(=O)C(O)=C1[O-])[C@@H](O)COP([O-])([O-])=O	Organic compounds	Organoheterocyclic compounds	Dihydrofurans	Furanones	Butenolides	Aliphatic heteromonocyclic compounds	Alkyl phosphates;Carbonyl compounds;Dihydrofurans;Enoate esters;Hydrocarbon derivatives;Lactones;Monocarboxylic acids and derivatives;Monosaccharides;Organic anions;Organic oxides;Oxacyclic compounds;Secondary alcohols;Vinylogous acids	Carbonyl group;Monosaccharide;Carboxylic acid derivative;Lactone;Alpha,beta-unsaturated carboxylic ester;2-furanone;Saccharide;Organic oxide;Aliphatic heteromonocyclic compound;Enoate ester;Alcohol;Oxacycle;Vinylogous acid;Monocarboxylic acid or derivatives;Organic anion;Organic oxygen compound;Phosphoric acid ester;Carboxylic acid ester;Secondary alcohol;Hydrocarbon derivative;Organic phosphoric acid derivative;Alkyl phosphate;Organooxygen compound
	CC(O)C(O)C(O)C(=O)COP([O-])([O-])=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Aliphatic acyclic compounds	Acyloins;Alkyl phosphates;Alpha-hydroxy ketones;Beta-hydroxy ketones;Hydrocarbon derivatives;Organic anions;Organic oxides;Secondary alcohols	Alcohol;Beta-hydroxy ketone;Aliphatic acyclic compound;Carbonyl group;Monosaccharide;Alpha-hydroxy ketone;Ketone;Organic oxide;Organic anion;Phosphoric acid ester;Acyloin;Secondary alcohol;Hydrocarbon derivative;Organic phosphoric acid derivative;Alkyl phosphate
	CC(O)C(O)C(O)C(=C)COP(C)(O)=C	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Secondary alcohols	Aliphatic acyclic compounds	Hydrocarbon derivatives;Organophosphorus compounds;Organopnictogen compounds	Aliphatic acyclic compound;Secondary alcohol;Organopnictogen compound;Organophosphorus compound;Hydrocarbon derivative
	[H][C@](O)(COP(O)(O)=O)[C@]([H])(O)C(=O)CO	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Pentose phosphates	Aliphatic acyclic compounds	Acyloins;Alpha-hydroxy ketones;Beta-hydroxy ketones;Hydrocarbon derivatives;Monoalkyl phosphates;Monosaccharides;Organic oxides;Secondary alcohols	Alcohol;Beta-hydroxy ketone;Aliphatic acyclic compound;Carbonyl group;Pentose phosphate;Pentose-5-phosphate;Alpha-hydroxy ketone;Ketone;Organic oxide;Phosphoric acid ester;Monoalkyl phosphate;Acyloin;Secondary alcohol;Hydrocarbon derivative;Organic phosphoric acid derivative;Alkyl phosphate
	CC(COP([O-])([O-])=O)C(C)C(=O)CO	Organic compounds	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters	Alkyl phosphates	Aliphatic acyclic compounds	Alcohols and polyols;Alpha-hydroxy ketones;Hydrocarbon derivatives;Organic anions;Organic oxides	Alcohol;Aliphatic acyclic compound;Carbonyl group;Alpha-hydroxy ketone;Ketone;Organic oxide;Organic anion;Organic oxygen compound;Hydrocarbon derivative;Alkyl phosphate;Organooxygen compound
	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OC(=O)CCCCC2CCSS2)[C@@H](O)[C@H]1O	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides	5'-acylphosphoadenosines	Aromatic heteropolycyclic compounds	1,2-diols;1,2-dithiolanes;Acyl phosphates;Amino acids and derivatives;Azacyclic compounds;Carbonyl compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Imidazoles;Imidolactams;Lipoic acids and derivatives;Monoalkyl phosphates;Monocarboxylic acids and derivatives;Monosaccharides;N-substituted imidazoles;Organic disulfides;Organic oxides;Organopnictogen compounds;Oxacyclic compounds;Pentose phosphates;Primary amines;Purines and purine derivatives;Pyrimidines and pyrimidine derivatives;Secondary alcohols;Tetrahydrofurans	Carbonyl group;Pentose phosphate;Amino acid or derivatives;Monosaccharide;Pentose-5-phosphate;Imidazopyrimidine;5'-acylphosphoadenosine;Carboxylic acid derivative;1,2-dithiolane;Pyrimidine;Saccharide;Organic oxide;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Imidolactam;Organoheterocyclic compound;Azole;1,2-diol;N-substituted imidazole;Alcohol;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Oxacycle;Monocarboxylic acid or derivatives;Organic oxygen compound;Dithiolane;Phosphoric acid ester;Monoalkyl phosphate;Organic disulfide;Secondary alcohol;Hydrocarbon derivative;Purine;Primary amine;Organic nitrogen compound;Lipoic_acid_derivative;Organic phosphoric acid derivative;Amine;Alkyl phosphate;Organooxygen compound;Acyl phosphate
	[H][C@]1(O)O[C@]([H])(CO)[C@@]([H])(O[C@@]2([H])O[C@]([H])(COP(O)(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Hexose phosphates	Aliphatic heteromonocyclic compounds	Acetals;Hemiacetals;Hydrocarbon derivatives;Monoalkyl phosphates;Monosaccharides;Organic oxides;Oxacyclic compounds;Oxanes;Primary alcohols;Secondary alcohols	Alcohol;Oxacycle;Organic oxide;Acetal;Phosphoric acid ester;Monoalkyl phosphate;Aliphatic heteromonocyclic compound;Secondary alcohol;Hexose Phosphate;Hemiacetal;Hydrocarbon derivative;Oxane;Primary alcohol;Organic phosphoric acid derivative;Alkyl phosphate;Organoheterocyclic compound
	OC(C(O)C(O)=O)C(O)=O	Organic compounds	Organic acids and derivatives	Hydroxy acids and derivatives	Beta hydroxy acids and derivatives	Beta hydroxy acids and derivatives	Aliphatic acyclic compounds	1,2-diols;Alpha hydroxy acids and derivatives;Carbonyl compounds;Carboxylic acids;Dicarboxylic acids and derivatives;Hydrocarbon derivatives;Hydroxy fatty acids;Monosaccharides;Organic oxides;Secondary alcohols;Short-chain hydroxy acids and derivatives	Alcohol;Fatty acyl;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Short-chain hydroxy acid;Alpha-hydroxy acid;Monosaccharide;Fatty acid;Carboxylic acid derivative;Beta-hydroxy acid;Saccharide;Organic oxide;Organic oxygen compound;Secondary alcohol;Dicarboxylic acid or derivatives;Hydrocarbon derivative;Hydroxy fatty acid;Organooxygen compound;1,2-diol
	NCCCC[C@]([H])(N=C(O)CC[C@@]([H])(N=C(O)[C@@](C)([H])N=C(O)C(C)([H])O[C@@]1([H])[C@@](O)([H])[C@@]([H])(CO)O[C@]([H])(OP(O)(=O)OP(O)(=O)OC\C([H])=C(/C)CC\C([H])=C(/C)CC\C([H])=C(/C)CC\C([H])=C(/C)CC\C([H])=C(/C)CC\C([H])=C(/C)CC\C([H])=C(/C)CC\C([H])=C(/C)CC\C([H])=C(/C)CC\C([H])=C(/C)CCC=C(C)C)[C@]1([H])N=C(C)O)C(=O)O)C(O)=N[C@@](C)([H])C(O)=N[C@@](C)([H])C(=O)O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Aliphatic heteromonocyclic compounds	Alanine and derivatives;Alpha amino acids;Carbonyl compounds;Carboximidic acids;Carboxylic acids;Dialkyl ethers;Dicarboxylic acids and derivatives;Hydrocarbon derivatives;Monoalkyl phosphates;Monoalkylamines;N-acyl-alpha-hexosamines;Organic oxides;Organic pyrophosphates;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Oxanes;Polyprenyl monophosphates;Polyprenyl phospho carbohydrates;Polyterpenoids;Primary alcohols;Propargyl-type 1,3-dipolar organic compounds;Secondary alcohols;Short-chain hydroxy acids and derivatives	Carboximidic acid;Carbonyl group;Ether;Carboxylic acid;Short-chain hydroxy acid;Monosaccharide;Alpha-amino acid or derivatives;Carboxylic acid derivative;Dialkyl ether;N-acyl-alpha-hexosamine;Propargyl-type 1,3-dipolar organic compound;Organic oxide;Polyprenyl phospho carbohydrate;Aliphatic heteromonocyclic compound;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Oxane;Primary alcohol;Organoheterocyclic compound;Alcohol;Organic 1,3-dipolar compound;Polyterpenoid;Organic pyrophosphate;Oxacycle;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Dicarboxylic acid or derivatives;Alanine or derivatives;Hydrocarbon derivative;Primary aliphatic amine;Polyprenyl monophosphate;Organic nitrogen compound;Polyprenyl phosphate skeleton;Organic phosphoric acid derivative;Alkyl phosphate
	[H]C(O)([C@@]1([H])OC([H])(NC2=CC=CC=C2C(O)=O)[C@]([H])(O)[C@]1([H])O)P(O)(O)=O	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Benzoic acids	Aromatic heteromonocyclic compounds	1,2-diols;1-carboxy-2-haloaromatic compounds;Amino acids;Benzoyl derivatives;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Monosaccharides;Organic oxides;Organic phosphonic acids and derivatives;Organophosphorus compounds;Organopnictogen compounds;Oxacyclic compounds;Phenylalkylamines;Secondary alcohols;Secondary alkylarylamines;Tetrahydrofurans;Vinylogous amides	Carboxylic acid;Aromatic heteromonocyclic compound;Amino acid or derivatives;Amino acid;Benzoyl;Monosaccharide;Carboxylic acid derivative;Saccharide;Organic oxide;Organonitrogen compound;Organopnictogen compound;Organophosphorus compound;1-carboxy-2-haloaromatic compound;Benzoic acid;Organophosphonic acid derivative;Organoheterocyclic compound;1,2-diol;Alcohol;Vinylogous amide;Tetrahydrofuran;Secondary amine;Secondary aliphatic/aromatic amine;Oxacycle;Monocarboxylic acid or derivatives;Organic oxygen compound;Secondary alcohol;Phenylalkylamine;Hydrocarbon derivative;Organic nitrogen compound;Organooxygen compound;Amine
	[H]C1(O)O[C@]([H])(COP(O)(O)=O)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])N=C(C)O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Hexose phosphates	Aliphatic heteromonocyclic compounds	1,2-diols;Carboximidic acids;Hemiacetals;Hydrocarbon derivatives;Monoalkyl phosphates;Monosaccharides;N-acyl-alpha-hexosamines;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Oxanes;Propargyl-type 1,3-dipolar organic compounds;Secondary alcohols	Carboximidic acid;N-acyl-alpha-hexosamine;Propargyl-type 1,3-dipolar organic compound;Organic oxide;Aliphatic heteromonocyclic compound;Organonitrogen compound;Organopnictogen compound;Hemiacetal;Oxane;Organoheterocyclic compound;1,2-diol;Alcohol;Organic 1,3-dipolar compound;Oxacycle;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hexose Phosphate;Hydrocarbon derivative;Organic nitrogen compound;Organic phosphoric acid derivative;Alkyl phosphate
	[H][C@](C)(O[C@@]1([H])[C@]([H])(O)[C@@]([H])(CO)OC([H])(O)[C@]1([H])N=C(C)O)C(O)=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	N-acyl-alpha-hexosamines	Aliphatic heteromonocyclic compounds	Carbonyl compounds;Carboximidic acids;Carboxylic acids;Dialkyl ethers;Hemiacetals;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Monosaccharides;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Oxanes;Primary alcohols;Propargyl-type 1,3-dipolar organic compounds;Secondary alcohols;Sugar acids and derivatives	Carboximidic acid;Carbonyl group;Ether;Carboxylic acid;Monosaccharide;Carboxylic acid derivative;Dialkyl ether;N-acyl-alpha-hexosamine;Propargyl-type 1,3-dipolar organic compound;Muramic_acid;Organic oxide;Aliphatic heteromonocyclic compound;Organonitrogen compound;Organopnictogen compound;Hemiacetal;Oxane;Primary alcohol;Organoheterocyclic compound;Alcohol;Organic 1,3-dipolar compound;Oxacycle;Monocarboxylic acid or derivatives;Secondary alcohol;Hydrocarbon derivative;Organic nitrogen compound
	[H][C@](C)(O[C@@]1([H])[C@]([H])(O)[C@@]([H])(COP(O)(O)=O)OC([H])(O)[C@]1([H])N=C(C)O)C(O)=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	N-acyl-alpha-hexosamines	Aliphatic heteromonocyclic compounds	Carbonyl compounds;Carboximidic acids;Carboxylic acids;Dialkyl ethers;Hemiacetals;Hexose phosphates;Hydrocarbon derivatives;Monoalkyl phosphates;Monocarboxylic acids and derivatives;Monosaccharides;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Oxanes;Propargyl-type 1,3-dipolar organic compounds;Secondary alcohols;Sugar acids and derivatives	Carboximidic acid;Carbonyl group;Ether;Carboxylic acid;Monosaccharide;Carboxylic acid derivative;Dialkyl ether;N-acyl-alpha-hexosamine;Propargyl-type 1,3-dipolar organic compound;Muramic_acid;Organic oxide;Aliphatic heteromonocyclic compound;Organonitrogen compound;Organopnictogen compound;Hemiacetal;Oxane;Organoheterocyclic compound;Alcohol;Organic 1,3-dipolar compound;Oxacycle;Monocarboxylic acid or derivatives;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hexose Phosphate;Hydrocarbon derivative;Organic nitrogen compound;Organic phosphoric acid derivative;Alkyl phosphate
	[H][C@](C)(O[C@@]1([H])[C@]([H])(O)[C@@]([H])(CO)O[C@]([H])(O)[C@]1([H])N=C(C)O)C(O)=N[C@]([H])(C)C(O)=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	N-acyl-alpha-hexosamines	Aliphatic heteromonocyclic compounds	Alanine and derivatives;Alpha amino acids;Carbonyl compounds;Carboximidic acids;Carboxylic acids;Dialkyl ethers;Hemiacetals;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Monosaccharides;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Oxanes;Primary alcohols;Propargyl-type 1,3-dipolar organic compounds;Secondary alcohols	Carboximidic acid;Carbonyl group;Ether;Carboxylic acid;Monosaccharide;Alpha-amino acid or derivatives;Carboxylic acid derivative;Dialkyl ether;N-acyl-alpha-hexosamine;Propargyl-type 1,3-dipolar organic compound;Organic oxide;Aliphatic heteromonocyclic compound;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Hemiacetal;Oxane;Primary alcohol;Organoheterocyclic compound;Alcohol;Organic 1,3-dipolar compound;Oxacycle;Monocarboxylic acid or derivatives;Secondary alcohol;Alanine or derivatives;Hydrocarbon derivative;Organic nitrogen compound
	[H][C@@](CCCNC(N)=N)(N=C(O)CCC(O)=O)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Arginine and derivatives	Aliphatic acyclic compounds	Alpha amino acids;Carbonyl compounds;Carboximidamides;Carboximidic acids;Carboxylic acids;Dicarboxylic acids and derivatives;Fatty acids and conjugates;Guanidines;Hydrocarbon derivatives;Imines;Organic oxides;Organopnictogen compounds;Propargyl-type 1,3-dipolar organic compounds;Short-chain hydroxy acids and derivatives	Aliphatic acyclic compound;Carboximidic acid;Carbonyl group;Carboxylic acid;Short-chain hydroxy acid;Guanidine;Imine;Fatty acid;Organic 1,3-dipolar compound;Carboximidamide;Propargyl-type 1,3-dipolar organic compound;Organic oxide;Organic oxygen compound;Arginine or derivatives;Organonitrogen compound;Alpha-amino acid;Dicarboxylic acid or derivatives;Organopnictogen compound;Hydrocarbon derivative;Organic nitrogen compound;Organooxygen compound
	OC(=N)N=C(O)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acids	Carboxylic acids	Aliphatic acyclic compounds	Carbonyl compounds;Hydrocarbon derivatives;Imines;Monocarboxylic acids and derivatives;Organic oxides;Organopnictogen compounds;Propargyl-type 1,3-dipolar organic compounds	Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Imine;Organic 1,3-dipolar compound;Propargyl-type 1,3-dipolar organic compound;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Organonitrogen compound;Organopnictogen compound;Hydrocarbon derivative;Organic nitrogen compound;Organooxygen compound
	[H][C@](O)(C(O)=NCCC(O)=NCCSC(=O)C(O)=O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])OP(O)(O)=O	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters	Acyl CoAs	Aromatic heteropolycyclic compounds	Amino acids;Azacyclic compounds;Carbonyl compounds;Carbothioic S-esters;Carboximidic acids;Carboxylic acids;Coenzyme A and derivatives;Heteroaromatic compounds;Hydrocarbon derivatives;Imidazoles;Imidolactams;Monoalkyl phosphates;Monocarboxylic acids and derivatives;Monosaccharides;N-substituted imidazoles;Organic oxides;Organic pyrophosphates;Organopnictogen compounds;Oxacyclic compounds;Pentose phosphates;Primary amines;Propargyl-type 1,3-dipolar organic compounds;Purine ribonucleoside diphosphates;Purines and purine derivatives;Pyrimidines and pyrimidine derivatives;Ribonucleoside 3'-phosphates;Secondary alcohols;Sulfenyl compounds;Tetrahydrofurans;Thioesters;Thiolactones	Carboximidic acid;Carboxylic acid;Amino acid or derivatives;Monosaccharide;Pentose-5-phosphate;Imidazopyrimidine;Carbothioic s-ester;Saccharide;Purine ribonucleoside diphosphate;Organonitrogen compound;Organoheterocyclic compound;Alcohol;Sulfenyl compound;Azacycle;Thiocarboxylic acid ester;Heteroaromatic compound;Organic 1,3-dipolar compound;Organic pyrophosphate;Monoalkyl phosphate;Hydrocarbon derivative;Primary amine;Amine;Coenzyme a or derivatives;Carbonyl group;Pentose phosphate;Amino acid;Organosulfur compound;Carboxylic acid derivative;Pyrimidine;Propargyl-type 1,3-dipolar organic compound;Organic oxide;Aromatic heteropolycyclic compound;Imidazole;Organopnictogen compound;Imidolactam;Thiolactone;Azole;N-substituted imidazole;Purine ribonucleoside 3',5'-bisphosphate;Ribonucleoside 3'-phosphate;Thiocarboxylic acid or derivatives;Tetrahydrofuran;Oxacycle;Monocarboxylic acid or derivatives;Organic oxygen compound;Phosphoric acid ester;Secondary alcohol;Purine;Organic nitrogen compound;Organic phosphoric acid derivative;Alkyl phosphate;Organooxygen compound
	[H][C@@]1(CCC(O)=O)C2=CC3=C(CC(O)=O)C(CCC(O)=O)=C(CC4=[NH+]C(=CC5=NC(=CC(=N2)[C@@]1(C)CC(O)=O)[C@@]([H])(CCC(O)=O)[C@]5(C)CC(O)=O)C(CC(O)=O)=C4CCC(O)=O)[N-]3	Organic compounds	Organoheterocyclic compounds	Tetrapyrroles and derivatives	Metallotetrapyrroles	Metallotetrapyrroles	Aromatic heteropolycyclic compounds	Azacyclic compounds;Carbonyl compounds;Carboxylic acids;Heteroaromatic compounds;Hydrocarbon derivatives;Ketimines;Organic oxides;Organopnictogen compounds;Propargyl-type 1,3-dipolar organic compounds;Pyrroles;Pyrrolines	Ketimine;Carbonyl group;Carboxylic acid;Azacycle;Imine;Heteroaromatic compound;Organic 1,3-dipolar compound;Carboxylic acid derivative;Propargyl-type 1,3-dipolar organic compound;Organic oxide;Pyrroline;Organic oxygen compound;Aromatic heteropolycyclic compound;Pyrrole;Organonitrogen compound;Organopnictogen compound;Hydrocarbon derivative;Organic nitrogen compound;Metallotetrapyrrole skeleton;Organooxygen compound
	CCC(=O)OP([O-])([O-])=O	Organic compounds	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters	Acyl monophosphates	Aliphatic acyclic compounds	Carbonyl compounds;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic anions;Organic oxides;Organic phosphoric acids and derivatives	Aliphatic acyclic compound;Carbonyl group;Acyl monophosphate;Carboxylic acid derivative;Organic oxide;Monocarboxylic acid or derivatives;Organic anion;Organic oxygen compound;Hydrocarbon derivative;Organooxygen compound
	[H]\C(Cl)=C(/Cl)SC[C@]([H])(N=C(O)CC[C@]([H])(N)C(O)=O)C(O)=NCC(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acids	Aliphatic acyclic compounds	Carbonyl compounds;Carboximidic acids;Carboxylic acids;Chloroalkenes;Dicarboxylic acids and derivatives;Fatty Acyls;Halogenated fatty acids;Hydrocarbon derivatives;Monoalkylamines;Organic oxides;Organochlorides;Organonitrogen compounds;Organopnictogen compounds;Propargyl-type 1,3-dipolar organic compounds;Short-chain hydroxy acids and derivatives;Sulfenyl compounds;Vinyl chlorides	Fatty acyl;Aliphatic acyclic compound;Carboximidic acid;Carbonyl group;Carboxylic acid;Short-chain hydroxy acid;Organochloride;Organosulfur compound;Organohalogen compound;Propargyl-type 1,3-dipolar organic compound;Organic oxide;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Halogenated fatty acid;Sulfenyl compound;Chloroalkene;Organic 1,3-dipolar compound;Organic oxygen compound;Vinyl halide;Haloalkene;Dicarboxylic acid or derivatives;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound;Vinyl chloride;Organooxygen compound
	[H][C@](N)(CCC(O)=N[C@@]([H])(CSC(=O)CCl)C(O)=NCC(O)=O)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acids	Aliphatic acyclic compounds	Alkyl chlorides;Carbonyl compounds;Carbothioic S-esters;Carboximidic acids;Carboxylic acids;Dicarboxylic acids and derivatives;Halogenated fatty acids;Hydrocarbon derivatives;Monoalkylamines;Organic oxides;Organochlorides;Organonitrogen compounds;Organopnictogen compounds;Propargyl-type 1,3-dipolar organic compounds;Short-chain hydroxy acids and derivatives;Sulfenyl compounds;Thioesters;Thiolactones	Fatty acyl;Aliphatic acyclic compound;Carboximidic acid;Carbonyl group;Carboxylic acid;Short-chain hydroxy acid;Alkyl chloride;Organochloride;Fatty acid;Organosulfur compound;Organohalogen compound;Carbothioic s-ester;Propargyl-type 1,3-dipolar organic compound;Organic oxide;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Alkyl halide;Thiolactone;Halogenated fatty acid;Thiocarboxylic acid or derivatives;Sulfenyl compound;Thiocarboxylic acid ester;Organic 1,3-dipolar compound;Organic oxygen compound;Dicarboxylic acid or derivatives;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound;Organooxygen compound
