kegg_id,metabolite_ids,Metabolite value
C00096,M_gdpmann_c,0.2513487715801066
C04494,M_gdptp_c,0.23504991233419537
C15767,M_gg4abut_c,0.1478491638010504
C15700,M_ggbutal_c,0.15163416775225702
C00989,M_ghb_c,0.046412086566260946
C01991,M_ghb_c,0.046412086566260946
C00031,M_glc__D_c,0.04521680034559328
C00257,M_glcn_c,0.042328623469445326
C00818,M_glcr_c,
C00191,M_glcur_c,
C00064,M_gln__L_c,0.046989379276929366
C00303,M_gln__L_c,0.046989379276929366
C02282,M_glntrna_c,
C00217,M_glu__D_c,0.041529670663231766
C00025,M_glu__L_c,0.04152465727726984
C00302,M_glu__L_c,0.04152465727726984
C03741,M_glu1sa_c,0.10056268313247685
C03287,M_glu5p_c,0.04733264927653247
C01165,M_glu5sa_c,0.05150285699192514
C00669,M_glucys_c,0.2307300292941794
C02987,M_glutrna_c,
C00048,M_glx_c,0.012503729773660766
C00037,M_gly_c,0.04514492648947099
C00577,M_glyald_c,0.038827874773916804
C00719,M_glyb_c,
C00116,M_glyc_c,0.03435694696455327
C00258,M_glyc__R_c,0.03070596299834527
C02979,M_glyc2p_c,
C00093,M_glyc3p_c,0.03546304569616021
C00160,M_glyclt_c,0.01556235951346574
C00182,M_glycogen_c,0.05226809235847618
C02412,M_glytrna_c,
C20375,M_gmeACP_c,
C07838,M_gmhep1p_c,0.10577986962880814
C07836,M_gmhep7p_c,0.1001452525924984
C19882,M_gmhep7p_c,0.1001452525924984
C00144,M_gmp_c,0.1937921098195905
C01261,M_gp4g_c,
C00341,M_grdp_c,0.24984012733820782
C00387,M_gsn_c,0.1926748684485835
C00127,M_gthox_c,0.5553227928418836
C00051,M_gthrd_c,0.2824783381017659
C00044,M_gtp_c,0.20488484885090585
C05730,M_gtspmd_c,
C00242,M_gua_c,0.15426053990391653
C00080,M_h_c,0.003290727620997025
C00282,M_h2_c,
C11811,M_h2mb4p_c,0.08607426965393516
C00001,M_h2o_c,0.00037907799200764813
C01328,M_h2o_c,0.00037907799200764813
C18714,M_h2o_c,0.00037907799200764813
C00027,M_h2o2_c,0.0030495218910187027
C17732,M_h2o2_c,0.0030495218910187027
C18566,M_h2o2_c,0.0030495218910187027
C00283,M_h2s_c,0.11862952098256052
C00288,M_hco3_c,0.0009042136781878263
C01353,M_hco3_c,0.0009042136781878263
C12893,M_hco3_c,0.0009042136781878263
C00155,M_hcys__L_c,0.22195985957378372
C05330,M_hcys__L_c,0.22195985957378372
C00249,M_hdca_c,0.30063111672290477
C05272,M_hdd2coa_c,0.9305776996169968
C15672,M_hemeO_c,2.370760048841758
C00703,M_hg2_c,
C13377,M_hg2_c,
C18670,M_hg2_c,
C20373,M_hgmeACP_c,
C00135,M_his__L_c,0.14358828128279155
C00768,M_his__L_c,0.14358828128279155
C01100,M_hisp_c,0.14105836853811615
C00860,M_histd_c,0.13976500669977687
C02988,M_histrna_c,
C04479,M_hkndd_c,
C12624,M_hkntd_c,
C01024,M_hmbil_c,1.6300761372264438
C14180,M_hmgth_c,
C00263,M_hom__L_c,0.048600211978211405
C20377,M_hpmeACP_c,
