met_id,name,kegg_id,pubchem_id,moldb_smiles
ECMDB00674,PA(16:0/16:0),C00416,446066,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(O)=O)OC(=O)CCCCCCCCCCCCCCC
ECMDB00687,L-Leucine,C00123,6106,CC(C)C[C@H](N)C(O)=O
ECMDB00692,Iron,C00023,23925,[Fe++]
ECMDB00694,L-2-Hydroxyglutaric acid,C03196,,[H][C@](O)(CCC(O)=O)C(O)=O
ECMDB00695,Ketoleucine,C00233,70,CC(C)CC(=O)C(O)=O
ECMDB00696,L-Methionine,C00073,6137,CSCC[C@H](N)C(O)=O
ECMDB00707,4-Hydroxyphenylpyruvic acid,C01179,979,OC(C(=O)C(O)=O)C1=CC=CC=C1
ECMDB00718,Isovaleric acid,C08262,,CC(C)CC(O)=O
ECMDB00723,Methylcitric acid,C02225,515,CC(C(O)=O)C(O)(CC(O)=O)C(O)=O
ECMDB00725,Hydroxyproline,C01157,5810,O[C@H]1CN[C@@H](C1)C(O)=O
ECMDB00731,Cysteine-S-sulfate,C05824,115015,N[C@@H](CSS(O)(=O)=O)C(O)=O
ECMDB00738,Indole,C00463,798,N1C=CC2=C1C=CC=C2
ECMDB00745,Homocarnosine,C00884,89235,NCCCC(=O)N[C@@H](CC1=CNC=N1)C(O)=O
ECMDB00751,L-Threo-2-pentulose,C00312,439205,OC[C@H](O)[C@@H](O)C(=O)CO
ECMDB00764,Hydrocinnamic acid,C05629,107,OC(=O)CCC1=CC=CC=C1
ECMDB00765,Mannitol,C00392,6251,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
ECMDB00797,SAICAR,C04823,160666,NC1=C(N=CN1[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O)C(=O)N[C@@H](CC(O)=O)C(O)=O
ECMDB00805,Pyrrolidonecarboxylic acid,C02237,,OC(=O)[C@H]1CCC(=O)N1
ECMDB00828,Ureidosuccinic acid,C00438,93072,NC(=O)N[C@@H](CC(O)=O)C(O)=O
ECMDB00830,N-Acetylneuraminic acid,C19910,439197,CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O
ECMDB00849,alpha-L-Rhamnose,C02476,840,[H][C@@]1(C)O[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])O
ECMDB00853,N-Acetyl-b-D-galactosamine,C05021,,CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](O)[C@@H]1O
ECMDB00855,Nicotinamide riboside,C03150,439924,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
ECMDB00883,L-Valine,C00183,1182,CC(C)[C@H](N)C(O)=O
ECMDB00902,NAD,C00003,5892,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O
ECMDB00904,Citrulline,C00327,9750,N[C@@H](CCCNC(N)=O)C(O)=O
ECMDB00905,Deoxyadenosine monophosphate,C00360,621,NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
ECMDB00906,Trimethylamine,C00565,,CN(C)C
ECMDB00916,Uroporphyrin III,C02469,,OC(=O)CCC1=C(CC(O)=O)/C2=C/C3=N/C(=C\C4=C(CCC(O)=O)C(CC(O)=O)=C(N4)/C=C4\N=C(\C=C\1/N\2)C(CC(O)=O)=C4CCC(O)=O)/C(CCC(O)=O)=C3CC(O)=O
ECMDB00929,L-Tryptophan,C00078,6305,N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O
ECMDB00930,trans-Cinnamic acid,C10438,5957728,OC(=O)\C=C\C1=CC=CC=C1
ECMDB00939,S-Adenosylhomocysteine,C00021,439155,N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12)C(O)=O
ECMDB00956,Tartaric acid,C00898,444305,O[C@H]([C@@H](O)C(O)=O)C(O)=O
ECMDB00957,Pyrocatechol,C15571,,OC1=CC=CC=C1O
ECMDB00958,trans-Aconitic acid,C02341,,OC(=O)C\C(=C/C(O)=O)C(O)=O
ECMDB00960,dGDP,C00361,,NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)N1
ECMDB00961,Farnesyl pyrophosphate,C00448,445713,CC(C)=CCC\C(C)=C\CC\C(C)=C\COP(O)(=O)OP(O)(O)=O
ECMDB00962,Lipoamide,C00248,,NC(=O)CCCCC1CCSS1
ECMDB00965,Hypotaurine,C00519,107812,NCCS(O)=O
ECMDB00972,N10-Formyl-THF,C00234,10,NC1=NC(=O)C2=C(NCC(CN(C=O)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1
ECMDB00975,Trehalose,C01083,1143,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
ECMDB00985,Dihydrolipoamide,C00579,,OC(=N)CCCCC(S)CCS
ECMDB00988,S-Adenosylmethioninamine,C01137,1078,C[S+](CCCN)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N
ECMDB00990,Acetaldehyde,C00084,177,CC=O
ECMDB00996,3-Sulfinoalanine,C00606,109,N[C@@H](CS(=O)=O)C(O)=O
ECMDB00998,dCTP,C00458,625,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1
ECMDB00999,Phosphoribosylformylglycineamidine,C04640,154,O[C@H]1[C@@H](O)[C@H](NC(=N)CNC=O)O[C@@H]1COP(O)(O)=O
ECMDB01000,dUDP,C01346,,O[C@H]1C[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
ECMDB01003,Adenosine phosphosulfate,C00224,228,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](O)[C@H]1O
ECMDB01005,(S)-Ureidoglycolic acid,C00603,439269,NC(=O)N[C@@H](O)C(O)=O
ECMDB01006,Argininosuccinic acid,C03406,439998,N[C@@H](CCCNC(=N)N[C@@H](CC(O)=O)C(O)=O)C(O)=O
ECMDB01011,Methacrylyl-CoA,C03460,440021,CC(=C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
ECMDB01016,D-4'-Phosphopantothenate,C03492,41635,CC(C)(COP(O)(O)=O)C(O)C(=O)NCCC(O)=O
