JW ID,Blattner ID,Gene Name,Annotation,Growth rate in glucose + AA medium,Location,Transported metabolites,Metabolite class,Class,Mechanism/specific type,Type,Expected direction,TCID,biocyc link,Comment,Paper
JW2767,b2796,sdaC,predicted serine transporter,0.92,Inner membrane,Serine,Amino acid,hydroxy-aromatic amino acid permease (HAAAP) family,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG12142,,
JW3512,b3543,dppB,dipeptide/heme transporter,0.86,Inner membrane,Dipeptide,Peptide,ABC,ABC,ABC,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG12625,Not verified,
JW3692,b3714,adeP,"adenine permease, high affinity",0.74,Inner membrane,Adenine,Nucleobase,nucleobase:cation symporter-2 (NCS2) family,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG11724,"here is also a non-energized low-affinity adenine uptake process in an adeP deletion mutant, suggesting the existence of another independent system . Formerly adeP",
JW4072,b4111,proP,proline/glycine betaine transporter,0.88,Inner membrane,"proline, glycine betaine",Amino acid,MFS,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG11612,ProP is an osmosensing transporter which mediates the uptake of zwitterionic osmolytes such as proline and glycine betaine; ProP function protects cells from dehydration under conditions of hyperosmotic stress.,
JW4166,b4208,cycA,D-alanine/D-serine/glycine transporter,0.79,Inner membrane,"D-alanine, D-serine, glycine, L-alanine, beta-alanine",Amino acid,APC,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG12504,D-alanine more than L-alanine,
JW5234,b1453,ansP,L-asparagine transporter,0.79,Inner membrane,L-asparagine,Amino acid,APC,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=G6764,Not verified,
JW5503,b3035,tolC,transport channel,0.89,Outer membrane,Large variety of toxic compounds and metabolites,Drug,Porin,Facilitated diffusion,Porin,,,https://biocyc.org/gene?orgid=ECOLI&id=EG11009-MONOMER,"Induces a large fitness cost in minimal meidum, see https://www.nature.com/articles/s41589-022-01119-y",https://www.nature.com/articles/s41589-022-01119-y
JW5585,b3824,rhtB,"homoserine, homoserine lactone and S-methyl-methionine efflux pump",0.87,Inner membrane,"L-homoserine, L-homoserine lactone, L-threonine",Amino acid,resistance to homoserine/threonine (RhtB) family,Proton antiport,Proton antiport,Export,,https://biocyc.org/gene?orgid=ECOLI&id=EG11469,,
JW5586,b3823,rhtC,threonine efflux pump,0.84,Inner membrane,L-threonine,Amino acid,resistance to homoserine/threonine (RhtB) family,Proton antiport,Proton antiport,Export,,https://biocyc.org/gene?orgid=ECOLI&id=EG11468,,
JW0858,b0874,ybjE,L-lysine/thialysine exporter,0.78,Inner membrane,Lysine,Amino acid,L-lysine exporter (LysE) family,Proton antiport,Proton antiport,Export,,https://biocyc.org/gene?orgid=ECOLI&id=G6458-MONOMER,Now called lysO. Enhanced expression of lysO (foremerly ybjE) results in accumulation of specific L-amino acids in the culture medium of E. coli strains that are capable of producing L-amino acids (US patent number 8383363),
JW1087,b1101,ptsG,fused glucose-specific PTS enzymes: IIB component/IIC component,0.54,Inner membrane,glucose,Sugar,PTS,PTS,PTS,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG10787,,
JW0327,b0336,codB,cytosine transporter,0.93,Inner membrane,cytosine,Nucleobase,nucleobase:cation symporter (NCS1) family,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG11327,,https://www.embopress.org/doi/full/10.15252/embj.2021110527
JW0391,b0401,brnQ,"Branched-chain amino acid transport system 2 carrier protein; LIV-II transport system for Ile, Leu, and Val",0.89,Inner membrane,"L-valine, L-leucine, L-isoleucine",Amino acid,branched chain amino acid:cation symporter (LIVCS) family,Sodium symport,Sodium symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG12168,Not verified in E. coli. Disruption of araJ does not have an apparent effect on arabinose uptake or utilisation ,
JW1848,b1859,znuB,zinc transporter,0.81,Inner membrane,Zinc,Other,ABC,ABC,ABC,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG12368,Potentially as a negative control,
JW3491,b3523,yhjE,predicted transporter,0.77,Inner membrane,,Unknown,MFS,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG12249,,
JW5250,b1533,eamA,cysteine and O-acetyl-L-serine efflux system,0.71,Inner membrane,"Cysteine, O-acetyl-L-serine, glutamine, asparagine",Amino acid,DMT,Uniport,Uniport,Export,,https://biocyc.org/gene?orgid=ECOLI&id=EG11639,"Mainly cysteine and O-acetyl-Serine, but efflux of other compunds seen in an overexpression mutant",
JW2154,b2167,fruA,fused fructose-specific PTS enzymes: IIBcomponent/IIC components,0.78,Inner membrane,Fructose,Sugar,PTS,PTS,PTS,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG10336,,
JW1807,b1818,manY,mannose-specific enzyme IIC component of PTS,0.78,Inner membrane,Mannose,Sugar,PTS,PTS,PTS,Import,,https://biocyc.org/gene?orgid=ECOLI&id=MANY-MONOMER,,
JW0665,b0679,nagE,"fused N-acetyl glucosamine specific PTS enzyme: IIC, IIB, and IIA components",0.8,Inner membrane,N-acetyl glucosamine,Sugar,PTS,PTS,PTS,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG10635,,
JW0069,b0070,setA,broad specificity sugar efflux system,0.82,Inner membrane,"Lactose, glucose",Sugar,MFS,Proton antiport,Proton antiport,Export,,https://biocyc.org/gene?orgid=ECOLI&id=EG11754,,
JW3898,b3927,glpF,glycerol facilitator,0.94,Inner membrane,"Glycerol, glyceraldehyde, glycine, urea",Other,major intrinsic protein (MIP) family,Facilitated diffusion,Uniport,Both,,https://biocyc.org/gene?orgid=ECOLI&id=GLPF-MONOMER,"glpF mutants have impaired growth on low concentrations of glycerol [Richey72]. glpF mutants also had reduced uptake of DL-glyceraldehyde, glycine, urea, erythritol, D-arabitol, L-arabitol, ribitol, xylitol, D-galactitol, D-mannitol, D-sorbitol [Heller80], AsOH3 [Meng04], and SbOH3 [Sanders97]. ",
JW1001,b1015,putP,proline:sodium symporter,0.85,Inner membrane,Proline,Amino acid,solute:sodium symporter (SSS) family,Sodium symport,Sodium symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG10802,,
JW1487,b1492,gadC,predicted glutamate:gamma-aminobutyric acid antiporter,0.77,Inner membrane,"Glutamate, 4-aminobutanoate",Amino acid,APC,Glutamate:4-aminobutanoate antiport,Antiport (other),Both,,https://biocyc.org/gene?orgid=ECOLI&id=G6786,Related to extreme acid stress,
JW3060,b3089,sstT,sodium:serine/threonine symporter,0.76,Inner membrane,"L-serine, L-threonine",Amino acid,dicarboxylate/amino acid:cation symporter (DAACS) family,Sodium symport,Sodium symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG12732,,
JW5735,b4138,dcuA,C4-dicarboxylate antiporter,0.78,Inner membrane,"L-aspartate, fumarate, succinate, malate",Organic acid,C4-dicarboxylate uptake (Dcu) family,Succinate/fumarate antiport,Antiport (other),Both,,https://biocyc.org/gene?orgid=ECOLI&id=EG11225,DcuA is a C4-dicarboxylate transporter which is required for the uptake of L-aspartate as a nitrogen source under aerobic conditions; DcuA mediates an L-aspartate:fumarate antiport reaction which results in the net uptake of nitrogen without carbon uptake; DcuA is the major transporter for L-aspartate uptake under aerobic conditions,
JW4038,b4077,gltP,glutamate/aspartate:proton symporter,0.86,Inner membrane,"L-aspartate, L-glutamate",Amino acid,dicarboxylate/amino acid:cation symporter (DAACS) family,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG10405,"GltP accounts for approximately 60% of the total wild-type transport velocity of glutamate, and 52% of the total wild-type transport velocity of aspartate in aerobic growth with succinate and 40 mM NaC",
JW0009,b0010,satP,acetate/succinate:H+ symporter,0.64,Inner membrane,"Acetate, succinate",Organic acid,Acetate Uptake Transporter (AceTr),Proton symport,Proton symport,Both,,https://biocyc.org/gene?orgid=ECOLI&id=EG11512,,
JW2910,b2943,galP,D-galactose transporter,0.84,Inner membrane,"Galactose, D-glucose",Sugar,MFS,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG12148,,
JW1652,b1660,punC,predicted transporter,0.76,Inner membrane,Purines,Nucleobase,MFS,Proton symport,Proton symport,Import,,https://ecocyc.org/gene?orgid=ECOLI&id=YDHC-MONOMER,"While the punC deletion in general has a negative fitness, in one M9 minimal medium with glucose and ammonium it has higher growth rate than E. coli WT",https://pubmed.ncbi.nlm.nih.gov/34413462/
