,JW ID,Blattner ID,Gene Name,Annotation,Growth rate in glucose + AA medium,Location,Transported metabolites,Metabolite class,Class,Mechanism/specific type,Type,Expected direction,TCID,biocyc link,Comment,Paper,Mean protein number fraction (C-lim),Std protein number fraction (C-lim),Detected in fraction of conditions (all),Detected in fraction of conditions (C-lim),"Ribosome profiling number fraction (Li et al., 2014)",log10(Mean protein number fraction),log10(Ribosome profiling)
20,JW2661,b2686,emrB,multidrug efflux system protein,1.6,Inner membrane,Wide variety of toxic compounds,Drug,Multidrug efflux pump,Proton antiport,Proton antiport,Export,,https://biocyc.org/gene?orgid=ECOLI&id=EG11439,"Connected to tolC. Not sure that this is an antiporter, but it seems like RND systems are",,0.0,0.0,0.0,0.0,7.109830770706841e-06,,-5.148140736291733
21,JW2571,b2587,kgtP,alpha-ketoglutarate transporter,0.86,Inner membrane,alpha-ketoglutarate,Other,MFS,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG10522,kgtPï¿½mutants show greatly impaired growth on _-ketoglutarate which can be complemented by the clonedï¿½kgtPï¿½gene. kgtP appears to be constitutively expressed [Seol92].,,0.0002258662614229802,0.00028466063618631885,0.6438356164383562,0.6486486486486487,0.0006997849799897656,-3.646148636596782,-3.1550353833414913
22,JW2389,b2393,nupC,nucleoside (except guanosine) transporter,0.84,Inner membrane,nucleosides except guanosine,Nucleoside,concentrative nucleoside transporter (CNT) family,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG11971,,,8.870651370781897e-05,1.5162025778888425e-05,1.0,1.0,8.602893827616955e-05,-4.0520444888097815,-4.065355436899896
23,JW2305,b2308,hisQ,histidine/lysine/arginine/ornithine transporter,0.87,Inner membrane,"the basic amino acids lysine, arginine, ornithine and histidine",Amino acid,ABC,ABC,ABC,Import,https://tcdb.org/search/result.php?tc=3.A.1.3.29,https://biocyc.org/gene?orgid=ECOLI&id=EG12125,with argT,,4.7030538266149875e-05,1.6681350736722463e-05,0.9726027397260274,1.0,2.737284846722134e-05,-4.327620050709992,-4.562680006783233
24,JW0108,b0112,aroP,aromatic amino acid transporter,0.81,Inner membrane,"phenylalanine, tyrosine, and tryptophan",Amino acid,APC,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG10084,,,0.00025202840016051573,5.367223657126883e-05,0.9315068493150684,1.0,0.00021222846079805026,-3.598550517400867,-3.6731963756716426
25,JW0194,b0198,metI,DL-methionine transporter,0.79,Inner membrane,Methionine,Amino acid,ABC,ABC,ABC,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG11737,,,0.00010544880419037019,5.6738129000626836e-05,0.8767123287671232,0.8378378378378378,6.0433561551008095e-05,-3.976958340879149,-4.218721810577441
26,JW0320,b0328,yahN,"amino acid exporter for proline, lysine, glutamate, homoserine",0.75,Inner membrane,L-homoserine,Amino acid,resistance to homoserine/threonine (RhtB) family,Unknown,Unknown,Export,,https://biocyc.org/gene?orgid=ECOLI&id=G6193,Homologous to rhtB. Not verified,,0.0,0.0,0.0,0.0,1.2442203848736977e-06,,-5.905102687605439
27,JW0451,b0462,acrB,multidrug efflux system,0.77,Inner membrane,Diverse,Unspecific,Multidrug efflux pump,Proton antiport,Proton antiport,Export,,https://biocyc.org/gene?orgid=ECOLI&id=EG11704, Deletion of acrB indicates that this increases expression of other efflux pumps,https://journals.as,0.00011974257519430708,7.583174843406094e-05,1.0,1.0,7.696392077979055e-05,-3.9217514061147436,-4.113712816104666
28,JW0565,b0576,pheP,phenylalanine transporter,0.77,Inner membrane,Phenylalanine,Amino acid,APC,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG10708,"Complementation of aï¿½phePï¿½mutant restored phenylalanine-specific transport activity, indicating that PheP is normally responsible for phenylalanine transportï¿½",,1.2769551333904516e-05,2.014649561780689e-05,0.6575342465753424,0.5675675675675675,1.75968311574994e-05,-4.893824361674141,-4.754565533022147
29,JW0649,b0654,gltJ,"glutamate, aspartate ABC transporter",0.98,Inner membrane,Glutamate and Aspertate,Amino acid,ABC,ABC,ABC,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG12661,Not verified,,6.760291859325663e-05,4.0145947523952585e-05,1.0,1.0,1.4219661541413687e-05,-4.170034554034923,-4.847110740627752
30,JW0795,b0810,glnP,glutamine transporter,0.83,Inner membrane,Glutamine,Amino acid,ABC,ABC,ABC,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG10388,Not verified,,0.00010345693094545069,5.005213736010715e-05,1.0,1.0,5.581217155004864e-05,-3.9852404091013525,-4.253271079546481
31,JW0798,b0813,rhtA,threonine and homoserine efflux system,0.79,Inner membrane,L-homoserine and L-threonine,Amino acid,DMT,Proton antiport,Proton antiport,Export,,https://biocyc.org/gene?orgid=ECOLI&id=EG12134,"Increased expression ofï¿½rhtAï¿½confers increased resistance to L-homoserine, L-threonine and some other amino acids (proline, serine, cysteine, histidine) and amino acid analogues [Livs",,1.7907698183239573e-06,3.496595685910861e-06,0.2191780821917808,0.21621621621621623,4.62139000095945e-06,-5.746960233836179,-5.335227379648877
32,JW0846,b0862,artQ,arginine transporter,0.88,Inner membrane,L-arginine,Amino acid,ABC,ABC,ABC,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG11626,Not verified,,1.118622502958413e-05,1.1915762466964664e-05,0.6575342465753424,0.4864864864864865,1.9018797311640813e-05,-4.951316448361637,-4.720816949934486
33,JW0887,b0904,focA,formate channel,0.85,Inner membrane,formate,Organic acid,formate-nitrite transporter (FNT) family,Channel,Channel,Both,https://tcdb.org/search/result.php?tc=1.A.16.1.1,https://biocyc.org/gene?orgid=ECOLI&id=EG11258#SUMMARY,"Analysis of formate levels in fermentingï¿½E. coliï¿½cultures indicate that initially, formate is exported out of the cell in order to prevent acidificati",,1.0963412606698496e-05,1.5623035368542506e-05,0.5342465753424658,0.35135135135135137,2.3640187312600242e-05,-4.960054240963923,-4.62634908665261
34,JW1235,b1243,oppA,oligopeptide transporter,0.82,Inner membrane,Oligopeptides,Peptide,ABC,ABC,ABC,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG10675,,,0.0010054320623768826,0.00030387367618439946,1.0,1.0,0.0011581914929836182,-2.9976472696039314,-2.9362196293213465
35,JW1787,b1798,yeaS,neutral amino-acid efflux system,0.73,Inner membrane,"Leucine, Methionine",Amino acid,resistance to homoserine/threonine (RhtB) family,Proton antiport,Proton antiport,Export,,https://biocyc.org/gene?orgid=ECOLI&id=G6984,Same class as rhtB,,0.0,0.0,0.0,0.0,2.4884407697473987e-06,,-5.6040726919414565
36,JW1942,b1959,yedA,"amino acid exporter for phenylalanine, threonine",0.76,Inner membrane,"Drug, phenylalanine, threonine",Amino acid,DMT,Unknown,Unknown,Export,,https://biocyc.org/gene?orgid=ECOLI&id=EG11141,Not sure it is antiport,https://patents.google.com/patent/US7259003,0.0,0.0,0.0,0.0,7.109830770706838e-07,,-6.148140736291733
37,JW2143,b2156,lysP,lysine transporter,0.84,Inner membrane,Lysine,Amino acid,APC,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG11337,,,0.00020231558081796843,9.753897283951642e-05,0.9452054794520548,1.0,0.00016672554298587341,-3.693970669860427,-3.777997859512041
38,JW2767,b2796,sdaC,predicted serine transporter,0.92,Inner membrane,Serine,Amino acid,hydroxy-aromatic amino acid permease (HAAAP) family,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG12142,,,4.924722728713911e-05,4.54473127158749e-05,0.8493150684931506,0.8648648648648649,2.6484119620882955e-05,-4.307618216086032,-4.5770144592074224
