Batch-Tube,ionMz,Strain,AUC Z-score (AUC OD),Z-score start (AUC OD),Z-score end (AUC OD),Z-score min (AUC OD),Z-score max (AUC OD),AUC Z-score (Hours),Z-score start (Hours),Z-score end (Hours),Z-score min (Hours),Z-score max (Hours)
2-10C,242.079,nagE,5.705803783258463,-0.6305304415295656,1.5706195055220105,-0.6996305228193459,1.5706195055220105,0.5340941398067629,-0.736743653800565,1.6025949122652379,-0.736743653800565,1.6025949122652379
2-10C,243.0632,nagE,4.478266304754064,-1.4862899707890898,0.8083925811514112,-1.4862899707890898,0.8237694470794376,-3.899345349951998,-1.54242662740783,0.8126675833121868,-1.54242662740783,0.8305828283492596
2-10C,253.0119,nagE,9.183107470314182,-1.3765590013571223,0.7989307281934337,-1.3765590013571223,1.4113829355889396,-0.434801261126325,-1.3901802646697177,0.8164081105347994,-1.3901802646697177,1.3576870562645957
2-10C,253.0499,nagE,-11.98371227661144,0.3284777422251723,-0.8304667956628508,-1.7495410995662914,0.3468840339747738,-5.449013152550658,0.03691297752514868,-0.8419451202450609,-1.5858864105240518,0.5438803280392726
2-10C,254.9905,nagE,1.816384685803676,1.0150186584680618,0.5361768615801716,-1.0605426645712384,1.0150186584680618,3.9392467303778886,1.162040945754707,0.5607564664554849,-0.9673698426276919,1.162040945754707
2-10C,257.0063,nagE,7.74633169609568,0.536849549033568,-0.902628634838702,-0.902628634838702,1.9415124235494603,7.886455143818577,0.6011393169146264,-0.8995192058037133,-0.8995192058037133,1.7753550138737395
2-10C,257.1027,nagE,-6.193417295386223,0.7933012798030126,-0.30912822429007725,-1.0774554297209828,0.7933012798030126,0.2554311507312298,0.8051154502106872,-0.32270862923075494,-0.9676218969724578,0.8064775441297096
2-10C,259.0226,nagE,-9.288886157263804,1.1122401140610116,-1.5162135262071108,-1.533039198974743,1.1122401140610116,-0.7886565481154241,1.047490995467557,-1.5188416924130537,-1.5203163759677436,1.1494076960476265
2-10C,261.0382,nagE,-0.8441291588841736,-0.7790712565334674,1.0160860142666959,-0.7790712565334674,1.0160860142666959,-4.472151093188309,-0.8605846023397552,1.0056554069346584,-0.8605846023397552,1.0056554069346584
2-10C,264.9518,nagE,-6.418006754424407,1.5718653145737418,-0.8839550897825544,-0.9351808137650128,1.5718653145737418,3.576171875275561,1.5815674946326779,-0.8846771389150505,-0.9005447856841833,1.5923938470489307
2-10C,266.0704,nagE,-0.3219913226966048,-0.9347081891359754,0.5202924209125723,-0.9347081891359754,0.5202924209125723,-4.517736880301565,-1.1301944056779385,0.5315375044786836,-1.1301944056779385,0.5315375044786836
2-10C,267.072,nagE,-0.812529345110545,-0.7374678810805274,-0.7712512317154144,-0.8605307915893639,1.5691446528254536,-3.9463823746282896,-0.7262749793106109,-0.770948797518827,-0.7893652863352352,1.5247545091940307
2-10C,267.2327,nagE,-4.660676045437361,0.5602356655538436,-0.2481479458929864,-0.6140894125951143,0.5602356655538436,-2.4892986309861027,0.8537737984724211,-0.2479053604467276,-0.5679703048675715,0.8537737984724211
2-10C,273.0016,nagE,14.719383328978106,-1.0014882954112947,0.9033522076969556,-1.1302596792805772,2.100486241108264,4.845441302777246,-0.9671604713325246,0.9015067469185463,-1.2500302971471722,2.021910820391668
2-10C,274.0932,nagE,-4.215752816147397,-1.4834898200957773,-0.7646073876346245,-1.4834898200957773,0.693945794026724,-8.619704365293192,-1.8246498225287078,-0.7715200587543435,-1.8246498225287078,0.5445890863766744
2-10C,275.0168,nagE,-11.941133225386617,1.012863289443045,-0.5004110551332759,-1.6408984348394569,1.012863289443045,-2.105280673922865,1.0484843567067292,-0.5213740649861189,-1.2933879715361982,1.2321709243522097
2-10C,275.1015,nagE,1.2642516848342817,-0.8677946770205751,-0.7722065289261404,-0.8677946770205751,0.8238103246942201,-2.764106547168094,-0.8996544029244649,-0.771015303302814,-0.8996544029244649,0.7657419521138373
2-10C,282.0845,nagE,-4.083051329199026,0.8233704530152728,-0.6171794650403325,-0.6171794650403325,0.8233704530152728,0.8336441866629233,0.8231344720696201,-0.6156304305239917,-0.6156304305239917,0.9927260019085127
