Batch-Tube,Timepoint,ionMz,Z-score median,Z-score std
5-12A,1.0,176.0776,-1.5554680095589442,0.029585896274105884
5-12A,1.0,177.0402,-1.1478889236703096,0.1406968098453224
5-12A,1.0,177.0553,-2.3022546508842625,0.4520889633396003
5-12A,1.0,178.0509,-1.106197920614743,0.024952232123530614
5-12A,1.0,179.0348,-1.9462246066338598,0.2023719717318087
5-12A,1.0,179.0561,0.05988241443753892,0.12647734039733943
5-12A,1.0,180.0663,0.05003364014235573,0.19763053665760089
5-12A,1.0,181.0505,-1.3822573840584198,0.10635334937727976
5-12A,1.0,182.9725,0.23833999512406784,0.2214830749358871
5-12A,1.0,183.0661,-1.1317831204919644,0.3524087267095131
5-12A,1.0,184.0017,-0.3885370188564037,0.08881676114068168
5-12A,1.0,184.9856,-0.9545659564873272,0.09615670232261393
5-12A,1.0,186.1136,-0.4225887725274423,0.32594787379272544
5-12A,1.0,187.0234,-1.3028484882721503,0.22708141628283138
5-12A,1.0,188.035,-1.3288540448967194,0.5023307181691642
5-12A,1.0,188.0565,-1.1343371860925517,0.004148087588554747
5-12A,1.0,189.0405,0.5119383112555104,0.08152800504438999
5-12A,1.0,191.0197,-1.141411614274213,0.13248270145962443
5-12A,1.0,191.0561,-0.413348080671421,0.0738803031003544
5-12A,1.0,192.0663,-0.4672387257529296,0.3858022063021776
5-12A,1.0,193.0349,-1.252090145022918,0.12285768770436739
5-12A,1.0,194.0682,-1.0670711301464784,0.047266134294746166
5-12A,1.0,194.0822,-1.825013691300458,0.5648915465860948
5-12A,1.0,195.0509,-0.4687256587592783,0.19676300148079762
5-12A,1.0,195.0657,-1.0342263551959363,0.33364779432413827
5-12A,1.0,196.0603,-1.522550934270557,0.0731434623696934
