,Strain,ionMz,Rel. abs. distance,Rel. distance,Mean abs. distance,Mean distance,MAE1,MAE2,Mean MAE,Strain 1,Strain 2,p-value rel,p-value abs
65,yeaS,139.976,0.5788178081446882,0.5788178081446882,0.2213013517384637,0.2213013517384637,0.443723318963465,0.32094338141954937,0.38233335019150716,yeaS,WT,0.042,0.249
66,yeaS,142.0873,0.17276106261381272,0.1360662845302931,0.05711522575582221,0.04498384324062545,0.25063923713910163,0.41056560718970014,0.3306024221644009,yeaS,WT,0.344,0.977
67,yeaS,143.108,0.6087892575666121,0.5916399764633896,0.13945863251595858,0.13553015437420113,0.27449317257788575,0.1836575939891455,0.22907538328351562,yeaS,WT,0.032,0.237
68,yeaS,145.0145,0.43111832586016585,0.3278041679056779,0.1635641100882778,0.12436724163776648,0.40571268746123657,0.3530771865805835,0.37939493702091004,yeaS,WT,0.21,0.816
69,yeaS,145.0508,0.5573497326880806,0.1560506272624628,0.1156229490683634,0.03237291178203836,0.28397975286818183,0.13092292775469194,0.2074513403114369,yeaS,WT,0.334,0.533
70,yeaS,145.0621,0.7140906141524898,0.6855335674053044,0.1977469582970144,0.18983890150382476,0.3152034555927213,0.23863930435367048,0.2769213799731959,yeaS,WT,0.022,0.126
71,yeaS,145.0986,1.1667702255400396,-0.8873590064746839,0.1211958291173257,-0.09217257019448612,0.1284275037288114,0.07931833425095056,0.10387291898988098,yeaS,WT,0.038,0.127
72,yeaS,145.1098,0.9020332451642894,-0.5366131837131727,0.17793845582686285,-0.10585432609955289,0.23057227520615026,0.16395521428666668,0.19726374474640845,yeaS,WT,0.054,0.044
73,yeaS,146.046,2.360583934039118,2.360583934039118,0.3550227068804839,0.3550227068804839,0.22187810439437125,0.07891417141597547,0.15039613790517337,yeaS,WT,0.0,0.0
74,yeaS,147.0299,1.6330611149510061,-1.6132653940815753,0.12294583113744853,-0.12145550029007536,0.07745934348644168,0.07311166700649638,0.07528550524646903,yeaS,WT,0.0,0.001
75,yeaS,147.0664,4.027424361721277,-4.010842883672222,0.6210372443483343,-0.6184803458171833,0.18906434437432532,0.11933983088517469,0.15420208762975002,yeaS,WT,0.0,0.0
76,yeaS,148.044,0.2783867262319519,-0.20413455800951158,0.044647022621720406,-0.03273863072670991,0.1631081720487723,0.1576472262134315,0.1603776991311019,yeaS,WT,0.253,0.917
77,yeaS,149.0096,1.3484533772003504,0.9788098219695008,0.4008399358054289,0.2909600530784121,0.33156617874963634,0.26295187071774684,0.2972590247336916,yeaS,WT,0.004,0.001
78,yeaS,149.0455,1.3908507349199328,-1.3489389689531492,0.13358376437715627,-0.12955836371483456,0.10205566620883448,0.09003362277564637,0.09604464449224043,yeaS,WT,0.0,0.002
79,yeaS,150.0425,1.1448070479806982,-1.1448070479806982,0.1167572254637577,-0.1167572254637577,0.11586181596354882,0.08811530956114706,0.10198856276234794,yeaS,WT,0.001,0.015
80,yeaS,151.0264,2.344777037539783,-1.9387826319518253,0.12012118883767905,-0.09932239650907375,0.06362223320063845,0.03883628367712333,0.05122925843888089,yeaS,WT,0.021,0.018
81,yeaS,151.0609,1.2252169232075971,0.8332799993155453,0.33841207983662946,0.2301568092255766,0.2835710440118684,0.26884065293184084,0.2762058484718546,yeaS,WT,0.009,0.001
82,yeaS,152.0021,0.3835516384649151,0.11308813108824693,0.14378691276528796,0.04239479540396392,0.38954272632946363,0.3602228767625472,0.3748828015460054,yeaS,WT,0.392,0.719
83,yeaS,152.0356,0.5614933707613531,0.012586645480849817,0.09340604560351792,0.0020938248659738063,0.15574501498471888,0.17696076737158797,0.16635289117815344,yeaS,WT,0.468,0.456
84,yeaS,152.0716,0.36138593214277165,-0.11138344662749809,0.11832194161601034,-0.03646823104238104,0.3279643198514114,0.32685885444561824,0.3274115871485148,yeaS,WT,0.336,0.52
85,yeaS,153.0193,1.9639232578657182,-1.9525229866136824,0.2722028710994443,-0.2706227754650105,0.15787153173778368,0.11933163290649997,0.13860158232214181,yeaS,WT,0.0,0.0
86,yeaS,154.0623,0.6997956170195846,0.09805789532520269,0.10711779510563772,0.015009733248502433,0.14267224119664504,0.16346798746569002,0.15307011433116752,yeaS,WT,0.346,0.107
87,yeaS,154.9751,0.7980511363324627,-0.551663935483321,0.10879619609053756,-0.07520688207618512,0.16515268360399882,0.10750201516761924,0.13632734938580904,yeaS,WT,0.073,0.162
88,yeaS,155.0099,0.5882958521895806,0.04207876152175472,0.04328630697344707,0.00309611937856428,0.08018245222726346,0.06697584172412033,0.0735791469756919,yeaS,WT,0.247,0.157
89,yeaS,157.0256,0.8164925890784476,-0.3696006844595478,0.10761804364481012,-0.048715325923794406,0.14869684489976273,0.11491373793792257,0.13180529141884265,yeaS,WT,0.336,0.181
90,yeaS,157.0504,0.8744520827097827,-0.8326942994911793,0.11772020508261123,-0.112098702313636,0.14362392305374028,0.1256194292356516,0.13462167614469595,yeaS,WT,0.013,0.068
91,yeaS,157.0646,1.0373504085079015,1.0304473405648649,0.32723926539903997,0.32506164550883504,0.394242263635145,0.2366713846656883,0.31545682415041665,yeaS,WT,0.002,0.007
92,yeaS,159.03,0.4437781886965276,0.18817343765304412,0.09413031000549923,0.039913687676061585,0.2308373226526135,0.19338501365454158,0.21211116815357756,yeaS,WT,0.394,0.637
93,yeaS,159.0773,1.6240462013986177,1.6240462013986177,0.20611269872121105,0.20611269872121105,0.17752688062446828,0.0762992710499215,0.12691307583719488,yeaS,WT,0.0,0.0
94,yeaS,160.0616,2.3554446559321907,-2.2934291934212374,0.2793437309874832,-0.2719890132134551,0.1201063298092848,0.1170834766113039,0.11859490321029435,yeaS,WT,0.0,0.0
95,yeaS,161.0455,0.41893373653361016,0.03656002532757742,0.04762645276003548,0.004156323941769421,0.12911903025958393,0.09825083092233838,0.11368493059096116,yeaS,WT,0.46,0.669
96,yeaS,163.0397,1.0994514292291844,-0.8822291258692152,0.20641468814148392,-0.1656326464674299,0.18042730910401322,0.19505937935515666,0.18774334422958494,yeaS,WT,0.014,0.034
97,yeaS,163.0614,0.5575461233607746,0.5220490346873727,0.15353391860317012,0.1437589297821914,0.28797809756724513,0.2627706644461965,0.27537438100672085,yeaS,WT,0.069,0.344
98,yeaS,164.038,0.5344707474467568,0.45685031142713667,0.22798960597319276,0.1948789956954179,0.41885062950944923,0.4342909392754907,0.42657078439247,yeaS,WT,0.105,0.344
99,yeaS,164.0717,0.986816427569964,0.9498486909001694,0.08555178400347177,0.0823468760445928,0.11950319291020964,0.053886267608081656,0.08669473025914565,yeaS,WT,0.008,0.104
100,yeaS,165.0551,0.30809868831736464,0.00873787872638995,0.15141593981355075,0.004294254307146941,0.5724897641300034,0.4104156850329676,0.4914527245814855,yeaS,WT,0.472,0.822
101,yeaS,166.0507,1.915770896260263,-1.915770896260263,0.2957618170157819,-0.2957618170157819,0.14344510007462222,0.16532023046999816,0.1543826652723102,yeaS,WT,0.0,0.0
102,yeaS,166.9752,0.3084445930477335,-0.12696875768381746,0.053848412692702345,-0.022166269783759355,0.1989891235893128,0.15017188559309816,0.1745805045912055,yeaS,WT,0.346,0.85
103,yeaS,167.021,0.42187427684738077,-0.06981875758684601,0.12266166473661004,-0.020300088214533493,0.3267852331887265,0.25472291494131316,0.29075407406501985,yeaS,WT,0.38,0.662
104,yeaS,167.0827,0.5657147341338189,0.4957730013078441,0.19666995527470188,0.17235480730921546,0.3218359992050585,0.37346127133829604,0.3476486352716773,yeaS,WT,0.049,0.278
