ionMz,Metabolite,KEGG,All metabolite names,Alt. annotations,Classes,Classification
259.0226,Allose 6-phosphate,C00085;C00092;C00103;C00275;C00446;C00636;C00663;C00668;C01094;C01097;C01172;C01177;C02962;C03267;C03546;C04006;C05345;C06312,Allose 6-phosphate / Alpha-glucose 6-phosphate / Fructose 1-phosphate / Fructose 6-phosphate / Galactose 1-phosphate / Glucose 1-phosphate / Glucose 6-phosphate / Mannose 1-phosphate / Mannose 6-phosphate / Myo-inositol (1)-monophosphate / Myo-inositol 1-phosphate / Myo-inositol 4-phosphate / Tagatose 6-phosphate / Tagatose-6-phosphate / beta-Fructose 2-phosphate / beta-Fructose 6-phosphate / beta-Glucose 1-phosphate / beta-Glucose 6-phosphate,Alpha-glucose 6-phosphate / Fructose 1-phosphate / Fructose 6-phosphate / Galactose 1-phosphate / Glucose 1-phosphate / Glucose 6-phosphate / Mannose 1-phosphate / Mannose 6-phosphate / Myo-inositol (1)-monophosphate / Myo-inositol 1-phosphate / Myo-inositol 4-phosphate / Tagatose 6-phosphate / Tagatose-6-phosphate / beta-Fructose 2-phosphate / beta-Fructose 6-phosphate / beta-Glucose 1-phosphate / beta-Glucose 6-phosphate,Lipid-like molecules;Other organic acids;Organic oxygen compounds,Mixed
261.0382,D-Mannitol 1-phosphate,C00644;C01096;C02810;C06311,D-Mannitol 1-phosphate / Mannitol 1-phosphate / Sorbitol 6-phosphate / Sorbitol-6-phosphate,Mannitol 1-phosphate / Sorbitol 6-phosphate / Sorbitol-6-phosphate,Other organic acids,Other
264.9518,3-Phospho-D-glyceroyl phosphate,C00236;C01159,"2,3-Diphosphoglyceric acid / 3-Phospho-D-glyceroyl phosphate","2,3-Diphosphoglyceric acid",Other organic acids,Other
266.0704,S-Ribosyl-L-homocysteine,C03539,S-Ribosyl-L-homocysteine,,Unknown,Unknown
267.072,2(alpha-D-Mannosyl)-D-glycerate,C11544,2(alpha-D-Mannosyl)-D-glycerate,,Unknown,Unknown
267.2327,omega-Cyclohexylundecanoic acid,C16536,omega-Cyclohexylundecanoic acid,,Unknown,Unknown
273.0016,3-Dehydro-gulonate 6-phosphate,C05385;C14899,3-Dehydro-gulonate 6-phosphate / Glucuronate 1-phosphate,Glucuronate 1-phosphate,Organic oxygen compounds,Organic oxygen compounds
274.0932,"1,6-Anhydro-N-acetyl-beta-muramate",C19769,"1,6-Anhydro-N-acetyl-beta-muramate",,Organoheterocyclic compounds,Organoheterocyclic compounds
275.0168,6-Phosphogluconate,C00345,6-Phosphogluconate,,Keto / hydroxy acids,Keto / hydroxy acids
275.1015,5-Amino-6-(1-D-ribitylamino)uracil,C04732,5-Amino-6-ribitylamino uracil / 5-Amino-6-(1-D-ribitylamino)uracil,5-Amino-6-ribitylamino uracil,Organoheterocyclic compounds,Organoheterocyclic compounds
282.0845,Guanosine,C00387,Guanosine,,Nucleotides / nucleosides,Nucleotides / nucleosides
288.0726,N-Succinyl-2-L-amino-6-oxoheptanedioate,C04462,N-Succinyl-2-L-amino-6-oxoheptanedioate,,Amino acids,Amino acids
289.0331,Sedoheptulose P,C05382;C07836;C07838;C19882,Glycero-manno-heptose 1-phosphate / Glycero-manno-heptose 7-phosphate / Sedoheptulose P / glycero-beta-manno-heptose 7-phosphate,Glycero-manno-heptose 1-phosphate / Glycero-manno-heptose 7-phosphate / glycero-beta-manno-heptose 7-phosphate,Organic oxygen compounds,Organic oxygen compounds
289.1043,"N-Succinyl-LL-2,6-diaminoheptanedioate",C04421,"N-Succinyl-LL-2,6-diaminoheptanedioate",,Amino acids,Amino acids
290.9669,"alpha-D-Ribose 1,2-cyclic phosphate 5-phosphate",C20440,"alpha-D-Ribose 1,2-cyclic phosphate 5-phosphate",,Unknown,Unknown
304.0351,"3',5'-Cyclic CMP",C02354,"3',5'-Cyclic CMP",,Unknown,Unknown
305.0193,"2',3'-Cyclic UMP",C02355,"2',3'-Cyclic UMP",,Nucleotides / nucleosides,Nucleotides / nucleosides
305.0297,"2-(3,4-dihydroxybenzoyloxy)-4,6-dihydroxybenzoate",C04524,"2-(3,4-dihydroxybenzoyloxy)-4,6-dihydroxybenzoate",,Unknown,Unknown
306.0491,dCMP,C00239,dCMP,,Nucleotides / nucleosides,Nucleotides / nucleosides
306.0762,Glutathione,C00051,Glutathione,,Amino acids,Amino acids
308.0986,N-Acetylneuraminate,C00270;C19909;C19910,N-Acetyl-alpha-neuraminate / N-Acetylneuraminate / N-acetylneuraminate / alpha-N-acetylneuraminate,N-Acetyl-alpha-neuraminate / N-acetylneuraminate / alpha-N-acetylneuraminate,Organic oxygen compounds,Organic oxygen compounds
308.9787,D-Ribose 5-diphosphate,C01151;C01182,"D-Ribose 5-diphosphate / Ribulose 1,5-bisphosphate","Ribulose 1,5-bisphosphate",Organic oxygen compounds,Organic oxygen compounds
313.0438,5'-Phosphoribosyl-N-formylglycineamide,C04376,5'-Phosphoribosyl-N-formylglycineamide,,Nucleotides / nucleosides,Nucleotides / nucleosides
321.0495,dTMP,C00364,5-Thymidylic acid,5-Thymidylic acid,Nucleotides / nucleosides,Nucleotides / nucleosides
321.1113,N-((R)-Pantothenoyl)-L-cysteine,C04079,N-((R)-Pantothenoyl)-L-cysteine,,Other organic acids,Other
322.0444,CMP,C00055;C05822,3'-CMP / Cytidine monophosphate,3'-CMP / Cytidine monophosphate,Nucleotides / nucleosides,Nucleotides / nucleosides
323.0285,UMP,C00105;C01168;C01368,3'-UMP / Pseudouridine 5'-phosphate / Uridine 5'-monophosphate,3'-UMP / Pseudouridine 5'-phosphate / Uridine 5'-monophosphate,Nucleotides / nucleosides;Organic oxygen compounds,Mixed
327.0738,2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate,C16519,2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate,,Carboxylic acids,Carboxylic acids
328.0452,"3',5'-Cyclic AMP",C00575;C02353,"Adenosine 2',3'-cyclic phosphate / 3',5'-Cyclic AMP","Adenosine 2',3'-cyclic phosphate",Nucleotides / nucleosides,Nucleotides / nucleosides
333.0999,Glutathione episulfonium ion,C14874,Glutathione episulfonium ion,,Amino acids,Amino acids
334.0723,S-Formylglutathione,C01031,S-Formylglutathione,,Amino acids,Amino acids
337.0545,AICAR,C04677,AICAR,,Nucleotides / nucleosides,Nucleotides / nucleosides
338.0392,1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate,C04751;C15667,1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate / 5-carboxyamino-1-(5-phospho-ribosyl)imidazole,5-carboxyamino-1-(5-phospho-ribosyl)imidazole,Organic oxygen compounds,Organic oxygen compounds
338.9888,"Fructose 1,6-bisphosphate",C00354;C01231;C03785;C05378,"Fructose 1,6-bisphosphate / Tagatose 1,6-bisphosphate / alpha-Glucose 1,6-bisphosphate / beta-Fructose 1,6-bisphosphate","Tagatose 1,6-bisphosphate / alpha-Glucose 1,6-bisphosphate / beta-Fructose 1,6-bisphosphate",Organic oxygen compounds,Organic oxygen compounds
341.1089,Cellobiose,C00089;C00185;C00208;C00243;C00252;C01083;C05402,Cellobiose / Isomaltose / Maltose / Melibiose / Sucrose / Trehalose / alpha-Lactose,Isomaltose / Maltose / Melibiose / Sucrose / Trehalose / alpha-Lactose,Organic oxygen compounds,Organic oxygen compounds
344.04,cGMP,C00942;C06194,"cGMP / Guanosine 2',3'-cyclic phosphate","Guanosine 2',3'-cyclic phosphate",Nucleotides / nucleosides,Nucleotides / nucleosides
346.0556,AMP,C00020;C00362;C01367,2'-Deoxyguanosine 5'-monophosphate / 3'-AMP / Adenosine monophosphate,2'-Deoxyguanosine 5'-monophosphate / 3'-AMP / Adenosine monophosphate,Nucleotides / nucleosides;Organic oxygen compounds,Mixed
347.0398,IMP,C00130,Inosinic acid,Inosinic acid,Nucleotides / nucleosides,Nucleotides / nucleosides
348.0874,S-(Formylmethyl)glutathione,C14871,S-(Formylmethyl)glutathione,,Amino acids,Amino acids
357.089,Pantetheine 4'-phosphate,C01134,Pantetheine 4'-phosphate / pantotheine 4'-phosphate,pantotheine 4'-phosphate,Amino acids,Amino acids
362.0506,GMP,C00144;C06193;C18239;C19968,8-oxo-dGMP / Cyclic pyranopterin monophosphate / Guanosine 3'-phosphate / Guanosine monophosphate,8-oxo-dGMP / Cyclic pyranopterin monophosphate / Guanosine 3'-phosphate / Guanosine monophosphate,Nucleotides / nucleosides;Organoheterocyclic compounds,Mixed
375.131,Riboflavin,C00255,Riboflavin,,Organoheterocyclic compounds,Organoheterocyclic compounds
383.1181,Acetyl-maltose,C02130,Acetyl-maltose,,Unknown,Unknown
386.999,dUDP,C01346,dUDP,,Organic oxygen compounds,Organic oxygen compounds
388.9444,Phosphoribosyl pyrophosphate,C00119,Phosphoribosyl pyrophosphate,,Organic oxygen compounds,Organic oxygen compounds
401.0173,dTDP,C00363,dTDP,,Organic oxygen compounds,Organic oxygen compounds
402.0107,CDP,C00112,CDP,,Nucleotides / nucleosides,Nucleotides / nucleosides
402.9949,UDP,C00015,Uridine 5'-diphosphate,Uridine 5'-diphosphate,Nucleotides / nucleosides,Nucleotides / nucleosides
426.0221,ADP,C00008;C00054;C00361,"ADP / Adenosine 3',5'-diphosphate / dGDP","Adenosine 3',5'-diphosphate / dGDP",Nucleotides / nucleosides,Nucleotides / nucleosides
442.0169,GDP,C00035,Guanosine diphosphate,Guanosine diphosphate,Nucleotides / nucleosides,Nucleotides / nucleosides
443.0014,XDP,C01337,XDP,,Unknown,Unknown
466.9674,dUTP,C00460,Deoxyuridine triphosphate,Deoxyuridine triphosphate,Nucleotides / nucleosides,Nucleotides / nucleosides
481.9773,CTP,C00063,Cytidine triphosphate,Cytidine triphosphate,Nucleotides / nucleosides,Nucleotides / nucleosides
482.9616,UTP,C00075,Uridine triphosphate,Uridine triphosphate,Nucleotides / nucleosides,Nucleotides / nucleosides
503.1623,Gal alpha 1->6Gal alpha 1->6Glucose,C01835;C05404,Gal alpha 1->6Gal alpha 1->6Glucose / Maltotriose,Maltotriose,Organic oxygen compounds,Organic oxygen compounds
505.9887,ATP,C00002;C00286,Adenosine triphosphate / ATP,Adenosine triphosphate,Nucleotides / nucleosides;Organic oxygen compounds,Mixed
521.9834,GTP,C00044;C19967,8-oxo-dGTP / Guanosine triphosphate,8-oxo-dGTP / Guanosine triphosphate,Nucleotides / nucleosides,Nucleotides / nucleosides
547.0754,dTDP-6-deoxy-beta-L-talose,C03319,Deoxythymidine diphosphate-rhamnose,Deoxythymidine diphosphate-rhamnose,Organic oxygen compounds,Organic oxygen compounds
563.0683,dTDP-hexose,C00842;C02097,dTDP-Galactose / dTDP-Glucose,dTDP-Galactose / dTDP-Glucose,Organic oxygen compounds,Organic oxygen compounds
565.0479,UDP-hexose,C00029;C00052;C03733,"UDP-Galacto-1,4-furanose / UDP-Glucose / Uridine diphosphategalactose","UDP-Galacto-1,4-furanose / UDP-Glucose / Uridine diphosphategalactose",Nucleotides / nucleosides;Other,Mixed
578.8873,"1D-myo-Inositol 1,3,4,5,6-pentakisphosphate",C04563;C04579,"1D-myo-Inositol 1,3,4,5,6-pentakisphosphate / Inositol 1,2,3,5,6-pentakisphosphate / Myo-inositol 1,2,4,5,6-pentakisphosphate","Inositol 1,2,3,5,6-pentakisphosphate / Myo-inositol 1,2,4,5,6-pentakisphosphate",Unknown,Unknown
611.1447,Glutathione disulfide,C00127,Glutathione disulfide,,Amino acids,Amino acids
665.2152,Glycogen,C00182;C02052,Glycogen / Maltotetraose,Maltotetraose,Organic oxygen compounds,Organic oxygen compounds
707.097,Linear dimeric GMP,C18076,Linear dimeric GMP,,Unknown,Unknown
784.1499,FAD (ox),C00016,FAD (ox),,Nucleotides / nucleosides,Nucleotides / nucleosides
864.1454,2-Methylacetoacetyl-CoA,C03344,2-Methylacetoacetyl-CoA,,Lipid-like molecules,Lipid-like molecules
866.1233,Succinyl-CoA,C00091;C00683;C01213,(R)-Methylmalonyl-CoA / (S)-Methylmalonyl-CoA / Succinyl-CoA,(R)-Methylmalonyl-CoA / (S)-Methylmalonyl-CoA,Lipid-like molecules,Lipid-like molecules
57.0342,Propanal,C00479,Propanal,,Organic oxygen compounds,Organic oxygen compounds
58.0295,Aminoacetaldehyde,C06735,Aminoacetaldehyde,,Organic nitrogen compounds,Other
71.0137,Pyruvaldehyde,C00546,Pyruvaldehyde,,Organic oxygen compounds,Organic oxygen compounds
73.0293,C3:0 (Propionic acid),C00163;C00424;C00937;C05999,(S)-Lactaldehyde / Lactaldehyde / C3:0 (Propionic acid),(S)-Lactaldehyde / Lactaldehyde,Organic oxygen compounds;Carboxylic acids,Mixed
74.0247,Glycine,C00037,Glycine,,Amino acids,Amino acids
75.0087,Glycolate,C00160,Glycolate,,Unknown,Unknown
85.0295,Diacetyl,C00741,Diacetyl,,Unknown,Unknown
87.0451,C4:0 (Butyric acid),C00246;C00466,Acetoin / C4:0 (Butyric acid),Acetoin,Lipid-like molecules,Lipid-like molecules
88.0403,Alanine,C00041;C00099;C00133;C00213,Alanine / Sarcosine / beta-Alanine,Sarcosine / beta-Alanine,Amino acids,Amino acids
88.9883,Oxalic acid,C00209,Oxalic acid,,Carboxylic acids,Carboxylic acids
89.0244,Lactate,C00184;C00186;C00256;C00577;C01013;C02426,3-Hydroxypropanoate / Dihydroxyacetone / Glyceraldehyde / Lactate,3-Hydroxypropanoate / Dihydroxyacetone / Glyceraldehyde,Organic oxygen compounds;Keto / hydroxy acids,Mixed
93.0338,Phenol,C15584,Phenol,,Unknown,Unknown
94.9761,Methanesulfonic acid,C11145,Methanesulfonic acid,,Other organic acids,Other
94.9806,Methanesulfonic acid,C11145,Methanesulfonic acid,,Other organic acids,Other
101.0242,Oxobutanoic acid,C00109;C00164;C00232;C00349;C06002,Oxobutanoic acid / 2-Ketobutyric acid / 2-Methyl-3-oxopropanoate / Acetoacetic acid / Succinic acid semialdehyde,2-Ketobutyric acid / 2-Methyl-3-oxopropanoate / Acetoacetic acid / Succinic acid semialdehyde,Lipid-like molecules;Organic oxygen compounds;Keto / hydroxy acids,Mixed
101.0607,Pentanoic acid,C08262,Pentanoic acid,,Unknown,Unknown
102.056,Aminobutanoic acid (ABA),C00334;C01026;C03284;C03665,"Aminobutanoic acid (ABA) / 2-Aminoisobutyric acid / N,N-Dimethylglycine / gamma-Aminobutyric acid","2-Aminoisobutyric acid / N,N-Dimethylglycine / gamma-Aminobutyric acid",Amino acids,Amino acids
103.0402,Hydroxybutanoic acid,C00989;C01089;C01188;C01991,Hydroxybutanoic acid / 3-Hydroxyisobutyric acid / 4-Hydroxybutanoic acid / gamma-Hydroxybutyrate,3-Hydroxyisobutyric acid / 4-Hydroxybutanoic acid / gamma-Hydroxybutyrate,Lipid-like molecules,Lipid-like molecules
103.0509,"2,3-Diaminopropanoate",C06393,"2,3-Diaminopropanoate",,Unknown,Unknown
104.0352,Serine,C00065;C00740,Serine,,Amino acids,Amino acids
105.0193,D-Glyceric acid,C00258,D-Glyceric acid,,Organic oxygen compounds,Organic oxygen compounds
107.0503,Benzyl alcohol,C00556;C01468,Benzyl alcohol / p-Cresol,p-Cresol,Benzenoids,Other
110.9758,Monomethyl sulfate,C02704,Monomethyl sulfate,,Unknown,Unknown
111.02,Uracil,C00106,Uracil,,Organoheterocyclic compounds,Organoheterocyclic compounds
113.0244,"2-Hydroxy-2,4-pentadienoic acid",C00596;C07091,"2-Hydroxy-2,4-pentadienoic acid / cis-Acetylacrylate",cis-Acetylacrylate,Lipid-like molecules,Lipid-like molecules
113.0357,Dihydrouracil,C00429;C02512,3-Cyano-alanine / Dihydrouracil,3-Cyano-alanine,Amino acids;Organoheterocyclic compounds,Mixed
115.0037,Fumarate,C00122,Fumarate,,Carboxylic acids,Carboxylic acids
115.0764,Hexanoate (N-C6:0),C01585,Hexanoate (N-C6:0),,Lipid-like molecules,Lipid-like molecules
116.0354,Aspartate semialdehyde,C00441;C03508;C20250,(Z)-2-Methyl-peroxyaminoacrylate / 2-Amino-3-oxobutanoic acid / Aspartate semialdehyde,(Z)-2-Methyl-peroxyaminoacrylate / 2-Amino-3-oxobutanoic acid,Amino acids,Amino acids
116.0717,Valine,C00183;C00719,Betaine / Valine,Betaine,Amino acids,Amino acids
118.0508,Threonine,C00188;C00263;C00820;C05519,Allothreonine / Homoserine / Threonine,Allothreonine / Homoserine,Amino acids,Amino acids
118.9804,Mercaptopyruvic acid,C00957,Mercaptopyruvic acid,,Keto / hydroxy acids,Keto / hydroxy acids
119.0009,Hydroxymalonic acid,C02287,Hydroxymalonic acid,,Unknown,Unknown
122.0248,Nicotinate,C00253,Nicotinate,,Organoheterocyclic compounds,Organoheterocyclic compounds
124.0075,Taurine,C00245,Taurine,,Other organic acids,Other
125.0439,5-Amino-4-imidazolecarboxyamide,C04051,5-Amino-4-imidazolecarboxyamide,,Carboxylic acids,Carboxylic acids
127.0401,"2-Hydroxy-cis-hex-2,4-dienoate",C11354,"2-Hydroxy-cis-hex-2,4-dienoate",,Unknown,Unknown
128.0354,Pyrrolidonecarboxylic acid,C02237;C04281,Pyrrolidonecarboxylic acid / Pyrroline hydroxycarboxylic acid,Pyrroline hydroxycarboxylic acid,Amino acids,Amino acids
128.0711,Pipecolate,C00408,Pipecolate,,Unknown,Unknown
129.0193,Itaconate,C00490;C02226,Citraconic acid / Itaconate,Citraconic acid,Lipid-like molecules,Lipid-like molecules
129.0556,4-Methyl-2-oxopentanoate,C00233;C00671;C03465,2-Keto-3-methyl-valerate / 4-Methyl-2-oxopentanoate / Ketoleucine,2-Keto-3-methyl-valerate / Ketoleucine,Keto / hydroxy acids,Keto / hydroxy acids
130.0142,Iminoaspartic acid,C05840,Iminoaspartic acid,,Carboxylic acids,Carboxylic acids
130.0509,5-Aminolevulinic acid,C00430;C01157;C01165;C03741,(S)-4-Amino-5-oxopentanoate / 5-Aminolevulinic acid / Glutamic-gamma-semialdehyde / Hydroxyproline,(S)-4-Amino-5-oxopentanoate / Glutamic-gamma-semialdehyde / Hydroxyproline,Amino acids,Amino acids
130.0874,(Iso)Leucine,C00123;C00407,Isoleucine / (Iso)Leucine,Isoleucine,Amino acids,Amino acids
131.0008,Oxaloacetic acid,C00036,Oxaloacetic acid,,Keto / hydroxy acids,Keto / hydroxy acids
131.0123,Oxaluric acid,C00802,Oxaluric acid,,Carboxylic acids,Carboxylic acids
131.0462,Asparagine,C00152;C02642,Asparagine / Ureidopropionic acid,Ureidopropionic acid,Amino acids;Other organic acids,Mixed
132.0302,Aspartate,C00049,Aspartate,,Amino acids,Amino acids
133.0142,Malate,C00149;C00497,Malate / Malic acid,Malic acid,Keto / hydroxy acids,Keto / hydroxy acids
133.0257,(-)-Ureidoglycolate,C00603,(-)-Ureidoglycolate,,Amino acids,Amino acids
133.0505,Deoxyribose,C01801;C04039;C04272;C06257,"(R)-2,3-Dihydroxy-isovalerate / 1-Deoxy-xylulose / 2,3-Dihydroxyisovaleric acid / Deoxyribose","(R)-2,3-Dihydroxy-isovalerate / 1-Deoxy-xylulose / 2,3-Dihydroxyisovaleric acid",Lipid-like molecules;Organic oxygen compounds,Mixed
134.0472,4-Hydroxy-threonine,C06056,4-Hydroxy-threonine,,Unknown,Unknown
135.0302,Hypoxanthine,C00262,Hypoxanthine,,Organoheterocyclic compounds,Organoheterocyclic compounds
135.0453,Phenyl acetate,C03765;C07086,Phenyl acetate / Benzeneacetic acid,Benzeneacetic acid,Benzenoids,Other
136.0767,Tyramine,C00483,Tyramine,,Benzenoids,Other
137.0239,4-Hydroxybenzoate,C00156;C00805,4-Hydroxybenzoate / Salicylic acid,Salicylic acid,Benzenoids,Other
137.0357,Urocanate,C00785,Urocanate,,Unknown,Unknown
138.9789,Acetyl-P,C00227;C05682,Acetyl-P / Phosphonoacetate,Phosphonoacetate,Other organic acids,Other
139.0014,cis-4-Carboxymethylenebut-2-en-4-olide,C04431;C12838,cis-4-Carboxymethylenebut-2-en-4-olide / Trans-4-Carboxymethylenebut-2-en-4-olide,Trans-4-Carboxymethylenebut-2-en-4-olide,Organoheterocyclic compounds,Organoheterocyclic compounds
139.0067,cis-4-Carboxymethylenebut-2-en-4-olide,C04431;C12838,cis-4-Carboxymethylenebut-2-en-4-olide / Trans-4-Carboxymethylenebut-2-en-4-olide,Trans-4-Carboxymethylenebut-2-en-4-olide,Organoheterocyclic compounds,Organoheterocyclic compounds
141.0676,Ectoine,C06231,Ectoine,,Unknown,Unknown
143.1077,Octanoic acid,C06423,Octanoic acid,,Lipid-like molecules,Lipid-like molecules
145.0141,Oxoglutarate,C00026,Oxoglutarate / alpha-Ketoglutarate,alpha-Ketoglutarate,Keto / hydroxy acids,Keto / hydroxy acids
145.0506,2-Aceto-2-hydroxybutanoate,C00966;C06006;C06762;C14463;C16272,(R)-3-Hydroxy-3-methyl-2-oxopentanoate / 2-Aceto-2-hydroxybutanoate / 2-Dehydropantoate / 3-Hydroxy-5-oxohexanoate / 4-Hydroxy-2-oxohexanoic acid,(R)-3-Hydroxy-3-methyl-2-oxopentanoate / 2-Dehydropantoate / 3-Hydroxy-5-oxohexanoate / 4-Hydroxy-2-oxohexanoic acid,Keto / hydroxy acids,Keto / hydroxy acids
145.0623,Glutamine,C00064;C00819;C05100,Glutamine / Ureidoisobutyric acid,Ureidoisobutyric acid,Amino acids,Amino acids
145.0982,Lysine,C00047,Lysine,,Amino acids,Amino acids
145.1106,gamma-Butyrobetaine,C01181,gamma-Butyrobetaine,,Lipid-like molecules,Lipid-like molecules
146.0459,Glutamate,C00025;C00217;C00979,Glutamate / Glutamic acid / O-Acetylserine,Glutamic acid / O-Acetylserine,Amino acids,Amino acids
147.0298,Hydroxyglutarate,C02630;C03196;C06032,Hydroxyglutarate / Erythro-3-Methylmalate,Erythro-3-Methylmalate,Lipid-like molecules,Lipid-like molecules
147.0662,"(R) 2,3-Dihydroxy-3-methylvalerate",C00522;C06007,"(R) 2,3-Dihydroxy-3-methylvalerate / (R)-Pantoate",(R)-Pantoate,Lipid-like molecules,Lipid-like molecules
149.0092,Tartaric acid,C00552;C00898,Tartaric acid / Tartaric acid,,Keto / hydroxy acids,Keto / hydroxy acids
149.0456,Pentose,C00121;C00181;C00216;C00259;C00309;C00310;C00312;C00476;C00508;C01508;C08353;C16639,Pentose / Lyxose / Ribose / Ribulose / Threo-2-pentulose / Xylose / Xylulose / beta-Ribopyranose / beta-ribofuranose,Lyxose / Ribose / Ribulose / Threo-2-pentulose / Xylose / Xylulose / beta-Ribopyranose / beta-ribofuranose,Organoheterocyclic compounds;Organic oxygen compounds,Mixed
149.0608,Hydrocinnamic acid,C05629,Hydrocinnamic acid,,Phenylpropanoids and polyketides,Other
150.0422,Guanine,C00242,Guanine,,Organoheterocyclic compounds,Organoheterocyclic compounds
150.9707,3-Sulfinylpyruvate,C05527,3-Sulfinylpyruvate,,Keto / hydroxy acids,Keto / hydroxy acids
151.0259,Xanthine,C00385,Xanthine,,Organoheterocyclic compounds,Organoheterocyclic compounds
151.04,4-Hydroxyphenylacetate,C04043,4-Hydroxyphenylacetate,,Benzenoids,Other
151.06,Xylitol,C00474;C00532,Xylitol / Ribitol,Ribitol,Unknown,Unknown
152.0353,3-Hydroxyanthranilate,C00632,3-Hydroxyanthranilate,,Benzenoids,Other
153.0192,2-Pyrocatechuic acid,C00196,2-Pyrocatechuic acid,,Benzenoids,Other
154.062,Histidine,C00135,Histidine,,Amino acids,Amino acids
155.0099,Orotate,C00295,Orotate,,Organoheterocyclic compounds,Organoheterocyclic compounds
157.0128,2-Maleylacetate,C02222,2-Maleylacetate,,Keto / hydroxy acids,Keto / hydroxy acids
157.0255,Dihydroorotate,C00337,Dihydroorotate,,Amino acids,Amino acids
157.0379,Allantoin,C01551;C02350,Allantoin / Allantoin,,Organoheterocyclic compounds,Organoheterocyclic compounds
159.0297,Oxoadipate,C00322,Oxoadipate,,Keto / hydroxy acids,Keto / hydroxy acids
159.0775,Alanyl-alanine,C00993,Alanyl-alanine,,Amino acids,Amino acids
161.0453,2-Dehydro-3-deoxy-rhamnonate,C02488;C03979,2-Dehydro-3-deoxy-rhamnonate / 2-Ethylmalate,2-Ethylmalate,Unknown,Unknown
162.0424,Pterin,C00715,Pterin,,Unknown,Unknown
163.0351,3-Hydroxycinnamic acid,C00166;C12621,3-Hydroxycinnamic acid / Phenylpyruvic acid,Phenylpyruvic acid,Phenylpropanoids and polyketides;Benzenoids,Other
163.0398,3-Hydroxycinnamic acid,C00166;C12621,3-Hydroxycinnamic acid / Phenylpyruvic acid,Phenylpyruvic acid,Phenylpropanoids and polyketides;Benzenoids,Other
163.0611,2-Deoxyglucose,C00507;C00586;C00861;C01019;C01721;C02338;C02476;C20835;C20836,2-Deoxyglucose / Fucose / Fuculose / Rhamnose / Rhamnulose / alpha-Fucopyranose / alpha-Fucose / alpha-Rhamnose / beta-Fucopyranose / beta-Rhamnose,Fucose / Fuculose / Rhamnose / Rhamnulose / alpha-Fucopyranose / alpha-Fucose / alpha-Rhamnose / beta-Fucopyranose / beta-Rhamnose,Lipid-like molecules;Organic oxygen compounds,Mixed
164.0716,Phenylalanine,C00079;C02265,Phenylalanine,,Amino acids,Amino acids
165.0556,3-(2-Hydroxyphenyl)propanoate,C05607;C11457,3-(2-Hydroxyphenyl)propanoate / 3-(3-Hydroxyphenyl)propionate / Phenyllactic acid,3-(3-Hydroxyphenyl)propionate / Phenyllactic acid,Phenylpropanoids and polyketides,Other
166.0508,Pyridoxal,C00250,Pyridoxal,,Organoheterocyclic compounds,Organoheterocyclic compounds
166.9759,Phosphoenolpyruvate,C00074,Phosphoenolpyruvate,,Other organic acids,Other
167.0207,Urate,C00366,Urate,,Organoheterocyclic compounds,Organoheterocyclic compounds
167.0828,Pyridoxamine,C00534,Pyridoxamine,,Organoheterocyclic compounds,Organoheterocyclic compounds
168.0277,"L-2,3-Dihydrodipicolinate",C03340,"L-2,3-Dihydrodipicolinate",,Amino acids,Amino acids
168.0664,Pyridoxine,C00314,Pyridoxine,,Organoheterocyclic compounds,Organoheterocyclic compounds
170.0455,"2,3,4,5-Tetrahydrodipicolinate",C03972,"2,3,4,5-Tetrahydrodipicolinate",,Amino acids,Amino acids
171.0065,sn-Glycerol 3-phosphate,C00093;C00623;C02979;C03189,Glycerol 2-phosphate / sn-Glycerol 3-phosphate / Sn-Glycerol-1-phosphate / glycerol-3-phosphate,Glycerol 2-phosphate / Sn-Glycerol-1-phosphate / glycerol-3-phosphate,Lipid-like molecules,Lipid-like molecules
171.0092,sn-Glycerol 3-phosphate,C00093;C00623;C02979;C03189,Glycerol 2-phosphate / sn-Glycerol 3-phosphate / Sn-Glycerol-1-phosphate / glycerol-3-phosphate,Glycerol 2-phosphate / Sn-Glycerol-1-phosphate / glycerol-3-phosphate,Lipid-like molecules,Lipid-like molecules
171.0284,3-Dehydroshikimate,C02637,3-Dehydroshikimate,,Organic oxygen compounds,Organic oxygen compounds
171.1388,Decanoic acid (FA10:0),C01571,Decanoic acid (FA10:0),,Unknown,Unknown
172.0616,Acetyl-Glu-semialdehyde,C01250,Acetyl-Glu-semialdehyde,,Amino acids,Amino acids
172.962,"cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide",C04706,"cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide",,Organoheterocyclic compounds,Organoheterocyclic compounds
172.9909,Phenol sulfate,C00850,Phenol sulfate,,Unknown,Unknown
173.0089,Aconitate,C00417;C02341,Aconitate / trans-Aconitic acid,trans-Aconitic acid,Carboxylic acids,Carboxylic acids
173.0453,Shikimate,C00493;C04236,2-Isopropyl-3-oxosuccinate / Shikimate,2-Isopropyl-3-oxosuccinate,Organic oxygen compounds;Keto / hydroxy acids,Mixed
